type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T142627.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5960,2,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J2GYCC,CC LANZER,5985,1,#PGJUU9,ARTIFICIEROSTOP,16000077,Zap,13,13,Goblin Gang,13,13,Fireball,11,11,Miner,5,5,Bats,13,13,Minion Horde,13,13,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T142211.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5931,3,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UVLPJRP9,Cr0wley,5929,0,#9R8U0CQJ,REFORCE eSports,16000010,P.E.K.K.A,8,8,Minions,13,13,Poison,8,8,Musketeer,11,11,Dark Prince,8,8,Baby Dragon,8,8,Giant Snowball,13,13,Battle Ram,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T141832.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5903,1,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VPLJVL0,Matt⚡️Andrew,5881,0,#9RCRYVRL,Трактарына,16000042,Giant,11,11,Goblin Gang,13,13,Sparky,5,5,Mini P.E.K.K.A,11,11,Executioner,8,8,Minions,13,13,Tornado,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T141400.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5933,0,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YYQQQL9L,デイビッド,5917,1,#2G9CUJ29,change white,16000045,The Log,5,5,Archers,13,13,Ice Golem,11,11,Mini P.E.K.K.A,11,11,Fire Spirits,13,13,Tesla,13,13,X-Bow,8,8,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140936.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5960,1,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JVPQVCPL,Ragnarok,5980,2,#P08CC22J,Best of Sparta!,16000058,Golem,8,8,Lightning,8,8,Tornado,8,8,Night Witch,5,5,Baby Dragon,8,8,Mega Minion,11,11,The Log,5,5,Guards,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140613.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5928,2,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92Y2V2VJ,Mu-暮曰苍穹,5961,1,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Golem,8,8,Poison,8,8,Mega Minion,11,11,Barbarian Barrel,8,8,Night Witch,5,5,Tornado,8,8,Baby Dragon,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140207.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5899,1,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822Y0CLR8,пикачу,5888,0,#9R9008PV,KG DYNASTY,16000075,Bomber,13,13,Zap,13,13,Tornado,7,8,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Executioner,8,8,P.E.K.K.A,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T135843.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5931,1,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y2GCYPJ,ITZTIME,5886,2,#990QRV2L,Ðimension Y,16000023,Golem,8,8,Zap,13,13,Night Witch,5,5,Guards,7,8,Lightning,8,8,Mega Minion,11,11,Tornado,8,8,Baby Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T135358.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5905,3,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PVCG9GQ,⭐trykenny⭐,5865,0,#P0PYC2UR,Sandstorm GER™,16000097,Hog Rider,11,11,Rocket,11,11,Goblins,13,13,Executioner,8,8,Knight,13,13,The Log,4,5,Tornado,6,8,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T134919.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#209VUQ8JU,«:MD:»J.DREVER™,5933,0,#22VRL09,Rotoland,16000003,Giant,11,11,Witch,8,8,Musketeer,11,11,Graveyard,5,5,Poison,8,8,Bomber,13,13,Tornado,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GRQQU02,だれも,5935,3,#2V8CUU0R,ARAB SYNERGY,16000077,Baby Dragon,8,8,Barbarian Barrel,8,8,Executioner,8,8,Goblin Cage,11,11,Golem,8,8,Tornado,8,8,Night Witch,5,5,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
