type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T071550.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#20PRP9Q9,OS Marcøs,6137,1,,,,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Cannon,13,13,Ice Spirit,13,13,The Log,5,5,Skeletons,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LRRQQ2VJ,The_Gamma,6062,0,#Q8YRPV,Persian.gulf,16000068,Giant,11,11,Bats,13,13,Tornado,8,8,Mini P.E.K.K.A,11,11,Zap,13,13,Skeleton Army,8,8,Musketeer,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T071009.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#20PRP9Q9,OS Marcøs,6103,1,,,,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Cannon,13,13,Ice Spirit,13,13,The Log,5,5,Skeletons,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92LC0UPP,YT_SMARTLIFECR,6152,0,#2C0LVR9P,Pivots Family,16000109,Rocket,11,11,Zap,13,13,Royal Giant,13,13,Goblin Gang,13,13,Furnace,11,11,Minions,13,13,Valkyrie,11,11,Musketeer,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T040313.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#20PRP9Q9,OS Marcøs,6062,1,,,,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Cannon,13,13,Ice Spirit,13,13,The Log,5,5,Skeletons,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLJRYCV9,一线天,6201,0,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T035749.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#20PRP9Q9,OS Marcøs,6036,1,,,,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Cannon,13,13,Ice Spirit,13,13,The Log,5,5,Skeletons,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GVYYQYL9,c@zzylox,5998,0,#8VJQ0U9,Half Baked™,16000075,Golem,8,8,Clone,8,8,Baby Dragon,8,8,Bats,13,13,Night Witch,5,5,Electro Wizard,5,5,Bandit,5,5,Giant Skeleton,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T031844.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#20PRP9Q9,OS Marcøs,6001,1,,,,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Cannon,13,13,Ice Spirit,13,13,The Log,5,5,Skeletons,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#229VC2R2V,りっきー,6065,0,#9VCR0VY,catastrophe,16000120,Mega Knight,5,5,Zap,13,13,Furnace,11,11,Electro Wizard,5,5,Royal Ghost,5,5,Poison,8,8,Inferno Dragon,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T031242.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#20PRP9Q9,OS Marcøs,6029,0,,,,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Cannon,13,13,Ice Spirit,13,13,The Log,5,5,Skeletons,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JCR9U880,JorgeDelaG☢️,6050,1,#98RJUQJQ,EgamerLatamES,16000000,Fisherman,5,5,P.E.K.K.A,8,8,Witch,8,8,Zap,13,13,Poison,8,8,Ram Rider,5,5,Royal Ghost,5,5,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T030737.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#20PRP9Q9,OS Marcøs,6004,1,,,,Hog Rider,11,11,Musketeer,11,11,Fireball,11,11,Cannon,13,13,Ice Spirit,13,13,The Log,5,5,Skeletons,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QUR9JQP,Andy,5955,0,#LY9U2C,Aussie Royale,16000053,Fireball,11,11,Ice Golem,11,11,The Log,5,5,Ice Spirit,13,13,X-Bow,8,8,Tesla,13,13,Archers,13,13,Skeletons,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T011445.000Z,,54000017,Master III,72000007,Friendly,,collection,#20PRP9Q9,OS Marcøs,6004,0,#L00QQPCR,CR LATAM,16000152,Prince,4,8,Giant Snowball,9,13,Electro Wizard,1,5,Mega Minion,7,11,Skeletons,9,13,Lightning,4,8,Golem,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8RRQR8C,UR ~<Victor>~,5621,1,#L00QQPCR,CR LATAM,16000152,P.E.K.K.A,4,8,Ram Rider,1,5,Dark Prince,4,8,Poison,4,8,Baby Dragon,4,8,Electro Wizard,1,5,Bandit,1,5,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T010817.000Z,,54000017,Master III,72000007,Friendly,,collection,#20PRP9Q9,OS Marcøs,6004,1,#L00QQPCR,CR LATAM,16000152,Goblin Gang,9,13,Zap,9,13,Baby Dragon,4,8,Night Witch,1,5,Witch,4,8,Lumberjack,1,5,Clone,4,8,Golem,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8RRQR8C,UR ~<Victor>~,5621,3,#L00QQPCR,CR LATAM,16000152,Valkyrie,7,11,Wall Breakers,4,8,Princess,1,5,Fireball,7,11,Tesla,9,13,Witch,4,8,Goblin Barrel,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T010211.000Z,,54000017,Master III,72000007,Friendly,,collection,#20PRP9Q9,OS Marcøs,6004,0,#L00QQPCR,CR LATAM,16000152,Minions,9,13,Zap,9,13,Barbarians,9,13,Royal Giant,9,13,Musketeer,7,11,Fireball,7,11,The Log,1,5,Ice Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8RRQR8C,UR ~<Victor>~,5621,1,#L00QQPCR,CR LATAM,16000152,Goblin Giant,4,8,Minions,9,13,Lumberjack,1,5,Guards,4,8,Sparky,1,5,Fireball,7,11,Zap,9,13,Musketeer,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
