type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T120113.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#228V2P08,Dr.Andoura,6173,1,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9R9C2LQQC,♤♡SCOUNDREL◇♧,6227,0,#8L8C2VJQ,Karmes PDF,16000032,Balloon,8,8,Lumberjack,5,5,Baby Dragon,8,8,Tornado,8,8,Freeze,8,8,Barbarian Barrel,8,8,Inferno Dragon,5,5,Bowler,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T115459.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#228V2P08,Dr.Andoura,6153,1,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUP2Q8Q9,☝✌Guichon✌☝,6037,0,#9QU9298C,La Resistencia,16000028,Giant,11,11,Witch,8,8,Miner,5,5,Mini P.E.K.K.A,11,11,Zap,13,13,The Log,4,5,Mega Minion,11,11,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114936.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#228V2P08,Dr.Andoura,6124,1,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPLL82LY,❤️Cr1stal❤️,6116,0,#2LVRQ29,Midwinter™,16000168,Rocket,11,11,The Log,5,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,P.E.K.K.A,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114601.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#228V2P08,Dr.Andoura,6161,1,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#299UV8RP,是我的schlichti是我的,6078,2,#YVP8CY8,Goldräuber,16000023,Clone,7,8,Elixir Collector,11,11,Golem,8,8,Witch,8,8,Night Witch,5,5,Lumberjack,5,5,Baby Dragon,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114203.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#228V2P08,Dr.Andoura,6187,0,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YGR8J2V,⚓️⚓️VICTOR⚓️⚓️,6227,1,#GYP90PL,MEGA EMPIRE,16000001,Bats,13,13,Miner,5,5,Hunter,8,8,Poison,8,8,The Log,5,5,Ice Spirit,13,13,Mega Knight,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T113836.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#228V2P08,Dr.Andoura,6159,1,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2C89YL,Hashirama,6147,0,#9800PPPG,Ðimension X,16000023,Graveyard,5,5,Bowler,8,8,Baby Dragon,8,8,Electro Wizard,5,5,Knight,13,13,Goblins,13,13,Poison,8,8,Tornado,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T112834.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,2,draft,#228V2P08,Dr.Andoura,6159,1,#82CP0UVP,LEB SQUAD,16000034,Graveyard,1,5,Witch,4,8,Rascals,9,13,Lava Hound,1,5,Ice Golem,7,11,Fisherman,1,5,Minions,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R9LJC9L,Baby Eater,4670,2,#P9UR0YQJ,gravy station,16000137,Fireball,7,11,Dart Goblin,7,11,Princess,1,5,Goblins,9,13,Elixir Golem,7,11,Bomb Tower,7,11,Archers,9,13,Royal Giant,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T112502.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,1,draft,#228V2P08,Dr.Andoura,6159,2,#82CP0UVP,LEB SQUAD,16000034,X-Bow,4,8,Poison,4,8,Electro Dragon,4,8,Spear Goblins,9,13,Battle Ram,7,11,Skeletons,9,13,Elixir Golem,7,11,Dart Goblin,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22YGPC89,KJ,4802,1,#RP0CRY,Warfire,16000107,Executioner,4,8,Golem,4,8,Ice Spirit,9,13,Balloon,4,8,Fire Spirits,9,13,Magic Archer,1,5,Arrows,9,13,Barbarian Hut,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T111805.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#228V2P08,Dr.Andoura,6131,1,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#828GVR9JP,VDV,6112,0,#8CLCCJVU,Malcaide YT2,16000003,Guards,8,8,Tombstone,11,11,Baby Dragon,8,8,Giant Snowball,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T110752.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#228V2P08,Dr.Andoura,6163,0,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J9VV9,coco,6130,1,#82UV9LV,Ad Vitam,16000040,Rocket,11,11,Miner,5,5,Minion Horde,13,13,Poison,8,8,The Log,4,5,Furnace,11,11,Goblin Gang,13,13,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
