type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T142732.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,11,collection,#22P8C9QU,HUBI,6022,2,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28CVLYGG,Papafransi,5902,1,#8PQJPGPU,LOS DURAKKOS,16000163,Elixir Golem,7,11,Furnace,7,11,Barbarians,9,13,Graveyard,1,5,Witch,4,8,Giant Snowball,9,13,Poison,4,8,Mega Minion,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T141939.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,11,collection,#22P8C9QU,HUBI,6022,0,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PJGCJUJU,Starry,5664,1,#PR298JCQ,Divine VS ノバスト,16000093,Mega Knight,1,5,Inferno Dragon,1,5,Miner,1,5,Witch,4,8,Goblin Gang,9,13,Bats,9,13,Wall Breakers,4,8,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T141622.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,10,collection,#22P8C9QU,HUBI,6022,3,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UCRGRV0,ヒロフミ,5308,1,#QJJLJ2,THE FULL TEENZ,16000090,Royal Ghost,1,5,Fisherman,1,5,Electro Wizard,1,5,Magic Archer,1,5,Ram Rider,1,5,P.E.K.K.A,4,8,Giant Snowball,9,13,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T141344.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,9,collection,#22P8C9QU,HUBI,6022,1,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VPR0U0U,むぎっさんԙr,5926,0,#L2CLC9VP,ReFly,16000110,Golem,4,8,Guards,4,8,Lightning,4,8,Barbarian Barrel,4,8,Witch,4,8,Night Witch,1,5,Tornado,4,8,Baby Dragon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T140945.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,8,collection,#22P8C9QU,HUBI,6022,2,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YJYGLG9,٩('ω'えねる19212)و,5399,1,#2G9CUJ29,change white,16000045,Mega Knight,1,5,Royal Giant,9,13,Goblin Barrel,4,8,Princess,1,5,Witch,4,8,Skeleton Army,4,8,Bats,9,13,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T140106.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,7,collection,#22P8C9QU,HUBI,6022,1,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9098LVCQ2,からあげ先輩,4804,0,#90CLY002,1秒の奇跡〜Forever〜！,16000170,Clone,4,8,Giant Skeleton,4,8,Witch,4,8,Baby Dragon,4,8,Cannon Cart,4,8,Tornado,4,8,Goblin Cage,7,11,Skeleton Barrel,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T135709.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,6,collection,#22P8C9QU,HUBI,6022,3,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0JCRCVP,一胜战神鸽子素,5626,1,#2UC00CCU,老舊帳號放置區,16000044,Elixir Golem,6,11,Night Witch,1,5,Lumberjack,1,5,Goblin Cage,7,11,Baby Dragon,4,8,Lightning,4,8,Mega Minion,7,11,Tornado,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T135224.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,5,collection,#22P8C9QU,HUBI,6022,3,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQJ00YUV,君之彼岸,4632,2,#9URJR0UL,P.G——gay,16000170,Skeleton Army,4,8,Goblin Gang,9,13,Balloon,4,8,Minions,9,13,Arrows,9,13,Lava Hound,1,5,Minion Horde,9,13,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134851.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,4,collection,#22P8C9QU,HUBI,6022,3,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RVPJPVLQ,⭐️Kroni⭐️,5354,0,#98VCQV88,AllstarsGermany,16000044,Tornado,4,8,Goblin Cage,7,11,Valkyrie,7,11,Witch,4,8,Ice Wizard,1,5,Graveyard,1,5,Freeze,4,8,Fire Spirits,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134731.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,3,collection,#22P8C9QU,HUBI,6022,2,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UGU8QUY2,Dave,5073,1,#YYC9JYCL,MacKenzie™,16000097,Giant,7,11,Graveyard,1,5,Giant Snowball,9,13,Earthquake,7,11,Witch,4,8,Night Witch,1,5,Goblin Gang,9,13,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134401.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#22P8C9QU,HUBI,6022,2,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RCL000RL,kaleidoscope,5485,1,#UYQRCQY,NEXTRY,16000003,Miner,1,5,Elixir Golem,7,11,The Log,1,5,Witch,4,8,Poison,4,8,Mega Minion,7,11,Night Witch,1,5,Fisherman,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134007.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,1,collection,#22P8C9QU,HUBI,6022,3,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9R9VRCV,寺田心,5227,0,#9CCR0VC8,よく曲がるプリンス,16000177,Rocket,7,11,The Log,1,5,Hog Rider,7,11,Ice Spirit,9,13,Goblins,9,13,Executioner,4,8,Tornado,4,8,Valkyrie,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T133653.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,0,collection,#22P8C9QU,HUBI,6022,3,#9QV8U88P,CGN-Legends,16000076,Sparky,1,5,Night Witch,1,5,Electro Wizard,1,5,Baby Dragon,4,8,Fisherman,1,5,Elixir Golem,7,11,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JYPJ9Q8,jansson20,4706,0,#JUQ0PUL,swedish gang,16000043,Goblin Barrel,4,8,Fire Spirits,9,13,Inferno Tower,7,11,Knight,9,13,Princess,1,5,Rocket,7,11,Goblin Gang,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
