type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
tournament,20191010T132119.000Z,,54000037,Legendary Arena,72000009,Tournament,,collection,#280VCGLUP,エリザベスクローキャンディ,2,1,#LCGPL8,熱血クラロワ部,16000120,Mega Knight,1,5,Bats,9,13,Fisherman,1,5,Miner,1,5,Zap,9,13,Wall Breakers,4,8,Witch,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LGLPPP8,あいらぶよつば,2,3,#RJYY8L,えんぴつJPN,16000010,Giant Snowball,9,13,Giant Skeleton,4,8,Clone,4,8,Baby Dragon,4,8,Night Witch,1,5,Tornado,4,8,Witch,4,8,Golem,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20191010T131807.000Z,,54000037,Legendary Arena,72000009,Tournament,,collection,#280VCGLUP,エリザベスクローキャンディ,2,0,#LCGPL8,熱血クラロワ部,16000120,Mega Knight,1,5,Bats,9,13,Fisherman,1,5,Miner,1,5,Zap,9,13,Wall Breakers,4,8,Witch,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9R8YV2JRQ,けんつー,2,1,#92JRLQQR,Immortal Army,16000024,Dark Prince,4,8,Bandit,1,5,P.E.K.K.A,4,8,Elixir Collector,7,11,Three Musketeers,7,11,Minions,9,13,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20191010T131438.000Z,,54000037,Legendary Arena,72000009,Tournament,,collection,#280VCGLUP,エリザベスクローキャンディ,1,3,#LCGPL8,熱血クラロワ部,16000120,Mega Knight,1,5,Bats,9,13,Fisherman,1,5,Miner,1,5,Zap,9,13,Wall Breakers,4,8,Witch,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9U2RQL2RY,ざわ永井ざわ,1,0,#9GQ9QLU9,SQUEEZE,16000039,Poison,4,8,Golem,4,8,Zap,9,13,Baby Dragon,4,8,Night Witch,1,5,Witch,4,8,Lumberjack,1,5,Clone,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20191010T131203.000Z,,54000037,Legendary Arena,72000009,Tournament,,collection,#280VCGLUP,エリザベスクローキャンディ,,3,#LCGPL8,熱血クラロワ部,16000120,Mega Knight,1,5,Bats,9,13,Fisherman,1,5,Miner,1,5,Zap,9,13,Wall Breakers,4,8,Witch,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GQCLYPUV,長濱ねる,,1,#2G9CUJ29,change white,16000045,Miner,1,5,Mega Minion,7,11,Witch,4,8,Giant,7,11,Fisherman,1,5,The Log,1,5,Giant Snowball,9,13,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T103231.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#280VCGLUP,エリザベスクローキャンディ,6230,0,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GGRLYP9Y,弩玩小家,6094,1,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T102452.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#280VCGLUP,エリザベスクローキャンディ,6262,0,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2VYVPPU,king night,6229,1,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T082840.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#280VCGLUP,エリザベスクローキャンディ,6238,3,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R020P,FENOFINALFORM⚡☠,6173,0,#YPPJ0VJP,QLASH Restart,16000123,Royal Giant,13,13,Mega Minion,11,11,Zap,13,13,Sparky,5,5,Hog Rider,11,11,Arrows,13,13,Barbarians,13,13,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T082408.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#280VCGLUP,エリザベスクローキャンディ,6217,1,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVQR2YG,Hctroller,6122,0,#2CQQVQCU,Nova l Hispania,16000044,Mega Knight,5,5,Inferno Dragon,5,5,Miner,5,5,Goblin Gang,13,13,Skeleton Barrel,13,13,Giant Snowball,13,13,Bats,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T081655.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#280VCGLUP,エリザベスクローキャンディ,6190,1,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99U902LY,이도소태도,6162,0,#8L0UGJRG,GAME OF THRONES,16000015,Giant Skeleton,8,8,Night Witch,5,5,Clone,8,8,Tornado,8,8,Royal Ghost,5,5,Hunter,8,8,Fisherman,5,5,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T080953.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#280VCGLUP,エリザベスクローキャンディ,6225,0,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6166,1,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
