type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191006T173351.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6233,1,#9LQRCQ2Q,Stealth USA,16000134,Golem,8,8,Lumberjack,5,5,Cannon Cart,8,8,Mega Minion,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JY2QC0UP,next,6227,3,#PV90GYU,Guerreros Mx.,16000152,Elixir Collector,11,11,Lumberjack,5,5,Bowler,8,8,Musketeer,11,11,Golem,8,8,Executioner,8,8,Bandit,5,5,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191006T172953.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6203,1,#9LQRCQ2Q,Stealth USA,16000134,Golem,8,8,Lumberjack,5,5,Cannon Cart,8,8,Mega Minion,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J022JCJ9,k2m1k2dz3,6203,0,#CUL2URP,KZ eSports,16000014,Zap,13,13,Freeze,7,8,Wizard,11,11,Giant,11,11,Graveyard,4,5,Dark Prince,8,8,Mini P.E.K.K.A,11,11,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191006T172644.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6175,1,#9LQRCQ2Q,Stealth USA,16000134,Golem,8,8,Lumberjack,5,5,Cannon Cart,8,8,Mega Minion,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C0LU92V2,JoanL:v,6158,0,#92UV80JC,Wolves México,16000096,Goblin Gang,13,13,Rascals,13,13,Bats,13,13,Hog Rider,11,11,Fireball,11,11,Spear Goblins,13,13,The Log,4,5,Mortar,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191006T172323.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6148,1,#9LQRCQ2Q,Stealth USA,16000134,Golem,8,8,Lumberjack,5,5,Cannon Cart,8,8,Mega Minion,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPCY8YLP,⚡D-shock⚡™,6118,0,#8RPJLGYY,unbeaten eSport,16000043,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Miner,5,5,Electro Wizard,5,5,Minions,13,13,Bandit,5,5,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191006T172008.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6178,1,#9LQRCQ2Q,Stealth USA,16000134,Lava Hound,5,5,Giant Snowball,13,13,Lumberjack,5,5,Bats,13,13,Skeleton Army,8,8,Baby Dragon,8,8,Flying Machine,11,11,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LLPY9Y,Twadore,6172,2,#22P09J,Blue Division,16000043,Zap,13,13,Minions,13,13,Bandit,5,5,Electro Wizard,5,5,Poison,8,8,Battle Ram,11,11,Dark Prince,8,8,P.E.K.K.A,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191006T171618.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6207,1,#9LQRCQ2Q,Stealth USA,16000134,Golem,8,8,Lumberjack,5,5,Cannon Cart,8,8,Mega Minion,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20UULQCVG,mohamed,6211,3,#PLCUJRP2,QLASH Egypt II,16000023,Giant,11,11,Elixir Collector,11,11,Battle Ram,11,11,Three Musketeers,11,11,Goblin Gang,13,13,Zap,13,13,Bats,13,13,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191006T171409.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6177,1,#9LQRCQ2Q,Stealth USA,16000134,Golem,8,8,Lumberjack,5,5,Cannon Cart,8,8,Mega Minion,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PQLRCG,❄[Z@RK0]❄,6178,0,#PV80YC8V,Leyendas Hn,16000028,Golem,8,8,Lightning,8,8,Executioner,8,8,Mirror,7,8,Tornado,8,8,The Log,5,5,Mini P.E.K.K.A,11,11,Hog Rider,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191006T171015.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6145,1,#9LQRCQ2Q,Stealth USA,16000134,Golem,8,8,Lumberjack,5,5,Cannon Cart,8,8,Mega Minion,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88LLLYU9L,Kaka,6169,0,#8Y09CJ,HongKonger 香港人,16000011,Poison,8,8,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Ice Golem,11,11,Mega Knight,5,5,Hog Rider,11,11,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191005T235134.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6175,0,#9LQRCQ2Q,Stealth USA,16000134,Golem,8,8,Lumberjack,5,5,Cannon Cart,8,8,Mega Minion,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RRVL8P,Pyranas,6171,1,#9JJRCUUY,PDF Origins,16000029,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,4,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191005T161653.000Z,,54000036,Legendary Arena,72000044,Ladder_GoldRush,,collection,#28C09P9Q,Krazzy Fellz,6204,1,#9LQRCQ2Q,Stealth USA,16000134,Lava Hound,5,5,Giant Snowball,13,13,Lumberjack,5,5,Bats,13,13,Skeleton Army,8,8,Baby Dragon,8,8,Flying Machine,11,11,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2URPP9YJ,大老虎,6206,2,#V8U9C2,台灣 藍波萬✌️,16000132,Zap,13,13,Fireball,11,11,Night Witch,5,5,Mega Minion,11,11,Baby Dragon,8,8,Dark Prince,7,8,Lumberjack,5,5,Golem,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
