type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T115517.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6270,0,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8G2CJYQV,☆Mogun I Kwon☆,6220,1,#PGPV0GG,잎새,16000170,Ice Wizard,5,5,Tesla,13,13,The Log,5,5,Rocket,11,11,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T114815.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6240,1,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VCG2C0R,yyyy,6247,0,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T114405.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6211,1,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJLJ98U,DIG Blaze,6203,0,#2LRU2J,Crucible Wrath,16000002,Wall Breakers,8,8,Hunter,8,8,Mega Knight,5,5,Ice Spirit,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T113546.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6185,1,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#820YC29J9,eklasaarni,6143,0,#P0GCV2PG,The Fallen Ones,16000043,Balloon,8,8,Valkyrie,11,11,Zap,13,13,Miner,5,5,Tornado,7,8,Executioner,8,8,Skeletons,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T113136.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6156,1,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2GYJCQG,Kot,6147,0,#PUUQ89J,Ленинка,16000122,Inferno Tower,11,11,Arrows,13,13,Royal Ghost,5,5,Goblin Barrel,8,8,Princess,5,5,Giant Skeleton,8,8,Skeleton Army,8,8,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T112637.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6126,1,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RVUUU2VG,•O¤R¤H¤A¤N•,6131,0,#9CR9QUU8,FETİH,16000030,Witch,8,8,Zap,13,13,Lightning,8,8,Mega Knight,5,5,Electro Wizard,5,5,Mini P.E.K.K.A,11,11,Royal Hogs,11,11,Bandit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T112219.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6095,1,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29V8V80LJ,~SERİNKAN~,6109,0,#PG29CVPR,AltınMürettebat,16000030,Giant,11,11,The Log,5,5,Guards,8,8,Hunter,8,8,Zap,13,13,Mega Minion,11,11,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T111656.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6072,2,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C2LJ2J0Y,⚜️KingAlex⚜️,5996,1,#9UJV0JGP,Mkers ITA,16000044,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T111253.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6046,3,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J29222VJ,Nova I Emi,6005,1,#PLYVU2G,Nova l Germany,16000044,Zap,13,13,Minions,13,13,Royal Giant,13,13,Musketeer,11,11,Barbarians,13,13,Fireball,11,11,Ice Wizard,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T110741.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6077,0,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLGPYL2G,Carl the Legend,6062,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,5,5,Balloon,8,8,Tombstone,11,11,Mega Minion,11,11,Minions,13,13,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T105942.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6041,1,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L0VP8R8V,⭐️星辰⭐️,6119,0,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T105530.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29CY08G2,Tiltdrian,6078,0,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L29PCUJ,ibragimovic,5993,1,#YRGPJV2P,Трактарына Jr.,16000042,Goblins,13,13,Poison,8,8,Bowler,8,8,Baby Dragon,8,8,Graveyard,5,5,Tornado,8,8,Ice Wizard,5,5,Knight,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
