type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191009T195937.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,7,collection,#29JY2GLYU,terter,6212,1,#P8RCUUL2,Ad Astra,16000040,Minions,9,13,P.E.K.K.A,4,8,Balloon,4,8,Executioner,4,8,Bandit,1,5,Ice Spirit,9,13,Giant Snowball,9,13,Tornado,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20LJ0C9C0,Ivobt,5295,2,#P2VYYL0J,MKD-PRO™️,16000122,Goblin Barrel,4,8,Bats,9,13,Princess,1,5,Mega Knight,1,5,Fisherman,1,5,Witch,4,8,Goblin Gang,9,13,Wall Breakers,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T195619.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,6,collection,#29JY2GLYU,terter,6212,1,#P8RCUUL2,Ad Astra,16000040,Minions,9,13,P.E.K.K.A,4,8,Balloon,4,8,Executioner,4,8,Bandit,1,5,Ice Spirit,9,13,Giant Snowball,9,13,Tornado,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UP99YVVQ,daniel lopez,4933,0,#2V2GVCPR,Raza Peruana ❤,16000044,Golem,4,8,Night Witch,1,5,Mega Minion,7,11,Clone,4,8,Baby Dragon,4,8,Witch,4,8,Poison,4,8,Guards,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T195242.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,5,collection,#29JY2GLYU,terter,6212,2,#P8RCUUL2,Ad Astra,16000040,Minions,9,13,P.E.K.K.A,4,8,Balloon,4,8,Executioner,4,8,Bandit,1,5,Ice Spirit,9,13,Giant Snowball,9,13,Tornado,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P989VPQGY,0x0x0,4582,1,#2YU8VU,Full English,16000061,Miner,1,5,Electro Wizard,1,5,The Log,1,5,Ice Spirit,9,13,Valkyrie,7,11,Poison,4,8,Skeletons,9,13,Inferno Tower,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T192046.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,4,collection,#29JY2GLYU,terter,6212,2,#P8RCUUL2,Ad Astra,16000040,Three Musketeers,7,11,Elite Barbarians,9,13,Royal Hogs,7,11,Wall Breakers,4,8,Elixir Collector,7,11,Mirror,4,8,Goblins,9,13,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VUVYU90,Togo I Azzoxia™,4781,1,#PQ0JQ890,FFR-Tidus,16000142,Lumberjack,1,5,Golem,4,8,Baby Dragon,4,8,Witch,4,8,Poison,4,8,Mega Minion,7,11,Tornado,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T182039.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,3,collection,#29JY2GLYU,terter,6212,3,#P8RCUUL2,Ad Astra,16000040,Three Musketeers,7,11,Royal Recruits,9,13,Royal Hogs,7,11,Heal,7,11,Elixir Collector,7,11,Skeleton Barrel,9,13,Knight,9,13,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QQ22GLRC,EXILE,5262,1,#PY22LGQR,Mazatlan Mex ll,16000096,Bats,9,13,P.E.K.K.A,4,8,Electro Wizard,1,5,Battle Ram,7,11,Barbarian Barrel,4,8,Fireball,7,11,Bandit,1,5,Baby Dragon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T175629.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29JY2GLYU,terter,6180,3,#P8RCUUL2,Ad Astra,16000040,Tornado,8,8,Bats,13,13,Ice Spirit,13,13,Knight,13,13,The Log,5,5,Balloon,8,8,Executioner,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L2YJVYV8,망고,6206,1,#PGPV0GG,잎새,16000170,Golem,8,8,Night Witch,5,5,Skeleton Barrel,13,13,Clone,8,8,Baby Dragon,8,8,Lumberjack,5,5,Rocket,11,11,Skeleton Army,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T175329.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,3,collection,#29JY2GLYU,terter,6180,0,#P8RCUUL2,Ad Astra,16000040,Golem,4,8,P.E.K.K.A,4,8,Balloon,4,8,Executioner,4,8,Bandit,1,5,Zap,9,13,Giant Snowball,9,13,Tornado,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R0J8UG09,TUNG!,4937,2,#8R8V8VR,香港同鄉會 HKG,16000024,Royal Giant,9,13,The Log,1,5,Fisherman,1,5,Mega Knight,1,5,Dart Goblin,7,11,Goblin Barrel,4,8,Princess,1,5,Skeleton Army,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T174423.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29JY2GLYU,terter,6150,1,#P8RCUUL2,Ad Astra,16000040,Tornado,8,8,Bats,13,13,Ice Spirit,13,13,Knight,13,13,The Log,5,5,Balloon,8,8,Executioner,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6155,0,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T173652.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#29JY2GLYU,terter,6125,1,#P8RCUUL2,Ad Astra,16000040,Tornado,8,8,Bats,13,13,Ice Spirit,13,13,Knight,13,13,The Log,5,5,Balloon,8,8,Executioner,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#282G0QUU9,Stif Master ☮,6068,0,#98Q208LY,Ñ-15 Stars,16000044,Zap,13,13,Spear Goblins,13,13,Knight,13,13,Barbarians,13,13,Musketeer,11,11,Fireball,11,11,Hog Rider,11,11,Goblin Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191009T173037.000Z,,54000005,Arena 5,72000023,TeamVsTeamLadder,,collection,#29JY2GLYU,terter,6125,0,#P8RCUUL2,Ad Astra,16000040,Tornado,8,8,Bats,13,13,Ice Spirit,13,13,Knight,13,13,The Log,5,5,Balloon,8,8,Executioner,8,8,Lumberjack,5,5,#LLC0GR,lapin,,0,#P8RCUUL2,Ad Astra,16000040,Giant Skeleton,8,8,Witch,8,8,Goblin Hut,11,11,Baby Dragon,8,8,Bats,13,13,Arrows,13,13,Graveyard,5,5,The Log,5,5,#2YJU8PRC8,Zio Fiabo,4996,3,#2UG9VLR2,!nferno Club,16000028,Fisherman,4,5,X-Bow,8,8,Fireball,11,11,Ice Wizard,5,5,Tesla,13,13,Barbarian Barrel,7,8,Goblin Barrel,8,8,Giant Skeleton,8,8,#20CQLVPR,tyrion lanniste,,3,#PJR0CLC,Iran,16000081,The Log,3,5,Furnace,11,11,Musketeer,11,11,Hog Rider,11,11,Mega Minion,11,11,Graveyard,3,5,Knight,13,13,Fireball,11,11
