type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T093022.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#29QCYVR2,Chruschtschow,6202,1,#P8J2P8Q8,Utopia™,16000139,Hunter,4,8,Dart Goblin,7,11,Goblin Barrel,4,8,Fireball,7,11,Royal Ghost,1,5,Ice Spirit,9,13,Dark Prince,4,8,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GVC2YC2P,龙皇斗罗,4948,0,#PR0VCG08,虎牙久宝宝的小窝,16000168,Miner,1,5,Mini P.E.K.K.A,7,11,Skeleton Army,4,8,Minions,9,13,Zap,9,13,Battle Ram,7,11,Minion Horde,9,13,Baby Dragon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T092637.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#29QCYVR2,Chruschtschow,6202,3,#P8J2P8Q8,Utopia™,16000139,Fireball,7,11,Bats,9,13,Minions,9,13,Tesla,9,13,Skeleton Barrel,9,13,Prince,4,8,Lava Hound,1,5,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QJPVGU,Jo-Lanta,5053,1,#22UL20U,4ème Section,16000028,Poison,4,8,Elixir Golem,7,11,Dart Goblin,7,11,Giant,7,11,Inferno Dragon,1,5,Goblin Gang,9,13,Wizard,7,11,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T092319.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#29QCYVR2,Chruschtschow,6202,3,#P8J2P8Q8,Utopia™,16000139,Lumberjack,1,5,Rocket,7,11,Witch,4,8,Skeleton Barrel,9,13,Dark Prince,4,8,Skeletons,9,13,Barbarian Barrel,4,8,Knight,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9LGL99LY,川上はっさん,4467,1,#9U2RGPL0,popメロンソーダ,16000043,Elixir Golem,7,11,Giant Snowball,9,13,Ice Spirit,9,13,Wizard,7,11,Hog Rider,7,11,Electro Dragon,4,8,Lightning,4,8,Barbarians,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T091925.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#29QCYVR2,Chruschtschow,6202,2,#P8J2P8Q8,Utopia™,16000139,Baby Dragon,4,8,Goblin Hut,7,11,Wall Breakers,4,8,Royal Giant,9,13,Barbarian Barrel,4,8,Ice Wizard,1,5,Cannon Cart,4,8,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C0PJJU,yaman,5252,1,#PP2JRCCY,qatar2022,16000069,Ice Golem,7,11,Prince,4,8,Flying Machine,7,11,Lightning,4,8,Elixir Golem,7,11,Balloon,4,8,Elixir Collector,7,11,Knight,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T091509.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#29QCYVR2,Chruschtschow,6202,1,#P8J2P8Q8,Utopia™,16000139,Royal Giant,9,13,Royal Recruits,9,13,Mini P.E.K.K.A,7,11,Minions,9,13,Inferno Dragon,1,5,Flying Machine,7,11,Ice Spirit,9,13,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYUV8P0YC,paul,4675,0,#290G0P9U,King Kong,16000091,Lightning,4,8,Goblins,9,13,Dark Prince,4,8,Minion Horde,9,13,Skeleton Army,4,8,Baby Dragon,4,8,Elixir Golem,7,11,Battle Ram,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T091125.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#29QCYVR2,Chruschtschow,6202,2,#P8J2P8Q8,Utopia™,16000139,Minions,9,13,Valkyrie,7,11,Royal Giant,9,13,Fireball,7,11,Bats,9,13,Skeletons,9,13,Inferno Tower,7,11,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PRRVU2C,jean,5044,1,#9PL9CP88,Infinity War,16000044,Knight,9,13,P.E.K.K.A,4,8,Ice Golem,7,11,Mega Minion,7,11,Rocket,7,11,Royal Hogs,7,11,Miner,1,5,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T090728.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#29QCYVR2,Chruschtschow,6202,0,#P8J2P8Q8,Utopia™,16000139,Spear Goblins,9,13,Musketeer,7,11,Barbarian Barrel,4,8,Valkyrie,7,11,Minion Horde,9,13,Elixir Golem,7,11,Ice Golem,7,11,Wall Breakers,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L8QLL892,TigerFighter,5013,1,#2UL9RL0C,B. & seine Crew,16000170,Royal Hogs,7,11,Skeleton Army,4,8,Royal Recruits,9,13,Wizard,7,11,Fisherman,1,5,Rocket,7,11,Zappies,7,11,Fire Spirits,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T090348.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#29QCYVR2,Chruschtschow,6202,0,#P8J2P8Q8,Utopia™,16000139,Mini P.E.K.K.A,7,11,Skeleton Army,4,8,Royal Giant,9,13,Musketeer,7,11,The Log,1,5,Bandit,1,5,Miner,1,5,Goblin Giant,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLQPLYUCL,スネ毛丸初号機,4696,1,#PG00RYV9,King Familia,16000144,Elixir Golem,7,11,Dark Prince,4,8,Fisherman,1,5,Poison,4,8,Minions,9,13,Giant,7,11,Goblin Gang,9,13,Lumberjack,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T090016.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#29QCYVR2,Chruschtschow,6202,1,#P8J2P8Q8,Utopia™,16000139,Dart Goblin,7,11,Knight,9,13,Executioner,4,8,Skeleton Army,4,8,Lumberjack,1,5,Zap,9,13,Spear Goblins,9,13,Giant,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JP9J9Q9,Elas Gandis,5707,0,#GVUYPYC,LTeSports,16000028,Goblin Giant,4,8,Goblins,9,13,The Log,1,5,Inferno Tower,7,11,Ice Spirit,9,13,Ice Wizard,1,5,Elixir Golem,7,11,Princess,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T085633.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#29QCYVR2,Chruschtschow,6202,3,#P8J2P8Q8,Utopia™,16000139,Goblin Giant,4,8,Rocket,7,11,Skeleton Army,4,8,Barbarian Barrel,4,8,Hunter,4,8,Zappies,7,11,Ram Rider,1,5,Cannon Cart,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LLQQY0J,胖子哥,4875,1,#P8RCJCQJ,天涯无海角,16000128,Bandit,1,5,Balloon,4,8,Witch,4,8,Valkyrie,7,11,Tornado,4,8,Guards,4,8,Lightning,4,8,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
