type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191010T131633.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,0,collection,#2C2VYVPPU,king night,6285,0,#P22VP929,BS Esport Pro,16000106,Mega Knight,1,5,Bats,9,13,Fisherman,1,5,Miner,1,5,Zap,9,13,Wall Breakers,4,8,Witch,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PRJUJ2LV,DjPadu19,5322,1,#YPRUP8Q,#UnBottoACAB,16000081,Clone,4,8,Tornado,4,8,Skeleton Barrel,9,13,Furnace,7,11,Flying Machine,7,11,Cannon Cart,4,8,Witch,4,8,Giant Skeleton,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191010T130455.000Z,,54000016,Master II,72000007,Friendly,,collection,#2C2VYVPPU,king night,6285,1,#P22VP929,BS Esport Pro,16000106,Giant Skeleton,4,8,Skeleton Barrel,9,13,Baby Dragon,4,8,Fisherman,1,5,Cannon Cart,4,8,Witch,4,8,Clone,4,8,Furnace,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CY0JL0GP,SLIMANE,5492,0,#LY8C2QG,DZ OF WARS,16000104,Giant Skeleton,4,8,Miner,1,5,Executioner,4,8,Tornado,4,8,Zap,9,13,Earthquake,7,11,Goblin Cage,7,11,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T124055.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C2VYVPPU,king night,6261,2,#L0CJV0JJ,•҉Thiℓdiภg͢͢∆™,16000029,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLJRYCV9,一线天,6202,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191010T104415.000Z,,54000015,Master I,72000007,Friendly,,collection,#2C2VYVPPU,king night,6261,3,#2L0V9LJ2,ملوك العز,16000027,Wall Breakers,4,8,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Inferno Tower,7,11,The Log,1,5,Poison,4,8,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJ22C2G9,franck,5051,0,#P22VP929,BS Esport Pro,16000106,Dark Prince,4,8,Prince,4,8,Poison,4,8,Goblin Gang,9,13,Giant,7,11,Bats,9,13,Zap,9,13,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T102452.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C2VYVPPU,king night,6229,1,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#280VCGLUP,エリザベスクローキャンディ,6262,0,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T102021.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C2VYVPPU,king night,6206,1,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UJ0QJUY,SVENSKEN,6135,0,#PPUPY8PC,Björnligan,16000107,Mega Knight,5,5,Inferno Dragon,5,5,Goblin Gang,13,13,Witch,8,8,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T101340.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C2VYVPPU,king night,6182,1,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8QUC0P,YT JS Gaming,6118,0,#9JYR0VYG,⚡️SD United⚡️,16000008,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T100906.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C2VYVPPU,king night,6152,1,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GGRLYP9Y,弩玩小家,6155,0,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T100205.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C2VYVPPU,king night,6133,1,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C2LJ2J0Y,⚜️KingAlex⚜️,6000,0,#9UJV0JGP,Mkers ITA,16000044,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T095806.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C2VYVPPU,king night,6170,0,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2GYJCQG,Kot,6083,1,#PUUQ89J,Ленинка,16000122,Inferno Tower,11,11,Arrows,13,13,Royal Ghost,5,5,Goblin Barrel,8,8,Princess,5,5,Giant Skeleton,8,8,Skeleton Army,8,8,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
