type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20191010T130409.000Z,,54000007,Arena 10,72000023,TeamVsTeamLadder,,collection,#QJPPC2V0,Daniele™,5902,3,#2PQR0U,I MIRMIDONI,16000081,Hog Rider,11,11,Fireball,11,11,Archers,13,13,Bats,13,13,Zap,13,13,Valkyrie,11,11,Goblins,13,13,Mortar,13,13,#2C982VC,Alessio,,3,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,#9UQCLRJU,aziz,4823,1,#Y82YVR8,q8,16000146,Zap,13,13,Hog Rider,11,11,Valkyrie,11,11,P.E.K.K.A,8,8,Musketeer,11,11,Bats,13,13,Furnace,11,11,Fireball,11,11,#VVRVPRQ,salleh,,1,#902RURU9,JOHOR MAGNUS,16000038,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,Wizard,11,11,The Log,5,5,Hog Rider,11,11,Royal Giant,13,13,Minion Horde,13,13
casual2v2,20191010T130144.000Z,,54000007,Arena 10,72000023,TeamVsTeamLadder,,collection,#2C982VC,Alessio,6245,2,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,#QJPPC2V0,Daniele™,,2,#2PQR0U,I MIRMIDONI,16000081,Hog Rider,11,11,Fireball,11,11,Archers,13,13,Bats,13,13,Zap,13,13,Valkyrie,11,11,Goblins,13,13,Mortar,13,13,#82QRPU0P,MHL,4788,0,#9LCVY9VV,Okinawa crew,16000002,Skeletons,13,13,Zap,13,13,Bomber,13,13,Goblin Gang,13,13,Minion Horde,13,13,Goblin Barrel,8,8,Baby Dragon,8,8,Giant Skeleton,8,8,#9GQL820,-*Double D's*-,,0,#8PCJGP,The Dynasty,16000029,P.E.K.K.A,7,8,Fire Spirits,13,13,Arrows,12,13,Executioner,8,8,Valkyrie,11,11,Musketeer,11,11,Lightning,8,8,Mortar,13,13
casual2v2,20191010T125823.000Z,,54000024,Arena 11,72000023,TeamVsTeamLadder,,collection,#QJPPC2V0,Daniele™,5902,2,#2PQR0U,I MIRMIDONI,16000081,Hog Rider,11,11,Fireball,11,11,Archers,13,13,Bats,13,13,Zap,13,13,Valkyrie,11,11,Goblins,13,13,Mortar,13,13,#2C982VC,Alessio,,2,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,#9JC8CPQL,Tina,4813,1,#9RJCJUGV,NAMELESS,16000029,Valkyrie,11,11,Fireball,11,11,Hog Rider,11,11,Freeze,8,8,Witch,8,8,Goblins,13,13,Bomb Tower,11,11,Wizard,11,11,#CUG0JCP,°Leco_mu°,,1,#9PUURQ,LENDAS DO CLASH,16000058,Hog Rider,11,11,Princess,5,5,Fire Spirits,13,13,Fireball,11,11,Minion Horde,13,13,Wizard,11,11,Skeleton Army,8,8,Goblin Gang,13,13
casual2v2,20191010T125509.000Z,,54000007,Arena 10,72000023,TeamVsTeamLadder,,collection,#2C982VC,Alessio,6245,3,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,#QJPPC2V0,Daniele™,,3,#2PQR0U,I MIRMIDONI,16000081,Hog Rider,11,11,Fireball,11,11,Archers,13,13,Bats,13,13,Zap,13,13,Valkyrie,11,11,Goblins,13,13,Mortar,13,13,#2CRP9UQC0,オナドリ ポポさん,5670,0,#8C90VQ0C,噂のクラン,16000054,Hog Rider,11,11,Knight,13,13,Executioner,8,8,Earthquake,11,11,Skeletons,13,13,Ice Spirit,13,13,Tornado,8,8,The Log,5,5,#CPVR2QRU,Bob,,0,#PYGCGC0V,Royale Drunks 2,16000024,P.E.K.K.A,8,8,Poison,8,8,Giant Snowball,13,13,Electro Wizard,5,5,Baby Dragon,8,8,Fisherman,4,5,Miner,5,5,Dark Prince,8,8
PvP,20191009T214725.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C982VC,Alessio,6221,1,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPUVRRR9,✨TR King♥️✨,6155,0,#PJPP9VV2,Twiter,16000000,Sparky,5,5,Giant,11,11,Zap,13,13,Goblin Gang,13,13,Executioner,8,8,Tornado,7,8,The Log,4,5,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T180149.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C982VC,Alessio,6196,3,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L2YJVYV8,망고,6143,0,#PGPV0GG,잎새,16000170,Golem,8,8,Night Witch,5,5,Skeleton Barrel,13,13,Clone,8,8,Baby Dragon,8,8,Lumberjack,5,5,Rocket,11,11,Skeleton Army,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T180008.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C982VC,Alessio,6167,1,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q0UJGL2L,Russian I Rex,6158,0,#P8GLLLPR,ホワイトルシアン❤,16000143,Dart Goblin,11,11,Rascals,13,13,Goblin Gang,13,13,Rocket,11,11,Goblin Barrel,8,8,Prince,8,8,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T175409.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C982VC,Alessio,6135,1,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRGYRC,Royale Storm,6166,0,#9PJ82CRC,RoyaleAPI Alpha,16000005,Tornado,8,8,Witch,8,8,Goblin Barrel,8,8,Rascals,13,13,Goblin Gang,13,13,Valkyrie,11,11,The Log,5,5,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T175025.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C982VC,Alessio,6160,0,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RLRCG28,⚡FCB DAMN⚡,6213,1,#YVPQV8V,CSL1,16000142,Mega Knight,5,5,Balloon,8,8,Inferno Dragon,5,5,Witch,8,8,Fireball,11,11,Zap,13,13,Freeze,8,8,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T163822.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2C982VC,Alessio,6122,1,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CYCJV8R,Ivana,6218,0,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
