type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T110141.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6169,1,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2PLJU8L,styleeuh,6057,0,#8LRG8UCQ,яeвorn,16000036,Bats,13,13,Musketeer,11,11,Mortar,13,13,Hog Rider,11,11,Ice Spirit,13,13,Skeletons,13,13,Valkyrie,11,11,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T104659.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6135,1,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJLJ98U,DIG Blaze,6184,0,#2LRU2J,Crucible Wrath,16000002,Wall Breakers,8,8,Hunter,8,8,Mega Knight,5,5,Ice Spirit,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T103231.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6094,1,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#280VCGLUP,エリザベスクローキャンディ,6230,0,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T102357.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6063,1,#YJ8LQV22,飞雪连天射白鹿,16000043,P.E.K.K.A,8,8,Tornado,8,8,Ice Wizard,5,5,X-Bow,8,8,Skeletons,13,13,The Log,5,5,Mega Minion,11,11,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QPUR09U,telatabis,6081,0,#99PJ99P8,Zion Hammer™️,16000028,Golem,8,8,Night Witch,5,5,Giant Skeleton,8,8,Skeleton Army,8,8,Minion Horde,13,13,The Log,5,5,Witch,8,8,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T101734.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6092,0,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8QUC0P,YT JS Gaming,6094,1,#9JYR0VYG,⚡️SD United⚡️,16000008,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T101229.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6125,0,#YJ8LQV22,飞雪连天射白鹿,16000043,Mega Knight,3,5,Bats,12,13,Fisherman,1,5,Miner,2,5,Zap,11,13,Wall Breakers,4,8,Witch,6,8,Barbarian Barrel,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QVGYPQ,JacoboTheHobo,6087,3,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T100906.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6155,0,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2VYVPPU,king night,6152,1,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T095015.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6129,1,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C2LJ2J0Y,⚜️KingAlex⚜️,6093,0,#9UJV0JGP,Mkers ITA,16000044,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T094157.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6096,1,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UVRRGRV,⚡Nightmare⚡,6137,0,#2V0QU2QC,Parabellum,16000007,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T093401.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GGRLYP9Y,弩玩小家,6067,1,#YJ8LQV22,飞雪连天射白鹿,16000043,Archers,13,13,Skeletons,13,13,Knight,13,13,Tesla,13,13,X-Bow,8,8,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2GYJCQG,Kot,6056,0,#PUUQ89J,Ленинка,16000122,Inferno Tower,11,11,Arrows,13,13,Royal Ghost,5,5,Goblin Barrel,8,8,Princess,5,5,Giant Skeleton,8,8,Skeleton Army,8,8,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
