type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T070703.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6203,2,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L28L8VPV,SAWAYA,6117,1,#YYYJ89UC,OnePiece Royale,16000028,Bats,13,13,Balloon,8,8,Zap,13,13,Miner,5,5,Ice Golem,11,11,Mega Knight,5,5,Inferno Dragon,5,5,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T070005.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6184,3,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#992LQU02G,Nova l Aaron,6060,0,#8C20GCP9,HKAFC-3rd,16000124,Wall Breakers,8,8,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Inferno Tower,11,11,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T065515.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6167,1,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJQ99R9Y,roberto!,6009,0,#98RJUQJQ,EgamerLatamES,16000000,Giant,11,11,Bats,13,13,Skeleton Army,8,8,Arrows,13,13,Bomber,13,13,Graveyard,5,5,Zap,13,13,Archers,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T065024.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6145,1,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q09URL8Y,やむし,6060,0,#892YVLC,最強JAPAN,16000054,Mega Knight,5,5,Royal Giant,13,13,Witch,8,8,Princess,5,5,Goblin Barrel,8,8,Skeleton Army,8,8,Bats,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T064638.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6112,1,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYPCQ8,Michifu☆,6155,0,#Y8LCJJQU,sa.arabic,16000139,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T064207.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6149,0,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LQVYVJP,R-V星星V的小号,6065,1,#9YGURQUL,Illuminati,16000032,Baby Dragon,8,8,Lightning,8,8,Dark Prince,8,8,Barbarian Barrel,8,8,Golem,8,8,Executioner,8,8,Goblin Cage,9,11,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T063821.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6181,1,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VC0JV20L,I’m Edwin :),6150,2,#YVPQV8V,CSL1,16000142,Giant,11,11,Sparky,5,5,Zap,13,13,Dark Prince,8,8,Minions,13,13,Minion Horde,13,13,Elixir Collector,11,11,Bandit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T063439.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6157,3,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#228V2P08,Dr.Andoura,6087,1,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T063036.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6134,2,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YUL0C0GQ,Kamish❄️,6059,1,#Y2CRRCYL,퇴물들의 모임,16000005,Ice Wizard,5,5,Tombstone,11,11,The Log,4,5,Poison,8,8,Tornado,7,8,Valkyrie,11,11,Executioner,8,8,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T062644.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2GLRQ2999,<c6>SparkyGOD,6174,1,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Minion Horde,13,13,Zap,13,13,Bats,13,13,Sparky,5,5,Skeleton Army,8,8,Fireball,11,11,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JRG28VQU,Team0-3丨千夜,6050,2,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Baby Dragon,8,8,Barbarians,13,13,Tombstone,11,11,Poison,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
