type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20191010T073705.000Z,,54000037,Legendary Arena,72000005,DraftMode,,draft,#2J8LPYRC0,Gaston_1996,6215,0,#9GYQJ0UY,solo por vacil,16000089,Earthquake,7,11,Dark Prince,4,8,Ice Spirit,9,13,Inferno Tower,7,11,Electro Dragon,4,8,Ice Golem,7,11,Skeleton Barrel,9,13,Ice Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LRYCCRR,Droopy,5157,1,#8LRP2J9Y,CRUCIALE ONE,16000078,Dart Goblin,7,11,Hog Rider,7,11,Rascals,9,13,Flying Machine,7,11,Cannon,9,13,Goblin Gang,9,13,Mortar,9,13,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T072020.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2J8LPYRC0,Gaston_1996,6189,1,#9GYQJ0UY,solo por vacil,16000089,Rocket,11,11,The Log,5,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L2YJVYV8,망고,6143,0,#PGPV0GG,잎새,16000170,Golem,8,8,Night Witch,5,5,Skeleton Barrel,13,13,Clone,8,8,Baby Dragon,8,8,Lumberjack,5,5,Rocket,11,11,Skeleton Army,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T071622.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2J8LPYRC0,Gaston_1996,6159,1,#9GYQJ0UY,solo por vacil,16000089,Rocket,11,11,The Log,5,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYPCQ8,Michifu☆,6161,0,#Y8LCJJQU,sa.arabic,16000139,Bats,13,13,Balloon,8,8,Zap,13,13,Miner,5,5,Ice Golem,11,11,Mega Knight,5,5,Inferno Dragon,5,5,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T070858.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2J8LPYRC0,Gaston_1996,6135,1,#9GYQJ0UY,solo por vacil,16000089,Rocket,11,11,The Log,5,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P00L9PRC,GROBAR,6066,0,#JRJPG9,CRO-PRO,16000044,Hog Rider,11,11,Fireball,11,11,Goblin Gang,13,13,Inferno Tower,11,11,The Log,5,5,Bandit,5,5,Skeleton Army,8,8,Archers,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191010T064908.000Z,,54000007,Arena 10,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#2J8LPYRC0,Gaston_1996,6135,3,#9GYQJ0UY,solo por vacil,16000089,Rocket,11,11,The Log,5,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,Valkyrie,11,11,#20LQ99JRR,寶可夢,,3,#LCVJ9G,TW NO.1,16000131,Barbarians,13,13,Royal Giant,13,13,Arrows,13,13,Furnace,11,11,The Log,4,5,Mega Minion,11,11,Musketeer,11,11,Lightning,8,8,#88UP92VVP,Super Ruy,5148,0,#290PR2LP,***WARRIORS***,16000012,Mini P.E.K.K.A,11,11,Hog Rider,11,11,Arrows,13,13,Bats,13,13,Electro Wizard,5,5,Skeleton Army,8,8,Bowler,8,8,Wizard,11,11,#YQLCGG,BWAHAHAHA,,0,#2J92VLLV,Au Legends 1,16000171,Poison,7,8,Ram Rider,3,5,Inferno Tower,11,11,Fireball,11,11,Executioner,8,8,Rocket,11,11,Arrows,13,13,Zap,13,13
PvP,20191010T053317.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2J8LPYRC0,Gaston_1996,6100,1,#9GYQJ0UY,solo por vacil,16000089,Rocket,11,11,The Log,5,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QC098JC9,JoseBrayan⚽️,6164,0,#PGRC2QQ8,SS Gaming,16000009,Sparky,5,5,Witch,8,8,Mega Minion,11,11,Miner,5,5,Baby Dragon,8,8,Giant,11,11,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191010T045142.000Z,,54000010,Arena 9,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#2J8LPYRC0,Gaston_1996,6100,1,#9GYQJ0UY,solo por vacil,16000089,Rocket,11,11,The Log,5,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,Valkyrie,11,11,#YJCUC8YQ,Decepticon,,1,#28RRR0PR,VanCity Royals,16000146,Ice Wizard,5,5,Graveyard,5,5,Valkyrie,11,11,Baby Dragon,8,8,Tombstone,11,11,Barbarian Barrel,8,8,Tornado,8,8,Poison,8,8,#8YPYJU8RY,mauro_vaf,5284,0,#9LL9GJ9C,Kings Dragon's,16000003,Musketeer,11,11,Baby Dragon,8,8,Flying Machine,11,11,Zap,13,13,Mega Knight,5,5,Royal Hogs,11,11,Electro Wizard,5,5,Bandit,5,5,#29LGPLVY,Brisa,,0,#2YLC0PYU,THE LAST LEGIÒN,16000018,Bomber,13,13,The Log,4,5,Wizard,11,11,Inferno Tower,11,11,Tornado,8,8,Witch,8,8,Golem,8,8,Lightning,8,8
clanWarWarDay,20191010T044754.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#2J8LPYRC0,Gaston_1996,6100,1,#9GYQJ0UY,solo por vacil,16000089,Fisherman,4,5,Magic Archer,4,5,Baby Dragon,7,8,Poison,7,8,Witch,7,8,Ram Rider,4,5,Zap,12,13,Valkyrie,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99C8ULV8P,Lion,5108,0,#9CLGP2GG,ASSASSINS ROYAL,16000032,Giant Skeleton,7,8,Witch,7,8,Hog Rider,10,11,Arrows,10,13,Fireball,10,11,Musketeer,9,11,Bats,11,13,Giant,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191010T025731.000Z,,54000024,Arena 11,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#2J8LPYRC0,Gaston_1996,6100,2,#9GYQJ0UY,solo por vacil,16000089,Valkyrie,11,11,The Log,5,5,Executioner,8,8,Goblins,13,13,Tornado,8,8,Hog Rider,11,11,Ice Spirit,13,13,Rocket,11,11,#2LC88LP2C,Diablo,,2,#8GRYPYY9,VenezuelaNation,16000039,Zap,13,13,Lumberjack,5,5,Valkyrie,11,11,P.E.K.K.A,8,8,Executioner,8,8,Freeze,8,8,Hog Rider,11,11,Fireball,11,11,#982YJGJ2,❤❤MIGUELITO❤❤,5065,1,#GVU0CQ,Wolf pack,16000108,The Log,5,5,Miner,5,5,Skeleton Army,8,8,Musketeer,11,11,Rage,8,8,Baby Dragon,8,8,Giant,11,11,Rocket,11,11,#88GG2GPR,prince_xy143,,1,#800YJVJR,TELUGU,16000039,Miner,4,5,Poison,8,8,Guards,8,8,Barbarians,13,13,Wizard,11,11,Hog Rider,11,11,Spear Goblins,13,13,Electro Wizard,3,5
casual2v2,20191010T024749.000Z,,54000005,Arena 5,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#2J8LPYRC0,Gaston_1996,6100,0,#9GYQJ0UY,solo por vacil,16000089,Valkyrie,11,11,The Log,5,5,Executioner,8,8,Goblins,13,13,Tornado,8,8,Hog Rider,11,11,Ice Spirit,13,13,Rocket,11,11,#2JGGG9JVG,⭐Saxler⭐,,0,#2LRL2U0L,Deutsch,16000080,Skeleton Barrel,13,13,Balloon,8,8,Tornado,8,8,Lightning,8,8,Valkyrie,11,11,Tesla,13,13,Wizard,11,11,Witch,8,8,#PRU2R0VL,Arthur,4789,3,#Y8RV2Q,SMIC Alliance,16000010,Valkyrie,11,11,Lightning,8,8,Mega Minion,11,11,Inferno Dragon,4,5,Battle Ram,11,11,Baby Dragon,8,8,Furnace,11,11,Guards,8,8,#2GVRPYJRV,Big D,,3,#Y9RVJJC,Clash Kings,16000144,Dart Goblin,11,11,Skeleton Army,5,8,Giant Skeleton,8,8,Zap,13,13,Furnace,11,11,Baby Dragon,8,8,Fireball,11,11,Flying Machine,11,11
