type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarCollectionDay,20191010T135124.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6189,2,#L00R0GGU,TOP,16000046,Graveyard,1,5,Cannon Cart,4,8,Ice Wizard,1,5,Baby Dragon,4,8,Goblin Cage,7,11,Barbarian Barrel,4,8,Tornado,4,8,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GJ8CGRR9,Šêlvîņ Ğ,5216,1,#YYVQYQUJ,Darkfire,16000024,Giant Skeleton,4,8,Balloon,4,8,Bats,9,13,Skeletons,9,13,Miner,1,5,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T111553.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6162,3,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88JQV8YGP,UNDERRATED,6131,2,#PPUPY8PC,Björnligan,16000107,Barbarian Barrel,8,8,Goblin Gang,13,13,Mortar,13,13,Rascals,13,13,Dart Goblin,11,11,Bats,13,13,Giant Snowball,13,13,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T110621.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6140,3,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RPJ9LQQ,PvPeter,6049,2,#P9JQV9JJ,•ＴＥＡＭ • ＯＭＥＧＡ•,16000145,Ice Golem,11,11,Mini P.E.K.K.A,11,11,Rocket,11,11,Princess,4,5,Ice Spirit,13,13,Bats,13,13,Hog Rider,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T105921.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6121,3,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y2VCJ028,KT™,5999,1,#8Y9LRLUG,Clash On • Wars,16000002,Giant,11,11,Hog Rider,11,11,Fireball,11,11,Zap,13,13,Skeletons,13,13,Night Witch,5,5,Minions,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T105249.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6157,1,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLJRYCV9,一线天,6084,3,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Zap,13,13,Poison,8,8,P.E.K.K.A,8,8,Fisherman,5,5,Dark Prince,8,8,Electro Wizard,5,5,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T104635.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6131,3,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L0VP8R8V,⭐️星辰⭐️,6096,2,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T104053.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6161,1,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJLJ98U,DIG Blaze,6154,3,#2LRU2J,Crucible Wrath,16000002,Wall Breakers,8,8,Hunter,8,8,Mega Knight,5,5,Ice Spirit,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T103520.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6127,2,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8QUC0P,YT JS Gaming,6176,1,#9JYR0VYG,⚡️SD United⚡️,16000008,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T101847.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6099,3,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J9VV9,coco,6086,1,#82UV9LV,Ad Vitam,16000040,Rocket,11,11,Miner,5,5,Minion Horde,13,13,Poison,8,8,The Log,4,5,Furnace,11,11,Goblin Gang,13,13,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T101245.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6067,2,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R8JL80RY,あさこー,6093,1,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T100536.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6040,2,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRGUCVPC,けん,6006,1,#9YC080LG,∽LUCIA∽,16000064,Goblin Barrel,8,8,Goblin Gang,13,13,Rocket,11,11,Princess,5,5,Prince,8,8,Rascals,13,13,Dart Goblin,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T100004.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6063,1,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CL0GU8,⚡Xx_MaHmOd_Xx⚡,6136,2,#9J20GC8Y,درع الجزيره,16000024,Mortar,13,13,Rascals,13,13,Miner,5,5,Fireball,11,11,The Log,5,5,Goblin Gang,13,13,Spear Goblins,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T095540.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6032,1,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LLQVC0VC,이지코어,6045,0,#9LPG8RJ,Hall of Fame,16000013,X-Bow,8,8,Tesla,13,13,Archers,13,13,Ice Golem,11,11,Skeletons,13,13,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T095151.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6064,1,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YUJUUQ0,FC INTER,6040,2,#2LRU2J,Crucible Wrath,16000002,Valkyrie,11,11,Fisherman,4,5,Baby Dragon,8,8,Zap,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
