type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T141145.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6102,1,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UP9Y8UR,⚜️CoDeMaGic⚜️,6174,0,#L99CY2P,!RoyalKing! 2,16000029,Furnace,11,11,Mega Minion,11,11,Tornado,8,8,Ice Golem,11,11,Witch,8,8,Graveyard,5,5,Barbarian Barrel,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140736.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6137,0,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U9G28UC,太陽の塔から採れたて海苔屋,6068,2,#PJYLVRU9,寄付,16000108,Inferno Dragon,5,5,Bowler,8,8,Tornado,8,8,Lumberjack,5,5,Barbarian Barrel,8,8,Baby Dragon,8,8,Balloon,8,8,Freeze,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140223.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6137,0,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VUUJUP9,Down I Janne,6220,0,#Y0LJ0CQP,Down by Law,16000142,Giant Skeleton,8,8,Minion Horde,13,13,Skeleton Army,8,8,Executioner,8,8,Zap,13,13,Goblin Barrel,8,8,Tornado,8,8,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T135544.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6108,1,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PCY8PLQ8,じいや,6098,0,#992L9C02,Architects™️,16000106,Giant Skeleton,7,8,Bomber,13,13,Mega Minion,11,11,Baby Dragon,8,8,Zap,13,13,Tornado,8,8,Night Witch,5,5,Golem,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T135107.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6136,0,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QRPLQG,Chaos Ivar,6159,1,#CJ2PPUR,chaos,16000107,Golem,8,8,Witch,8,8,Night Witch,5,5,Lumberjack,5,5,Baby Dragon,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T134733.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6173,0,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GJ290C9Q,神ＮＥＰＴＵＮＯ™,6087,1,#Y9RVG999,Mad Scientists,16000028,Valkyrie,11,11,The Log,5,5,Executioner,8,8,Goblins,13,13,Tornado,8,8,Hog Rider,11,11,Ice Spirit,13,13,Rocket,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T134120.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6205,0,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPLL82LY,❤️Cr1stal❤️,6175,1,#2LVRQ29,Midwinter™,16000168,Rocket,11,11,The Log,5,5,Hog Rider,11,11,Ice Spirit,13,13,Goblins,13,13,Executioner,8,8,Tornado,8,8,P.E.K.K.A,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T133716.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6173,2,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YC9Q8LVC,Rizor,6205,1,#P8QJV0JC,Таки Odessa⛵️,16000014,Giant,11,11,The Log,4,5,Fireball,11,11,Zap,13,13,Witch,8,8,Graveyard,5,5,Bats,13,13,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T133310.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6205,1,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6181,2,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T132750.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6240,1,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GCUVJYP,David,6177,2,#QPG02J0,Estepona Bros,16000172,Mega Knight,5,5,Inferno Dragon,5,5,Electro Wizard,5,5,Zap,13,13,Miner,5,5,Bats,13,13,Bandit,5,5,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T132229.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6217,3,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99U902LY,이도소태도,6143,0,#8L0UGJRG,GAME OF THRONES,16000015,Giant Skeleton,8,8,Night Witch,5,5,Clone,8,8,Tornado,8,8,Royal Ghost,5,5,Hunter,8,8,Fisherman,5,5,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T131924.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6232,1,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6409,2,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T131456.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6261,0,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RLRCG28,⚡FCB DAMN⚡,6272,1,#YVPQV8V,CSL1,16000142,Mega Knight,5,5,Balloon,8,8,Inferno Dragon,5,5,Witch,8,8,Fireball,11,11,Zap,13,13,Freeze,8,8,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T130931.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,0,collection,#2QVGYPQ,JacoboTheHobo,6261,0,#YYGPC9,Norwegians,16000109,Golem,4,8,Zap,9,13,Dark Prince,4,8,Tornado,4,8,Baby Dragon,4,8,Witch,4,8,Poison,4,8,Night Witch,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYQ9G09G,JasonTheBomb,4746,1,#80G09LG9,BM Madness,16000077,Graveyard,1,5,Valkyrie,7,11,Ice Wizard,1,5,Miner,1,5,Zap,9,13,Ice Spirit,9,13,Tornado,4,8,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T122950.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6226,2,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y82PU8V9,DEXTER,6287,1,#9LY8RVY0,DEXTER TEAM,16000107,Bandit,5,5,Lumberjack,5,5,Night Witch,5,5,Poison,8,8,Baby Dragon,8,8,Golem,8,8,Mega Minion,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T122415.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6208,1,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GVGJJ02Q,余地あああア,6061,0,#9UU92P0V,Stay Forever,16000010,Mortar,13,13,Valkyrie,11,11,Musketeer,11,11,Miner,5,5,Skeletons,13,13,Ice Spirit,13,13,The Log,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T121936.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6187,1,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92GVPRVL,Emir Uzumaki,6092,0,#8202GG,pirats of clash,16000123,Lava Hound,5,5,Inferno Dragon,5,5,Baby Dragon,8,8,Guards,8,8,Tombstone,11,11,Fireball,11,11,Miner,4,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T121550.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2QVGYPQ,JacoboTheHobo,6217,0,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LLUPVPY,بوحاضر,6213,1,#8G2LVJVJ,Storm UAE™️,16000145,Giant,11,11,Goblin Gang,13,13,Sparky,5,5,Mini P.E.K.K.A,11,11,Executioner,8,8,Minions,13,13,Tornado,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
