type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T132151.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,0,draft,#2R8JL80RY,あさこー,6139,1,#PY8YRG92,Factorys,16000044,Princess,1,5,Elixir Golem,7,11,Giant Snowball,9,13,Royal Giant,9,13,Night Witch,1,5,Inferno Tower,7,11,Spear Goblins,9,13,Dart Goblin,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RGC9VYRQ,stela,4830,0,#998GJPYL,SC-Academy™,16000131,Electro Wizard,1,5,Fire Spirits,9,13,Barbarians,9,13,Executioner,4,8,Miner,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T131131.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2R8JL80RY,あさこー,6108,1,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8JLCLR0,Ailvin,6131,0,#Y08L2CU,Breizh Royale,16000144,Graveyard,5,5,Bowler,8,8,Tornado,8,8,Zap,13,13,Electro Wizard,5,5,Executioner,8,8,Poison,8,8,Knight,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T121010.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2R8JL80RY,あさこー,6075,2,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CYYPYQL,⚔️BekiR⚔️,6117,1,#9LVPYQR0,Excalibur,16000122,Giant,11,11,Mega Minion,11,11,The Log,5,5,Miner,5,5,Fisherman,4,5,Witch,8,8,Skeletons,13,13,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T120315.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2R8JL80RY,あさこー,6048,3,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22QG9RJGP,ZINOU❤️❤️,6018,1,#PQ0JQ890,FFR-Tidus,16000142,Baby Dragon,8,8,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,Tornado,8,8,Lightning,8,8,Elixir Collector,11,11,Golem,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T115807.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2R8JL80RY,あさこー,6019,1,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0YV0YR9,Ｇ Ｈ Ｏ Ｓ Ｔ ™ ✨,6013,0,#2V8CUU0R,ARAB SYNERGY,16000077,P.E.K.K.A,8,8,Executioner,8,8,Electro Wizard,5,5,Bandit,5,5,Ram Rider,5,5,Tornado,8,8,Barbarian Barrel,8,8,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T115318.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2R8JL80RY,あさこー,6046,0,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6073,1,#PQR0J929,LOS MONJES,16000002,Royal Ghost,5,5,Battle Ram,11,11,Bandit,5,5,Zap,13,13,Electro Wizard,5,5,Tornado,8,8,P.E.K.K.A,8,8,Wizard,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114939.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2R8JL80RY,あさこー,6077,0,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88JQV8YGP,UNDERRATED,6056,1,#PPUPY8PC,Björnligan,16000107,Barbarian Barrel,8,8,Goblin Gang,13,13,Mortar,13,13,Rascals,13,13,Dart Goblin,11,11,Bats,13,13,Giant Snowball,13,13,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114455.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2R8JL80RY,あさこー,6053,3,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9UPQPRU,Gordi11,5986,0,#PPU92L99,Competo,16000000,Zap,13,13,Tornado,8,8,Executioner,8,8,Sparky,5,5,Giant,11,11,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Earthquake,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114135.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2R8JL80RY,あさこー,6023,1,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R9P8JV2C,RengoIsGod™️✨,6030,0,#PR2JR22Q,OGRengo™️,16000002,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Guards,8,8,Baby Dragon,8,8,Valkyrie,11,11,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T110128.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2R8JL80RY,あさこー,5998,2,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UYRYQ9LQ,Hádēs,5948,1,#9C2YR8UV,Q8Team EG,16000003,Zap,13,13,Sparky,5,5,Minions,13,13,Mega Minion,11,11,Dark Prince,8,8,Giant,11,11,Poison,8,8,Mini P.E.K.K.A,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
