type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191009T144051.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6197,2,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#800CP8CLU,monkees,6142,1,#YJJ9CJV0,Zilenkees,16000044,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Mega Minion,11,11,Baby Dragon,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T143136.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6171,1,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VCG2C0R,yyyy,6134,0,,,,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T070225.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6150,2,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQJ9UUP,~Lorenzo~,6052,1,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T065237.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6125,1,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89U22JGG2,Ultimate⭐Story,6073,0,#YPQYJQU2,ELITE STORY,16000077,Mega Knight,5,5,Inferno Dragon,5,5,Miner,5,5,Skeleton Barrel,13,13,Goblin Gang,13,13,Bats,13,13,Spear Goblins,13,13,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T064852.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6160,0,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QLJU20J,CrossBow,6090,1,#9RCRYVRL,Трактарына,16000042,Giant,11,11,Sparky,5,5,Minion Horde,13,13,Goblin Gang,13,13,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T064440.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6145,2,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22Q02LPLG,AHMEDTAREK,5965,0,#PCV9RYJJ,Cambio OP,16000097,Goblins,13,13,Fire Spirits,13,13,Princess,5,5,Miner,5,5,The Log,5,5,Mini P.E.K.K.A,11,11,Zap,13,13,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T064016.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6113,2,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L2YJVYV8,망고,6145,1,#PGPV0GG,잎새,16000170,Golem,8,8,Night Witch,5,5,Skeleton Barrel,13,13,Clone,8,8,Baby Dragon,8,8,Lumberjack,5,5,Rocket,11,11,Skeleton Army,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T063351.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6086,1,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9YRGV8R,菜憨憨,6052,0,#Y0Y2JLG8,暴风将至,16000008,Bats,13,13,Goblin Gang,13,13,Inferno Dragon,5,5,Mega Knight,5,5,Miner,5,5,Wall Breakers,8,8,Witch,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T062920.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6054,2,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLJRYCV9,一线天,6086,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T062539.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,KIX™️ iAmJP,6028,2,#L8LR2G0Y,YouTube: iAmJP,16000031,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,5992,1,#PYP8UPJV,Tha Clique,16000107,Barbarians,13,13,Zap,13,13,Tombstone,11,11,Fireball,11,11,Balloon,8,8,Lava Hound,5,5,Mega Minion,11,11,Minions,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
