type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T142726.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,5991,0,#P9VLJRRR,Biggi's Bande,16000158,Golem,8,8,Night Witch,5,5,Baby Dragon,8,8,Rocket,11,11,Lumberjack,5,5,Skeleton Barrel,13,13,Clone,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G09JUP2U,Obi1,5968,3,#2L9R22G,PitaGyro,16000040,The Log,5,5,Giant,11,11,Zap,13,13,Miner,5,5,Mini P.E.K.K.A,11,11,Witch,8,8,Electro Wizard,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T142349.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,6020,1,#P9VLJRRR,Biggi's Bande,16000158,Giant,11,11,Witch,8,8,Minions,13,13,Minion Horde,13,13,Miner,5,5,Skeletons,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QCPU2RR,<c2>一人国王,6025,3,#PVJYJ0CC,宝石家族,16000100,Golem,8,8,Night Witch,5,5,Baby Dragon,8,8,Rocket,11,11,Lumberjack,5,5,Barbarian Barrel,8,8,Tornado,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T141851.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,6049,0,#P9VLJRRR,Biggi's Bande,16000158,Giant,11,11,Witch,8,8,Minions,13,13,Minion Horde,13,13,Miner,5,5,Skeletons,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP0Q8LUQ,CrimsixRoyale,6056,1,#L2QQ8CRQ,CrimsixRoyale,16000159,Tornado,8,8,Witch,8,8,Goblin Barrel,8,8,Rascals,13,13,Goblin Gang,13,13,Valkyrie,11,11,The Log,5,5,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T141211.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,6017,1,#P9VLJRRR,Biggi's Bande,16000158,Giant,11,11,Witch,8,8,Minions,13,13,Minion Horde,13,13,Miner,5,5,Skeletons,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CCVCG2PY,¿What’s Values?,6042,0,#9V2PU2VJ,Limitless,16000096,X-Bow,8,8,Knight,13,13,Skeletons,13,13,Fire Spirits,13,13,Archers,13,13,Tesla,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140844.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,6046,1,#P9VLJRRR,Biggi's Bande,16000158,Giant,11,11,Witch,8,8,Minions,13,13,Minion Horde,13,13,Miner,5,5,Skeletons,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QYV2UPY9,Mr. Grayson,6049,2,#YVCCG0LQ,casa carut,16000081,Hog Rider,11,11,Ice Spirit,13,13,Tornado,7,8,The Log,5,5,Executioner,8,8,Valkyrie,11,11,Goblins,13,13,Rocket,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140316.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,6013,3,#P9VLJRRR,Biggi's Bande,16000158,Giant,11,11,Witch,8,8,Minions,13,13,Minion Horde,13,13,Miner,5,5,Skeletons,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P99GYCY9,IL GINECOLOGO,6056,1,#P8JLV8JL,Clash2IT,16000013,Fisherman,5,5,Lumberjack,5,5,Tornado,7,8,Baby Dragon,8,8,Dark Prince,8,8,Lightning,8,8,Golem,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140002.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,5983,1,#P9VLJRRR,Biggi's Bande,16000158,Giant,11,11,Witch,8,8,Minions,13,13,Minion Horde,13,13,Miner,5,5,Skeletons,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GJVQRRGG,Gustavo,5988,0,#8UCLQV2Q,Baja California,16000044,Baby Dragon,8,8,Barbarian Barrel,8,8,Golem,8,8,Mega Minion,11,11,Fisherman,4,5,Poison,8,8,Lumberjack,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T135648.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,6013,0,#P9VLJRRR,Biggi's Bande,16000158,Giant,11,11,Witch,8,8,Minions,13,13,Minion Horde,13,13,Miner,5,5,Skeletons,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CL92VV8Y,DanjaZown,6002,3,#PVQGYPCP,Nova Elite11,16000044,Giant,11,11,Fireball,11,11,Witch,8,8,Flying Machine,11,11,Mirror,8,8,Rage,7,8,Zap,13,13,Mini P.E.K.K.A,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T135344.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,5985,3,#P9VLJRRR,Biggi's Bande,16000158,Giant,11,11,Witch,8,8,Minions,13,13,Minion Horde,13,13,Miner,5,5,Skeletons,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLJCQQ0,アーモンドサラダ【サブ垢】,5970,0,#PQC0V2JU,NO MORE MERCURY,16000102,Valkyrie,11,11,Royal Giant,13,13,Skeletons,13,13,Ice Spirit,13,13,Executioner,8,8,The Log,5,5,Tornado,8,8,Earthquake,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T135020.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RCR8PJV,ᴊᴏɴᴀʜ心水,6017,0,#P9VLJRRR,Biggi's Bande,16000158,Fireball,11,11,Miner,5,5,Rascals,13,13,Goblin Gang,13,13,Barbarian Barrel,7,8,Bats,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JP0UC9PL,やこう,5991,1,#PRY82VV8,Let me cry,16000000,Archers,13,13,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,Tesla,13,13,X-Bow,8,8,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
