type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T135137.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#2RGVVP0RV,Cris72xD,6121,1,#YJJGQQJY,XBOW GOD,16000029,Hog Rider,7,11,Lava Hound,1,5,Magic Archer,1,5,Bats,9,13,Fire Spirits,9,13,Lumberjack,1,5,Poison,4,8,Minions,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CL2PG8CV,Migusch,5062,2,#9LR00GJ,#Royale Army,16000098,Flying Machine,7,11,Arrows,9,13,Inferno Dragon,1,5,Goblin Gang,9,13,Ice Spirit,9,13,Valkyrie,7,11,Elixir Golem,7,11,Wall Breakers,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134756.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,6,draft,#2RGVVP0RV,Cris72xD,6121,1,#YJJGQQJY,XBOW GOD,16000029,Valkyrie,7,11,Arrows,9,13,Hunter,4,8,Electro Dragon,4,8,Barbarian Hut,7,11,Skeleton Barrel,9,13,Goblins,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LYJRRV0L,L4TT3NR0ST,5006,0,#PP9LPU0V,ü30 jungbrunnen,16000018,The Log,1,5,Skeleton Army,4,8,Miner,1,5,Furnace,7,11,Spear Goblins,9,13,Goblin Cage,7,11,Earthquake,7,11,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134349.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,5,draft,#2RGVVP0RV,Cris72xD,6121,3,#YJJGQQJY,XBOW GOD,16000029,Bandit,1,5,Giant,7,11,Electro Wizard,1,5,Zappies,7,11,Cannon,9,13,Guards,4,8,Lightning,4,8,Royal Hogs,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JPCJC8RY,nike,4740,0,#9URJR9YQ,我们一起的,16000108,Ram Rider,1,5,Poison,4,8,Fire Spirits,9,13,Goblin Cage,7,11,Minions,9,13,Inferno Dragon,1,5,Elixir Golem,7,11,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T094421.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,4,draft,#2RGVVP0RV,Cris72xD,6121,3,#YJJGQQJY,XBOW GOD,16000029,Electro Wizard,1,5,Baby Dragon,4,8,Royal Giant,9,13,Skeletons,9,13,Tombstone,7,11,Arrows,9,13,Ice Golem,7,11,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C0RYGQPL,john,4331,2,#20CYVVYP,spenden,16000164,Goblins,9,13,Elixir Golem,7,11,Zap,9,13,Goblin Hut,7,11,Spear Goblins,9,13,Graveyard,1,5,Bomber,9,13,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T093957.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,3,draft,#2RGVVP0RV,Cris72xD,6121,2,#YJJGQQJY,XBOW GOD,16000029,Rocket,7,11,Electro Dragon,4,8,Executioner,4,8,Elixir Golem,7,11,Wall Breakers,4,8,Spear Goblins,9,13,Skeletons,9,13,Barbarian Hut,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8PQR9QP,Веталь,4681,1,#9U0URPQG,Knock-knock,16000141,Mortar,9,13,Goblin Gang,9,13,Bats,9,13,Hog Rider,7,11,Goblin Giant,4,8,Baby Dragon,4,8,Wizard,7,11,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T093624.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,2,draft,#2RGVVP0RV,Cris72xD,6121,3,#YJJGQQJY,XBOW GOD,16000029,Goblin Giant,4,8,The Log,1,5,Royal Hogs,7,11,Minions,9,13,Rascals,9,13,Inferno Dragon,1,5,Wizard,7,11,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LLJ2Y08C,毁灭魔神,3118,0,#YQR0CP82,紫金之巅,16000016,Goblin Barrel,4,8,Executioner,4,8,Ice Wizard,1,5,Mini P.E.K.K.A,7,11,Goblin Gang,9,13,Royal Giant,9,13,Arrows,9,13,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T093404.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,1,draft,#2RGVVP0RV,Cris72xD,6121,2,#YJJGQQJY,XBOW GOD,16000029,Lightning,4,8,Princess,1,5,Royal Giant,9,13,Elixir Golem,7,11,Ice Spirit,9,13,Goblins,9,13,Minion Horde,9,13,Dart Goblin,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JRP9CG9P,Limitateur,5097,1,#2988CP9,BrokenClan,16000149,Mega Minion,7,11,Ice Wizard,1,5,Ice Golem,7,11,Fire Spirits,9,13,Lava Hound,1,5,Giant,7,11,Musketeer,7,11,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T092904.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,0,draft,#2RGVVP0RV,Cris72xD,6121,2,#YJJGQQJY,XBOW GOD,16000029,Electro Dragon,4,8,Bandit,1,5,Rocket,7,11,Royal Giant,9,13,Dark Prince,4,8,Ice Spirit,9,13,Skeleton Barrel,9,13,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YLGRRYP0,Hatem,4945,1,#8CJRCG8,Mon,16000148,Minion Horde,9,13,Giant,7,11,Skeletons,9,13,Goblin Gang,9,13,Elixir Golem,7,11,Barbarian Barrel,4,8,Magic Archer,1,5,Bowler,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191011T092143.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#2RGVVP0RV,Cris72xD,6121,2,#YJJGQQJY,XBOW GOD,16000029,Prince,4,8,Goblin Gang,9,13,Goblin Barrel,4,8,Dart Goblin,7,11,Rascals,9,13,Princess,1,5,The Log,1,5,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9989JQY2,Florin98,5291,1,#9CCQ202P,BlackSquadRo,16000107,Giant Skeleton,4,8,Balloon,4,8,Bats,9,13,Skeletons,9,13,Miner,1,5,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191011T091644.000Z,,54000037,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#2RGVVP0RV,Cris72xD,6121,1,#YJJGQQJY,XBOW GOD,16000029,Ice Spirit,13,13,Fireball,11,11,X-Bow,8,8,The Log,5,5,Ice Golem,11,11,Skeletons,13,13,Tesla,13,13,Archers,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYVQLRLP,撸至深处自然浓,5119,0,#200GU9P0,聚龙社,16000000,Valkyrie,10,11,Mirror,7,8,Cannon Cart,7,8,Sparky,3,5,Furnace,11,11,Goblin Hut,10,11,Poison,7,8,Magic Archer,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
