type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T034243.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RP8Q0VY,儒雅随和搁小浅,6196,1,#9UQR8UQ9,凌烟阁,16000177,Miner,5,5,Fisherman,5,5,Giant,11,11,Witch,8,8,Skeletons,13,13,Mega Minion,11,11,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92Y89CQ82,GIVENCHY,6130,0,#YP9RLJGR,Youtube,16000152,Royal Ghost,5,5,Bandit,5,5,Electro Wizard,5,5,Battle Ram,11,11,P.E.K.K.A,8,8,Poison,8,8,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T033728.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RP8Q0VY,儒雅随和搁小浅,6170,1,#9UQR8UQ9,凌烟阁,16000177,Miner,5,5,Fisherman,5,5,Giant,11,11,Witch,8,8,Skeletons,13,13,Mega Minion,11,11,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJYCYJJ,graveyardfam,6129,0,#2LRU2J,Crucible Wrath,16000002,Witch,8,8,Baby Dragon,8,8,Tornado,8,8,Skeletons,13,13,Giant Skeleton,8,8,Ice Wizard,5,5,Graveyard,5,5,Freeze,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191010T005759.000Z,,54000010,Arena 9,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#2RP8Q0VY,儒雅随和搁小浅,6170,3,#9UQR8UQ9,凌烟阁,16000177,Miner,5,5,Fisherman,5,5,Giant,11,11,Witch,8,8,Skeletons,13,13,Mega Minion,11,11,Poison,8,8,The Log,5,5,#2CRPPCL2G,NicolasBlack,,3,#C0UQG9,"""olimpo""",16000171,Baby Dragon,8,8,Witch,8,8,Giant Skeleton,8,8,Barbarians,13,13,Tornado,8,8,Skeleton Army,8,8,Inferno Tower,11,11,Zap,13,13,#LPPRVGJV,熊大来嚣张了,4724,0,#28PVPR,包子村,16000168,Valkyrie,11,11,Goblin Gang,13,13,Poison,8,8,Inferno Tower,10,11,Zap,13,13,Wizard,11,11,Lightning,8,8,Royal Giant,13,13,#8YUJL2CP,tidugrau,,0,#2LUP9U0V,24 horas online,16000058,Barbarians,13,13,Mega Knight,4,5,Furnace,10,11,Minion Horde,13,13,Fire Spirits,13,13,Wizard,11,11,Elite Barbarians,13,13,Mirror,8,8
friendly,20191010T004847.000Z,,54000018,Champion,72000007,Friendly,,collection,#2RP8Q0VY,儒雅随和搁小浅,6170,0,#9UQR8UQ9,凌烟阁,16000177,Miner,1,5,Fisherman,1,5,Giant,7,11,Witch,4,8,Skeletons,9,13,Mega Minion,7,11,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PCCY0VQG,NS 丨 ❤️胡桐叶❤️,5806,3,#PPUCRGQC,Eternal Legend,16000047,Miner,1,5,Fisherman,1,5,Giant,7,11,Witch,4,8,Barbarians,9,13,Mega Minion,7,11,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191010T004429.000Z,,54000018,Champion,72000007,Friendly,,collection,#2RP8Q0VY,儒雅随和搁小浅,6170,3,#9UQR8UQ9,凌烟阁,16000177,Miner,1,5,Fisherman,1,5,Giant,7,11,Witch,4,8,Skeletons,9,13,Mega Minion,7,11,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PCCY0VQG,NS 丨 ❤️胡桐叶❤️,5806,0,#PPUCRGQC,Eternal Legend,16000047,Royal Giant,9,13,Fisherman,1,5,Furnace,7,11,Hunter,4,8,Witch,4,8,Mega Minion,7,11,Lightning,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T003824.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RP8Q0VY,儒雅随和搁小浅,6140,2,#9UQR8UQ9,凌烟阁,16000177,Miner,5,5,Fisherman,5,5,Giant,11,11,Witch,8,8,Skeletons,13,13,Mega Minion,11,11,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CGL29LG,Ángel Ramírez™,6148,1,#PUG9L9YC,★Toxicity City★,16000024,Zap,13,13,Minions,13,13,Royal Giant,13,13,Musketeer,11,11,Barbarians,13,13,Fireball,11,11,Ice Wizard,5,5,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T003308.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RP8Q0VY,儒雅随和搁小浅,6120,1,#9UQR8UQ9,凌烟阁,16000177,Miner,5,5,Fisherman,5,5,Giant,11,11,Witch,8,8,Skeletons,13,13,Mega Minion,11,11,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U92QLL2J,YT✌DDaB0ng™,6011,0,#228YYL99,AllinForce,16000017,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T002909.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RP8Q0VY,儒雅随和搁小浅,6086,1,#9UQR8UQ9,凌烟阁,16000177,Miner,5,5,Fisherman,5,5,Giant,11,11,Witch,8,8,Skeletons,13,13,Mega Minion,11,11,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#929URQCL8,lemonTree68,6140,0,#2LVRQ29,Midwinter™,16000168,Archers,13,13,Skeletons,13,13,Tesla,13,13,Fireball,11,11,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T002423.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RP8Q0VY,儒雅随和搁小浅,6106,0,#9UQR8UQ9,凌烟阁,16000177,Miner,5,5,Fisherman,5,5,Giant,11,11,Witch,8,8,Skeletons,13,13,Mega Minion,11,11,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2VYVPPU,king night,6225,1,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T002031.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2RP8Q0VY,儒雅随和搁小浅,6144,1,#9UQR8UQ9,凌烟阁,16000177,Miner,5,5,Fisherman,5,5,Giant,11,11,Witch,8,8,Skeletons,13,13,Mega Minion,11,11,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8908YPRR,Zeppe,6047,3,#8P928C,PUN PIRATES,16000029,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Barbarian Barrel,8,8,Mega Minion,11,11,Baby Dragon,8,8,Tornado,8,8,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
