type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T132336.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2VCG2C0R,yyyy,6294,1,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6290,0,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T131745.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2VCG2C0R,yyyy,6268,1,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RRVCUUGQ,NR I Riku⚡️,6225,0,#PRYRLGJQ,Nexus Lance,16000043,Goblin Gang,13,13,The Log,5,5,Goblin Barrel,8,8,Princess,5,5,Rascals,13,13,Rocket,11,11,Dart Goblin,11,11,Cannon Cart,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T131047.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2VCG2C0R,yyyy,6244,1,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89CRJCGJ,Bomber BULLET,6185,0,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T120219.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2VCG2C0R,yyyy,6220,1,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#282G0QUU9,Stif Master ☮,6151,0,#98Q208LY,Ñ-15 Stars,16000044,Zap,13,13,Spear Goblins,13,13,Knight,13,13,Barbarians,13,13,Musketeer,11,11,Fireball,11,11,Hog Rider,11,11,Goblin Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T115554.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2VCG2C0R,yyyy,6184,1,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QRPRRL9L,THE KILLER™,6262,0,#90CLL8UP,Supernova,16000028,Golem,8,8,Baby Dragon,8,8,The Log,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Witch,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T115203.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2VCG2C0R,yyyy,6217,0,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8QUC0P,YT JS Gaming,6181,1,#9JYR0VYG,⚡️SD United⚡️,16000008,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T114815.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2VCG2C0R,yyyy,6247,0,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29CY08G2,Tiltdrian,6240,1,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T113853.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#2VCG2C0R,yyyy,6247,0,#PPCLCJG9,AK Syndicate,16000044,Goblin Giant,4,8,Miner,1,5,Fisherman,1,5,Hunter,4,8,The Log,1,5,Fireball,7,11,Night Witch,1,5,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0C8C9JV,HeRo,4811,1,#9GCCU8P9,チームミルージュの栄光,16000168,Bomb Tower,7,11,Wall Breakers,4,8,Dart Goblin,7,11,Poison,4,8,Miner,1,5,Skeletons,9,13,Bats,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T113531.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#2VCG2C0R,yyyy,6247,0,#PPCLCJG9,AK Syndicate,16000044,Goblin Giant,4,8,Miner,1,5,Fisherman,1,5,Hunter,4,8,The Log,1,5,Fireball,7,11,Night Witch,1,5,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUGCRRJQ,Giblin Master,5626,1,#QPJ9JQ2,공감,16000022,Goblin Giant,4,8,Mega Minion,7,11,Dark Prince,4,8,Guards,4,8,Sparky,1,5,Giant Snowball,9,13,Electro Wizard,1,5,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T113108.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,1,collection,#2VCG2C0R,yyyy,6247,1,#PPCLCJG9,AK Syndicate,16000044,Goblin Giant,4,8,Miner,1,5,Fisherman,1,5,Hunter,4,8,The Log,1,5,Fireball,7,11,Night Witch,1,5,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#988P8U2RJ,せやな,5054,0,#2V8VC28L,NOVA I 鳥心2,16000095,Balloon,4,8,Inferno Tower,7,11,Miner,1,5,Wall Breakers,4,8,Rascals,9,13,Ice Golem,7,11,Arrows,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
