type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20191010T003423.000Z,,54000018,Champion,72000007,Friendly,,collection,#2VPG8Y2P,7427466391,6109,0,#PUJY0RP0,Never Finished,16000044,Ice Golem,7,11,X-Bow,4,8,Skeletons,9,13,Fireball,7,11,Archers,9,13,Tesla,9,13,Ice Spirit,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9JJ8J028,<c6>tin2,5037,3,#PUJY0RP0,Never Finished,16000044,Wall Breakers,4,8,Miner,1,5,Goblin Cage,7,11,Witch,4,8,Bats,9,13,Fisherman,1,5,Poison,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T003141.000Z,,54000018,Champion,72000007,Friendly,,collection,#2VPG8Y2P,7427466391,6109,0,#PUJY0RP0,Never Finished,16000044,P.E.K.K.A,4,8,Poison,4,8,Bandit,1,5,Royal Ghost,1,5,Zap,9,13,Electro Wizard,1,5,Battle Ram,7,11,Minions,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQJQG0QQ,fatboy,4758,3,#PUJY0RP0,Never Finished,16000044,Ice Golem,7,11,Musketeer,7,11,X-Bow,4,8,The Log,1,5,Elixir Collector,7,11,Skeletons,9,13,Tesla,9,13,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T002947.000Z,,54000018,Champion,72000007,Friendly,,collection,#2VPG8Y2P,7427466391,6109,0,#PUJY0RP0,Never Finished,16000044,P.E.K.K.A,4,8,Poison,4,8,Bandit,1,5,Royal Ghost,1,5,Zap,9,13,Electro Wizard,1,5,Battle Ram,7,11,Minions,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9JJ8J028,<c6>tin2,5037,3,#PUJY0RP0,Never Finished,16000044,Fisherman,1,5,Valkyrie,7,11,Executioner,4,8,The Log,1,5,Graveyard,1,5,Tornado,4,8,Poison,4,8,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T002606.000Z,,54000018,Champion,72000007,Friendly,,collection,#2VPG8Y2P,7427466391,6109,1,#PUJY0RP0,Never Finished,16000044,Bats,9,13,Wall Breakers,4,8,Giant Snowball,9,13,Miner,1,5,Fisherman,1,5,Witch,4,8,Goblin Cage,7,11,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9JJ8J028,<c6>tin2,5037,0,#PUJY0RP0,Never Finished,16000044,Witch,4,8,Ice Wizard,1,5,Elixir Collector,7,11,Mirror,4,8,Barbarians,9,13,X-Bow,4,8,Tesla,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T002154.000Z,,54000018,Champion,72000007,Friendly,,collection,#2VPG8Y2P,7427466391,6109,1,#PUJY0RP0,Never Finished,16000044,Bats,9,13,Wall Breakers,4,8,Giant Snowball,9,13,Miner,1,5,Fisherman,1,5,Witch,4,8,Goblin Cage,7,11,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9JJ8J028,<c6>tin2,5037,2,#PUJY0RP0,Never Finished,16000044,Wall Breakers,4,8,Miner,1,5,Goblin Cage,7,11,Witch,4,8,Bats,9,13,Fisherman,1,5,Poison,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T001649.000Z,,54000015,Master I,72000007,Friendly,,collection,#2VPG8Y2P,7427466391,6109,1,#PUJY0RP0,Never Finished,16000044,Bats,9,13,Wall Breakers,4,8,Giant Snowball,9,13,Miner,1,5,Fisherman,1,5,Witch,4,8,Goblin Cage,7,11,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9JJ8J028,<c6>tin2,5037,0,#PUJY0RP0,Never Finished,16000044,Giant,7,11,Witch,4,8,Mega Minion,7,11,Skeletons,9,13,Fisherman,1,5,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191009T210458.000Z,,54000015,Master I,72000007,Friendly,,collection,#2VPG8Y2P,7427466391,6109,0,#PUJY0RP0,Never Finished,16000044,Royal Giant,9,13,Rocket,7,11,Mortar,9,13,Archers,9,13,The Log,1,5,Giant Snowball,9,13,Ice Spirit,9,13,Barbarians,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GUVQ0U8U,Michael,5201,1,#PUJY0RP0,Never Finished,16000044,X-Bow,4,8,Ice Golem,7,11,Skeletons,9,13,Ice Spirit,9,13,The Log,1,5,Fireball,7,11,Tesla,9,13,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191009T205726.000Z,,54000015,Master I,72000007,Friendly,,collection,#2VPG8Y2P,7427466391,6109,1,#PUJY0RP0,Never Finished,16000044,Ice Golem,7,11,X-Bow,4,8,Skeletons,9,13,Fireball,7,11,Archers,9,13,Tesla,9,13,Ice Spirit,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9JJ8J028,<c6>tin2,5052,0,#PUJY0RP0,Never Finished,16000044,Ice Golem,7,11,Archers,9,13,Tesla,9,13,Skeletons,9,13,X-Bow,4,8,Ice Spirit,9,13,Fireball,7,11,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T204721.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2VPG8Y2P,7427466391,6086,1,#PUJY0RP0,Never Finished,16000044,Knight,13,13,X-Bow,8,8,Skeletons,13,13,Fireball,11,11,Archers,13,13,Tesla,13,13,Ice Spirit,13,13,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#229VC2R2V,りっきー,6009,0,#9VCR0VY,catastrophe,16000120,Mega Knight,5,5,Zap,13,13,Furnace,11,11,Electro Wizard,5,5,Royal Ghost,5,5,Poison,8,8,Inferno Dragon,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T204336.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2VPG8Y2P,7427466391,6086,0,#PUJY0RP0,Never Finished,16000044,Knight,13,13,X-Bow,8,8,Skeletons,13,13,Fireball,11,11,Archers,13,13,Tesla,13,13,Ice Spirit,13,13,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#929URQCL8,lemonTree68,6085,0,#2LVRQ29,Midwinter™,16000168,Archers,13,13,Skeletons,13,13,Tesla,13,13,Fireball,11,11,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
