type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20191010T125201.000Z,,54000015,Master I,72000007,Friendly,,collection,#2Y9J8PJ0,fabain2000,6213,0,#9YP0U2QU,PredatorZGaming,16000022,Ice Golem,7,11,Three Musketeers,7,11,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,Skeletons,9,13,Royal Hogs,7,11,Royal Ghost,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GRQQQLU,TogoLP ,5062,1,#9YP0U2QU,PredatorZGaming,16000022,Zap,9,13,Bats,9,13,Royal Giant,9,13,Musketeer,7,11,Mini P.E.K.K.A,7,11,Fireball,7,11,Ice Wizard,1,5,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T122150.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2Y9J8PJ0,fabain2000,6184,1,#9YP0U2QU,PredatorZGaming,16000022,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29QCYVR2,Chruschtschow,6181,0,#P8J2P8Q8,Utopia™,16000139,Mini P.E.K.K.A,11,11,Golem,8,8,Baby Dragon,8,8,Night Witch,5,5,Poison,8,8,Mega Minion,11,11,Tornado,7,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T121724.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2Y9J8PJ0,fabain2000,6154,3,#9YP0U2QU,PredatorZGaming,16000022,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#282G0QUU9,Stif Master ☮,6156,1,#98Q208LY,Ñ-15 Stars,16000044,Zap,13,13,Spear Goblins,13,13,Knight,13,13,Barbarians,13,13,Musketeer,11,11,Fireball,11,11,Hog Rider,11,11,Goblin Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T121307.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2Y9J8PJ0,fabain2000,6187,0,#9YP0U2QU,PredatorZGaming,16000022,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2GYJCQG,Kot,6147,3,#PUUQ89J,Ленинка,16000122,Inferno Tower,11,11,Arrows,13,13,Royal Ghost,5,5,Goblin Barrel,8,8,Princess,5,5,Giant Skeleton,8,8,Skeleton Army,8,8,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T224413.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2Y9J8PJ0,fabain2000,6152,1,#9YP0U2QU,PredatorZGaming,16000022,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CGL29LG,Ángel Ramírez™,6219,0,#PUG9L9YC,★Toxicity City★,16000024,Zap,13,13,Minions,13,13,Royal Giant,13,13,Musketeer,11,11,Barbarians,13,13,Fireball,11,11,Ice Wizard,5,5,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T223907.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#2Y9J8PJ0,fabain2000,6113,1,#9YP0U2QU,PredatorZGaming,16000022,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R020P,FENOFINALFORM⚡☠,6228,0,#YPPJ0VJP,QLASH Restart,16000123,Royal Giant,13,13,Mega Minion,11,11,Zap,13,13,Sparky,5,5,Hog Rider,11,11,Arrows,13,13,Barbarians,13,13,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate2v2,20191009T222828.000Z,,54000018,Champion,72000014,TeamVsTeam,,collection,#2Y9J8PJ0,fabain2000,,1,#9YP0U2QU,PredatorZGaming,16000022,Fisherman,1,5,P.E.K.K.A,4,8,Electro Wizard,1,5,Giant Snowball,9,13,Royal Ghost,1,5,Ram Rider,1,5,Magic Archer,1,5,Fireball,7,11,#LV8G00J2,PZG♦️YuNg Slafu,,1,#9YP0U2QU,PredatorZGaming,16000022,Witch,4,8,Golem,4,8,Baby Dragon,4,8,Guards,4,8,Night Witch,1,5,Electro Dragon,4,8,Tornado,4,8,Barbarian Barrel,4,8,#2L9CJURU9,Bobobombo,,0,#9YP0U2QU,PredatorZGaming,16000022,Electro Wizard,1,5,Lumberjack,1,5,Battle Ram,7,11,Zap,9,13,Baby Dragon,4,8,Tornado,4,8,Executioner,4,8,P.E.K.K.A,4,8,#8LJV80RR,♦️PZG♦️Yannik♦️,,0,#9YP0U2QU,PredatorZGaming,16000022,Royal Recruits,9,13,Bomb Tower,7,11,Miner,1,5,Poison,4,8,Executioner,4,8,Tornado,4,8,Ice Spirit,9,13,The Log,1,5
clanMate2v2,20191009T221941.000Z,,54000018,Champion,72000014,TeamVsTeam,,collection,#2Y9J8PJ0,fabain2000,,0,#9YP0U2QU,PredatorZGaming,16000022,Fisherman,1,5,P.E.K.K.A,4,8,Electro Wizard,1,5,Giant Snowball,9,13,Royal Ghost,1,5,Ram Rider,1,5,Magic Archer,1,5,Fireball,7,11,#2L9CJURU9,Bobobombo,,0,#9YP0U2QU,PredatorZGaming,16000022,Barbarian Barrel,4,8,Poison,4,8,Mega Minion,7,11,Furnace,7,11,Baby Dragon,4,8,Mini P.E.K.K.A,7,11,Night Witch,1,5,Golem,4,8,#8LJV80RR,♦️PZG♦️Yannik♦️,,1,#9YP0U2QU,PredatorZGaming,16000022,Royal Recruits,9,13,Bomb Tower,7,11,Miner,1,5,Poison,4,8,Executioner,4,8,Tornado,4,8,Ice Spirit,9,13,The Log,1,5,#LV8G00J2,PZG♦️YuNg Slafu,,1,#9YP0U2QU,PredatorZGaming,16000022,Graveyard,1,5,Freeze,4,8,Rage,4,8,Rascals,9,13,Dart Goblin,7,11,Skeleton Army,4,8,Musketeer,7,11,Inferno Tower,7,11
clanMate2v2,20191009T221243.000Z,,54000016,Master II,72000014,TeamVsTeam,,collection,#2Y9J8PJ0,fabain2000,,1,#9YP0U2QU,PredatorZGaming,16000022,Ice Golem,7,11,Three Musketeers,7,11,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,Skeletons,9,13,Royal Hogs,7,11,Royal Ghost,1,5,#2L9CJURU9,Bobobombo,,1,#9YP0U2QU,PredatorZGaming,16000022,Electro Wizard,1,5,Lumberjack,1,5,Miner,1,5,Zap,9,13,Baby Dragon,4,8,Tornado,4,8,Executioner,4,8,P.E.K.K.A,4,8,#8LJV80RR,♦️PZG♦️Yannik♦️,,0,#9YP0U2QU,PredatorZGaming,16000022,Mega Knight,1,5,Inferno Dragon,1,5,Miner,1,5,Zap,9,13,Witch,4,8,Goblin Gang,9,13,Bats,9,13,Wall Breakers,4,8,#LV8G00J2,PZG♦️YuNg Slafu,,0,#9YP0U2QU,PredatorZGaming,16000022,Royal Giant,9,13,Baby Dragon,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Guards,4,8,Furnace,7,11,Mega Minion,7,11,Lightning,4,8
clanWarCollectionDay,20191009T220900.000Z,,54000037,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#2Y9J8PJ0,fabain2000,6113,1,#9YP0U2QU,PredatorZGaming,16000022,Tombstone,11,11,Cannon Cart,8,8,Poison,8,8,Executioner,8,8,Witch,8,8,Graveyard,5,5,Tornado,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C92VQG29,El uyuyui,4996,2,#2V2C8GYG,TE VOA CALMAR,16000139,Earthquake,9,11,Mirror,8,8,Lightning,7,8,Zap,13,13,Bomber,13,13,P.E.K.K.A,8,8,Executioner,8,8,Knight,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
