type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20191010T013059.000Z,,54000010,Arena 9,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#8908YPRR,Zeppe,6190,2,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#800CP8CLU,monkees,,2,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Magic Archer,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,#2PVPRYG90,이재영,5089,1,#9QLL2PQG,Korea레전드,16000024,Inferno Dragon,5,5,Lava Hound,5,5,Tombstone,11,11,Dart Goblin,11,11,Rocket,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,#82CVJ09Q,i_am_keng,,1,#G0GVG2R,Thai RY Clan,16000012,Furnace,11,11,Musketeer,11,11,Goblin Hut,11,11,Miner,5,5,Barbarian Barrel,8,8,Baby Dragon,8,8,Lightning,8,8,P.E.K.K.A,8,8
casual2v2,20191010T012734.000Z,,54000004,Arena 4,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#800CP8CLU,monkees,6210,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Magic Archer,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,#8908YPRR,Zeppe,,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#99QVPLR2,Tony,5188,2,#UQR9LP,Tundra Hounds,16000044,Goblin Gang,13,13,Giant,11,11,Wizard,11,11,Bats,13,13,Witch,8,8,Zap,13,13,Tornado,8,8,Goblin Barrel,8,8,#PY2CC92L,alfitory,,2,#2RRQCP2R,50 Kings Libya,16000145,Witch,8,8,Minion Horde,13,13,Poison,8,8,Rage,8,8,Princess,5,5,Electro Wizard,5,5,Bomber,12,13,Giant,11,11
casual2v2,20191010T012349.000Z,,54000003,Arena 3,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#800CP8CLU,monkees,6210,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Magic Archer,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,#8908YPRR,Zeppe,,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#8JCPYCV0,cj有何不可,5038,0,#2RLP9G0,虎扑,16000146,Inferno Tower,11,11,Elite Barbarians,13,13,Baby Dragon,8,8,Goblin Barrel,8,8,The Log,5,5,Zap,13,13,Fireball,11,11,Electro Wizard,5,5,#UCUPC0CR,葉落归根,,0,#QGPC8Q,静静de绒线裤,16000178,Mega Minion,11,11,Golem,8,8,Tornado,8,8,Lumberjack,5,5,Baby Dragon,8,8,Dark Prince,7,8,Lightning,8,8,Night Witch,5,5
casual2v2,20191010T012241.000Z,,54000007,Arena 10,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#8908YPRR,Zeppe,6190,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#800CP8CLU,monkees,,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Magic Archer,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,#9YRPCG8P,buster85,4980,0,#808R2YYR,PHANTASMS,16000077,Furnace,11,11,Elite Barbarians,13,13,Goblin Gang,13,13,Minion Horde,13,13,Fireball,11,11,Executioner,8,8,Royal Giant,13,13,Witch,8,8,#82YCGJCJP,Valim,,0,#2VGQR2V,Clash or Crash!,16000144,Zap,13,13,Tombstone,11,11,Miner,5,5,Valkyrie,11,11,Poison,8,8,Giant,11,11,Musketeer,11,11,Witch,8,8
clanWarWarDay,20191010T011117.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#800CP8CLU,monkees,6210,2,#90RJPCUU,WHAM! eSports,16000156,Skeletons,12,13,Guards,7,8,Royal Giant,12,13,Witch,8,8,Fireball,10,11,The Log,4,5,Fisherman,4,5,Bats,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U8URJU9P,⭐Lorah⭐,4848,1,#8JYGVQ0L,Souza Dantas,16000107,Zap,12,13,Minions,12,13,Valkyrie,10,11,Witch,6,8,Royal Giant,11,13,Magic Archer,2,5,Lumberjack,2,5,Skeleton Army,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T010136.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#800CP8CLU,monkees,6210,0,#YJJ9CJV0,Zilenkees,16000044,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Mega Minion,11,11,Baby Dragon,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8908YPRR,Zeppe,6190,0,#8P928C,PUN PIRATES,16000029,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Barbarian Barrel,8,8,Mega Minion,11,11,Baby Dragon,8,8,Tornado,8,8,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191009T153329.000Z,,54000005,Arena 5,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#20L0UCCR8,Zilentensu,2351,3,#YJJ9CJV0,Zilenkees,16000044,Giant Snowball,5,13,The Log,1,5,Hog Rider,5,11,Miner,2,5,Mini P.E.K.K.A,5,11,Inferno Dragon,2,5,Mega Minion,6,11,Night Witch,1,5,#800CP8CLU,monkees,,3,#YJJ9CJV0,Zilenkees,16000044,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Mega Minion,11,11,Baby Dragon,8,8,Barbarian Barrel,8,8,#9VV9L0G9G,chenk,4707,0,#882QLR9Y,Arianos CLub II,16000029,Bats,9,13,Zap,10,13,Ice Spirit,9,13,The Log,2,5,Mirror,3,8,Skeletons,9,13,Rocket,7,11,Barbarian Barrel,5,8,#8YGQ8C99Y,GABRIEL .,,0,#8892P8JJ,Arianos Club,16000028,Rocket,9,11,Mirror,6,8,Spear Goblins,12,13,Tornado,6,8,Skeletons,12,13,Ice Spirit,12,13,Giant Snowball,12,13,Cannon,12,13
PvP,20191009T153013.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#800CP8CLU,monkees,6188,2,#YJJ9CJV0,Zilenkees,16000044,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Mega Minion,11,11,Baby Dragon,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29JY2GLYU,terter,6101,1,#P8RCUUL2,Ad Astra,16000040,Tornado,8,8,Bats,13,13,Ice Spirit,13,13,Knight,13,13,The Log,5,5,Balloon,8,8,Executioner,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191009T152216.000Z,,54000007,Arena 10,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#800CP8CLU,monkees,6188,3,#YJJ9CJV0,Zilenkees,16000044,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Mega Minion,11,11,Baby Dragon,8,8,Barbarian Barrel,8,8,#20L0UCCR8,Zilentensu,,3,#YJJ9CJV0,Zilenkees,16000044,Giant Snowball,5,13,The Log,1,5,Hog Rider,5,11,Miner,2,5,Mini P.E.K.K.A,5,11,Inferno Dragon,2,5,Mega Minion,6,11,Night Witch,1,5,#888PVUL82,JayK,4800,0,#PGC9LJPL,잇츠,16000025,Goblin Gang,13,13,Fire Spirits,13,13,Fireball,11,11,Zap,12,13,Prince,8,8,Goblin Barrel,7,8,Inferno Dragon,4,5,Witch,7,8,#L8RUPQRPC,June,,0,#PGC9LJPL,잇츠,16000025,X-Bow,2,8,Baby Dragon,4,8,Tornado,2,8,Night Witch,1,5,Ram Rider,1,5,Bomber,7,13,Ice Wizard,1,5,Hog Rider,6,11
PvP,20191009T151205.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#800CP8CLU,monkees,6166,1,#YJJ9CJV0,Zilenkees,16000044,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Mega Minion,11,11,Baby Dragon,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28QJ8LPQ,Destroyer,6079,0,#9CRPCPV2,DirtyVibes,16000165,Baby Dragon,8,8,Golem,8,8,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,Lumberjack,5,5,Tornado,7,8,Electro Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
