type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T181925.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6227,2,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6215,1,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T181419.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6196,1,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UQQCC0JC,繁星,6208,0,#9CU2PQ2J,不正经的养老院,16000131,Graveyard,5,5,Bats,13,13,Hunter,8,8,Fisherman,5,5,Giant Skeleton,8,8,Dark Prince,8,8,Poison,8,8,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T181035.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6222,0,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UL0JU92V,Bat Ivko,6266,1,#8QQUCUQY,BulgarianGang™,16000026,Zap,13,13,Minions,13,13,Battle Ram,11,11,Poison,8,8,P.E.K.K.A,8,8,Fisherman,5,5,Royal Ghost,5,5,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T180604.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6194,1,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y82PU8V9,DEXTER,6177,0,#9LY8RVY0,DEXTER TEAM,16000107,Bandit,5,5,Lumberjack,5,5,Night Witch,5,5,Poison,8,8,Baby Dragon,8,8,Golem,8,8,Mega Minion,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T180209.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6227,1,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UVRRGRV,⚡Nightmare⚡,6188,2,#2V0QU2QC,Parabellum,16000007,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T175446.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6259,0,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CU0VJ0CY,シイス,6230,1,#YYP0RRJY,Brave weeds™,16000002,Miner,5,5,Electro Wizard,5,5,The Log,5,5,Poison,8,8,Valkyrie,11,11,Skeletons,13,13,Ice Spirit,13,13,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T175003.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6284,0,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JRQV929,W. Z. X.,6341,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T174143.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6312,0,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2GYJCQG,Kot,6329,3,#L8QVP282,CWA notice me,16000164,Inferno Tower,11,11,Arrows,13,13,Royal Ghost,5,5,Goblin Barrel,8,8,Princess,5,5,Giant Skeleton,8,8,Skeleton Army,8,8,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T173548.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6283,3,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP0Q8LUQ,CrimsixRoyale,6277,0,#L2QQ8CRQ,CrimsixRoyale,16000159,Tornado,8,8,Witch,8,8,Goblin Barrel,8,8,Rascals,13,13,Goblin Gang,13,13,Valkyrie,11,11,The Log,5,5,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T173158.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6257,3,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPUCPVC8,şadov prov,6219,0,#2022C0V8,BORDOBERELİLER,16000030,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T172626.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6220,1,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRGYRC,Royale Storm,6310,0,#9PJ82CRC,RoyaleAPI Alpha,16000005,Wall Breakers,8,8,Bomb Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T172141.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6186,1,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U0L2CRL,<c6>Tux,6244,0,#JRJPG9,CRO-PRO,16000044,Giant Skeleton,8,8,Hog Rider,11,11,Tornado,8,8,Knight,13,13,Ice Wizard,5,5,Fireball,11,11,The Log,5,5,Electro Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T171253.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6212,0,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6248,1,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T170821.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6184,1,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QRPRRL9L,THE KILLER™,6170,0,,,,Golem,8,8,Baby Dragon,8,8,The Log,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Witch,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T170350.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80QGLCCU,King of Clash,6157,1,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RCYRP8JP,V.A.L.E.R.A,6125,0,#9PU9892U,Lords of life,16000015,Mega Knight,5,5,Hog Rider,11,11,Fireball,11,11,Ice Golem,11,11,Inferno Dragon,5,5,Zap,13,13,Goblin Gang,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
