type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T133735.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6168,1,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RRVCUUGQ,NR I Riku⚡️,6168,2,#PRYRLGJQ,Nexus Lance,16000043,Ice Spirit,13,13,The Log,5,5,Goblin Barrel,8,8,Princess,5,5,Tesla,13,13,Rocket,11,11,Dart Goblin,11,11,Cannon Cart,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T124119.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6146,1,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QG9Q88GJ,༄叶༅昱༄,6058,0,#YYL2GJUC,女神的世界,16000111,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Wall Breakers,8,8,The Log,4,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T123731.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6182,1,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YQYPV0C,klose18,6105,2,#9LLL2URJ,Sandstorm EGY,16000097,Giant,11,11,Poison,8,8,Miner,5,5,Mini P.E.K.K.A,11,11,Witch,8,8,Skeletons,13,13,Mega Minion,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T123212.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6154,3,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L8L8LC,NS丨Prince旭,6138,1,#YYL2GJUC,女神的世界,16000111,Lumberjack,5,5,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Elixir Collector,11,11,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T122658.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6128,1,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8892LL892,L Lawliet,6091,0,#8UJULRQG,ASSASSINESSの会,16000006,X-Bow,8,8,Ice Golem,11,11,Archers,13,13,Fireball,11,11,Ice Spirit,13,13,Skeletons,13,13,Tesla,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T122106.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6155,0,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLJRYCV9,一线天,6185,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T121719.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6120,1,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2GYJCQG,Kot,6180,0,#PUUQ89J,Ленинка,16000122,Inferno Tower,11,11,Arrows,13,13,Royal Ghost,5,5,Goblin Barrel,8,8,Princess,5,5,Giant Skeleton,8,8,Skeleton Army,8,8,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T121209.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6151,1,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29QCYVR2,Chruschtschow,6129,2,#P8J2P8Q8,Utopia™,16000139,Mini P.E.K.K.A,11,11,Golem,8,8,Baby Dragon,8,8,Night Witch,5,5,Poison,8,8,Mega Minion,11,11,Tornado,7,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T120736.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6122,1,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9L9VRRQ2,Jack...sparrow!,6117,0,#9VL28L0L,Ring of Fire CR,16000002,P.E.K.K.A,8,8,Battle Ram,11,11,Fireball,11,11,Zap,13,13,Minions,13,13,The Log,5,5,Lumberjack,5,5,Musketeer,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T120219.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#80VC2RJ0P,IzzyC,6088,2,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L0VP8R8V,⭐️星辰⭐️,6145,1,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
