type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20190926T011011.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#82UL2JJLY,aForce࿐,6090,0,#299QCRR,Mowin Em Down,16000144,Bandit,5,5,Royal Hogs,11,11,Earthquake,10,11,Giant Snowball,13,13,Mega Minion,11,11,Magic Archer,5,5,Ice Spirit,13,13,Skeletons,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#828VGPGJ,FL I 駿佑ী,6107,3,#YRVPL99Q,Final Link,16000043,Valkyrie,11,11,Ice Wizard,5,5,Baby Dragon,8,8,Inferno Dragon,4,5,Barbarians,13,13,Tornado,8,8,Freeze,8,8,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20190926T010202.000Z,,54000017,Master III,72000066,Showdown_Ladder,,collection,#82UL2JJLY,aForce࿐,6090,2,#299QCRR,Mowin Em Down,16000144,Royal Giant,12,13,Baby Dragon,7,8,Arrows,12,13,Miner,4,5,Guards,7,8,Musketeer,10,11,Zap,12,13,Prince,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P80JLGG,UncleAndy520,5903,1,#299QCRR,Mowin Em Down,16000144,P.E.K.K.A,7,8,Baby Dragon,7,8,Valkyrie,10,11,Zap,12,13,Poison,7,8,Hog Rider,10,11,Guards,7,8,Musketeer,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarWarDay,20190926T005526.000Z,,54000036,Legendary Arena,72000066,Showdown_Ladder,,collection,#82UL2JJLY,aForce࿐,6090,3,#299QCRR,Mowin Em Down,16000144,Royal Giant,12,13,Baby Dragon,7,8,Arrows,12,13,Miner,4,5,Guards,7,8,Musketeer,10,11,Zap,12,13,Prince,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J0CUVC00,MometZzJr,5792,0,#9RJ0UCCG,ATLANTIS BETA,16000050,Giant,10,11,Bats,12,13,Zap,12,13,Tornado,7,8,Knight,12,13,Poison,6,8,Wizard,9,11,Valkyrie,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T220825.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#82UL2JJLY,aForce࿐,6119,0,#299QCRR,Mowin Em Down,16000144,Tornado,8,8,The Log,4,5,Mega Minion,11,11,Ice Spirit,13,13,Skeletons,13,13,Magic Archer,5,5,P.E.K.K.A,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLJ0VUYL,Mago Sombrio,6127,3,#P8C0PV89,Immortal Storm,16000026,P.E.K.K.A,8,8,Wizard,11,11,The Log,5,5,Guards,8,8,Electro Wizard,5,5,Lumberjack,5,5,Balloon,8,8,Arrows,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T161841.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#82UL2JJLY,aForce࿐,6092,3,#299QCRR,Mowin Em Down,16000144,Tornado,8,8,The Log,4,5,Mega Minion,11,11,Ice Spirit,13,13,Skeletons,13,13,Magic Archer,5,5,P.E.K.K.A,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JLY8RJ0P,MOU.CR,6060,1,#8GUGQV2C,Nova l México,16000044,Graveyard,4,5,Knight,13,13,Electro Wizard,5,5,The Log,4,5,P.E.K.K.A,7,8,Freeze,6,8,Executioner,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T161315.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#82UL2JJLY,aForce࿐,6124,1,#299QCRR,Mowin Em Down,16000144,Tornado,8,8,The Log,4,5,Mega Minion,11,11,Ice Spirit,13,13,Skeletons,13,13,Magic Archer,5,5,P.E.K.K.A,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C0LJLG9L,ALEXISGALLEGOS❤,6099,2,#9LLQ9YG0,The Dark Empire,16000032,Executioner,8,8,The Log,5,5,Ice Spirit,13,13,Hog Rider,11,11,Skeletons,13,13,Rocket,11,11,Knight,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T160836.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#82UL2JJLY,aForce࿐,6155,0,#299QCRR,Mowin Em Down,16000144,Tornado,8,8,The Log,4,5,Mega Minion,11,11,Ice Spirit,13,13,Skeletons,13,13,Magic Archer,5,5,P.E.K.K.A,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QCGY8L,¥¥JJ2002YTUBE¥¥,6141,1,#8YG2CCJP,Team Legends™,16000009,Hog Rider,11,11,Minions,13,13,Fireball,11,11,Ice Golem,11,11,Bandit,5,5,Musketeer,11,11,Dark Prince,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T160241.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#82UL2JJLY,aForce࿐,6126,2,#299QCRR,Mowin Em Down,16000144,Tornado,8,8,The Log,4,5,Mega Minion,11,11,Ice Spirit,13,13,Skeletons,13,13,Magic Archer,5,5,P.E.K.K.A,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LJL2JJGU,josemarivm,6125,1,#8PQJPGPU,LOS DURAKKOS,16000163,Musketeer,11,11,Bats,13,13,Valkyrie,11,11,Skeletons,13,13,Mortar,13,13,Poison,8,8,Giant Snowball,13,13,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T155801.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#82UL2JJLY,aForce࿐,6100,1,#299QCRR,Mowin Em Down,16000144,Tornado,8,8,The Log,4,5,Mega Minion,11,11,Ice Spirit,13,13,Skeletons,13,13,Magic Archer,5,5,P.E.K.K.A,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2Q8JGVY,Salty,6065,0,,,,Miner,5,5,Ice Golem,11,11,Tesla,13,13,The Log,5,5,Goblins,13,13,Skeleton Army,8,8,Musketeer,11,11,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T155434.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#82UL2JJLY,aForce࿐,6070,1,#299QCRR,Mowin Em Down,16000144,Tornado,8,8,The Log,4,5,Mega Minion,11,11,Ice Spirit,13,13,Skeletons,13,13,Magic Archer,5,5,P.E.K.K.A,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PU8JCLYY,Cap. Nakayama,6081,0,#2YUPLJCG,♦Elite Royale♦,16000032,Prince,8,8,Musketeer,11,11,Goblin Barrel,8,8,Zap,13,13,Dark Prince,8,8,Rocket,11,11,Skeleton Army,8,8,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
