type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarCollectionDay,20191010T234702.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#88CQ0YU9,BLADEWING(MM),6136,2,#CQVV2PJ,Hakuna Matata,16000044,Giant Skeleton,4,8,Balloon,4,8,Bats,9,13,Skeletons,9,13,Miner,1,5,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RULUPUGQ,Mat Taji,4897,1,#9URCY99L,MYBrotherhood2®,16000169,Royal Hogs,7,11,Bandit,1,5,Flying Machine,7,11,Bats,9,13,Barbarians,9,13,Musketeer,7,11,Barbarian Barrel,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191010T234344.000Z,,54000037,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#88CQ0YU9,BLADEWING(MM),6136,2,#CQVV2PJ,Hakuna Matata,16000044,Executioner,8,8,Tornado,8,8,Poison,8,8,Royal Giant,13,13,Knight,13,13,Skeletons,13,13,The Log,4,5,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28UUPP2V9,琦琦叶子,4873,0,#QRCUY0,世外桃源,16000107,Hog Rider,11,11,Giant,11,11,Wizard,11,11,Bomber,12,13,Minion Horde,13,13,Magic Archer,3,5,Fireball,11,11,Arrows,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191010T234009.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#88CQ0YU9,BLADEWING(MM),6136,1,#CQVV2PJ,Hakuna Matata,16000044,Graveyard,1,5,Cannon Cart,4,8,Ice Wizard,1,5,Baby Dragon,4,8,Goblin Cage,7,11,Barbarian Barrel,4,8,Tornado,4,8,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Y20PUGG2,luing,4920,0,#UY0G8C,温馨小屋,16000006,Giant Skeleton,4,8,Balloon,4,8,Bats,9,13,Skeletons,9,13,Miner,1,5,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191010T074029.000Z,,54000004,Arena 4,72000023,TeamVsTeamLadder,,collection,#88CQ0YU9,BLADEWING(MM),6136,0,#CQVV2PJ,Hakuna Matata,16000044,Executioner,8,8,Tornado,8,8,Poison,8,8,Royal Giant,13,13,Knight,13,13,Skeletons,13,13,The Log,4,5,Ice Spirit,13,13,#P0L8G8UVV,Ángel Ö,,0,#200GLUR9,Draxipsary,16000142,Giant,11,11,Wizard,11,11,Witch,8,8,Fireball,11,11,Skeleton Army,7,8,Archers,13,13,Spear Goblins,13,13,Zap,13,13,#8QGPGQQPC,Rakso,4784,3,#8URYQCRV,Lollapalooza,16000020,Mega Knight,4,5,Lumberjack,4,5,Executioner,8,8,Fireball,11,11,Clone,7,8,Wizard,11,11,Bats,13,13,Skeleton Army,8,8,#PGJLJ9QQ,美希,,3,#9LCRY9,茶店子军团,16000100,Hog Rider,11,11,Freeze,8,8,Tornado,8,8,Arrows,13,13,Minions,13,13,Bats,13,13,Goblins,13,13,Barbarians,13,13
casual1v1,20191010T073802.000Z,,54000037,Legendary Arena,72000005,DraftMode,,draft,#88CQ0YU9,BLADEWING(MM),6136,0,#CQVV2PJ,Hakuna Matata,16000044,Executioner,4,8,Golem,4,8,Dart Goblin,7,11,Cannon Cart,4,8,Goblin Barrel,4,8,Goblin Gang,9,13,Poison,4,8,Princess,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89CGU22V0,Demis,5011,3,#GQRGQQ0,Pijokai,16000107,Flying Machine,7,11,Arrows,9,13,Skeleton Army,4,8,Giant,7,11,Royal Ghost,1,5,Prince,4,8,Valkyrie,7,11,Wizard,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T072108.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88CQ0YU9,BLADEWING(MM),6104,1,#CQVV2PJ,Hakuna Matata,16000044,Ice Golem,11,11,Skeletons,13,13,The Log,4,5,Tesla,13,13,Archers,13,13,Ice Spirit,13,13,X-Bow,8,8,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYPCQ8,Michifu☆,6131,0,#Y8LCJJQU,sa.arabic,16000139,Bats,13,13,Balloon,8,8,Zap,13,13,Miner,5,5,Ice Golem,11,11,Mega Knight,5,5,Inferno Dragon,5,5,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T220420.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88CQ0YU9,BLADEWING(MM),6076,1,#CQVV2PJ,Hakuna Matata,16000044,Ice Golem,11,11,Skeletons,13,13,The Log,4,5,Tesla,13,13,Archers,13,13,Ice Spirit,13,13,X-Bow,8,8,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#URUVY29R,Gambito11®♣,6056,0,#8GG8G2RU,Heralds™,16000164,Giant,11,11,Mega Minion,11,11,Mini P.E.K.K.A,11,11,Executioner,8,8,Baby Dragon,8,8,Zap,13,13,Tornado,8,8,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T215708.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88CQ0YU9,BLADEWING(MM),6048,1,#CQVV2PJ,Hakuna Matata,16000044,Ice Golem,11,11,Skeletons,13,13,The Log,4,5,Tesla,13,13,Archers,13,13,Ice Spirit,13,13,X-Bow,8,8,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822C8222U,WHAM! | ADI™,6031,0,#P20Y92VP,WHAM! RO,16000156,Mega Knight,5,5,Zap,13,13,Spear Goblins,13,13,Fireball,11,11,Hog Rider,11,11,Bats,13,13,Witch,8,8,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T215256.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88CQ0YU9,BLADEWING(MM),6018,1,#CQVV2PJ,Hakuna Matata,16000044,Ice Golem,11,11,Skeletons,13,13,The Log,4,5,Tesla,13,13,Archers,13,13,Ice Spirit,13,13,X-Bow,8,8,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C9P98V8,⚡️Fethi⚡️,6026,0,#28UGPG8V,49+1,16000030,Knight,13,13,Ice Wizard,5,5,Royal Giant,13,13,Guards,8,8,Executioner,8,8,Rocket,11,11,The Log,5,5,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T214601.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88CQ0YU9,BLADEWING(MM),6040,1,#CQVV2PJ,Hakuna Matata,16000044,Ice Golem,11,11,Skeletons,13,13,The Log,4,5,Tesla,13,13,Archers,13,13,Ice Spirit,13,13,X-Bow,8,8,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y82PU8V9,DEXTER,6124,3,#9LY8RVY0,DEXTER TEAM,16000107,Bandit,5,5,Lumberjack,5,5,Night Witch,5,5,Poison,8,8,Baby Dragon,8,8,Golem,8,8,Mega Minion,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
