type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T025643.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88J800CQ,Javieer™,6182,2,#YPPJ0VJP,QLASH Restart,16000123,Bats,13,13,Fireball,11,11,Barbarian Barrel,8,8,Miner,5,5,Goblin Gang,13,13,Rascals,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RLG8J9GJ,かM,6259,1,#LU0RQP8,トレジャーハンター,16000098,Golem,8,8,Lumberjack,5,5,Night Witch,5,5,Mega Minion,11,11,Baby Dragon,8,8,Tornado,8,8,Lightning,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T191422.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88J800CQ,Javieer™,6155,1,#YPPJ0VJP,QLASH Restart,16000123,Bats,13,13,Fireball,11,11,Barbarian Barrel,8,8,Miner,5,5,Goblin Gang,13,13,Rascals,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8028QYLRR,Q8 I Adnan,6126,0,#2LVRQ29,Midwinter™,16000168,Giant,11,11,Minion Horde,13,13,Battle Ram,11,11,Zap,13,13,Three Musketeers,11,11,Elixir Collector,11,11,Bats,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T190951.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88J800CQ,Javieer™,6126,1,#YPPJ0VJP,QLASH Restart,16000123,Bats,13,13,Fireball,11,11,Barbarian Barrel,8,8,Miner,5,5,Goblin Gang,13,13,Rascals,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YC9Q8LVC,Rizor,6115,0,#P8QJV0JC,Таки Odessa⛵️,16000014,Giant,11,11,The Log,4,5,Fireball,11,11,Zap,13,13,Witch,8,8,Graveyard,5,5,Bats,13,13,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T190426.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88J800CQ,Javieer™,6095,1,#YPPJ0VJP,QLASH Restart,16000123,Bats,13,13,Fireball,11,11,Barbarian Barrel,8,8,Miner,5,5,Goblin Gang,13,13,Rascals,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8JLCLR0,Ailvin,6117,0,#Y08L2CU,Breizh Royale,16000144,Graveyard,5,5,Bowler,8,8,Tornado,8,8,Zap,13,13,Electro Wizard,5,5,Executioner,8,8,Poison,8,8,Knight,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T185919.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88J800CQ,Javieer™,6124,0,#YPPJ0VJP,QLASH Restart,16000123,Bats,13,13,Fireball,11,11,Barbarian Barrel,8,8,Miner,5,5,Goblin Gang,13,13,Rascals,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PJ8YL8VY,DARIIUZ,6135,1,#P8Y0GPL2,Sandstorm Mx,16000097,Ice Spirit,13,13,Giant,11,11,Sparky,5,5,Spear Goblins,13,13,Fireball,11,11,Bats,13,13,Zap,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191010T184758.000Z,,54000017,Master III,72000007,Friendly,,collection,#88J800CQ,Javieer™,6124,1,#YPPJ0VJP,QLASH Restart,16000123,Royal Giant,9,13,Baby Dragon,4,8,Mega Minion,7,11,Skeletons,9,13,Fisherman,1,5,Furnace,7,11,Lightning,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PP0VCPP9,BAIRES™,5752,0,#YPPJ0VJP,QLASH Restart,16000123,Inferno Dragon,1,5,Bats,9,13,Goblin Gang,9,13,Mega Knight,1,5,Miner,1,5,Zap,9,13,Spear Goblins,9,13,Skeleton Barrel,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T024500.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88J800CQ,Javieer™,6102,1,#YPPJ0VJP,QLASH Restart,16000123,Bats,13,13,Fireball,11,11,Barbarian Barrel,8,8,Miner,5,5,Goblin Gang,13,13,Rascals,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QUR9JQP,Andy,6010,0,#LY9U2C,Aussie Royale,16000053,Fireball,11,11,Ice Golem,11,11,The Log,5,5,Ice Spirit,13,13,X-Bow,8,8,Tesla,13,13,Archers,13,13,Skeletons,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T021603.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88J800CQ,Javieer™,6075,1,#YPPJ0VJP,QLASH Restart,16000123,Bats,13,13,Fireball,11,11,Barbarian Barrel,8,8,Miner,5,5,Goblin Gang,13,13,Rascals,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G2PU9VRJ,Emilio251,6049,0,#9YJ228YL,Mkers DE,16000144,Giant,11,11,Mega Minion,11,11,Night Witch,5,5,Electro Wizard,5,5,Baby Dragon,8,8,Dark Prince,8,8,Lightning,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T020956.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88J800CQ,Javieer™,6056,1,#YPPJ0VJP,QLASH Restart,16000123,Bats,13,13,Fireball,11,11,Barbarian Barrel,8,8,Miner,5,5,Goblin Gang,13,13,Rascals,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V9G8PQGG,Fabrício™,5933,0,,,,Bats,13,13,Goblin Gang,13,13,Mortar,13,13,Spear Goblins,13,13,Rascals,13,13,Miner,5,5,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T020328.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88J800CQ,Javieer™,6086,1,#YPPJ0VJP,QLASH Restart,16000123,Bats,13,13,Fireball,11,11,Barbarian Barrel,8,8,Miner,5,5,Goblin Gang,13,13,Rascals,13,13,Mortar,13,13,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYL8LP0,Erick,6085,2,#2GL2QPPL,MidwinterEX,16000168,Wall Breakers,8,8,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Inferno Tower,11,11,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
