type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T001418.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,0,#YVPQV8V,CSL1,16000142,Mega Knight,5,5,Balloon,8,8,Inferno Dragon,5,5,Witch,8,8,Fireball,11,11,Zap,13,13,Freeze,8,8,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QQ92VGUL,TR⚡CARLOS⚡,6198,0,,,,Skeleton Army,8,8,Hog Rider,11,11,Zap,13,13,Electro Wizard,5,5,Sparky,5,5,Executioner,8,8,Mega Knight,5,5,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T193955.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,8,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,0,#YVPQV8V,CSL1,16000142,Poison,4,8,Executioner,4,8,Witch,4,8,Wall Breakers,4,8,Miner,1,5,Tornado,4,8,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R09228V,SK Morten,5780,1,#YUL0VYPJ,SK Free2Play,16000044,Inferno Tower,7,11,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Wall Breakers,4,8,The Log,1,5,Poison,4,8,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T193642.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,8,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,0,#YVPQV8V,CSL1,16000142,Poison,4,8,Executioner,4,8,Witch,4,8,Wall Breakers,4,8,Miner,1,5,Tornado,4,8,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y8QU0GR,nero,5006,3,#PLVRUCUY,パレックスII,16000164,Zap,9,13,Bats,9,13,Wall Breakers,4,8,Miner,1,5,Goblin Gang,9,13,Inferno Dragon,1,5,Witch,4,8,Mega Knight,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T184107.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,7,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,2,#YVPQV8V,CSL1,16000142,Poison,4,8,Executioner,4,8,Witch,4,8,Wall Breakers,4,8,Miner,1,5,Tornado,4,8,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LLL82PQ,Tiger Shark,5283,1,#8QQUCUQY,BulgarianGang™,16000026,Baby Dragon,4,8,Mega Minion,7,11,Royal Giant,9,13,The Log,1,5,Furnace,7,11,Witch,4,8,Fireball,7,11,Fisherman,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T183447.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,6,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,1,#YVPQV8V,CSL1,16000142,Poison,4,8,Executioner,4,8,Witch,4,8,Wall Breakers,4,8,Miner,1,5,Tornado,4,8,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CGLLCP82,⭐No Name⭐,4227,0,,,,Bats,9,13,Wall Breakers,4,8,Giant Snowball,9,13,Miner,1,5,Fisherman,1,5,Witch,4,8,Goblin Cage,7,11,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T183030.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,6,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,0,#YVPQV8V,CSL1,16000142,Poison,4,8,Executioner,4,8,Witch,4,8,Wall Breakers,4,8,Miner,1,5,Tornado,4,8,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L22UPJCP,레모네이드,5018,1,#YP9URGU8,spam WB?,16000178,Bats,9,13,Valkyrie,7,11,Wall Breakers,4,8,Poison,4,8,Hunter,4,8,Skeletons,9,13,The Log,1,5,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T182232.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,5,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,2,#YVPQV8V,CSL1,16000142,Poison,4,8,Executioner,4,8,Witch,4,8,Wall Breakers,4,8,Miner,1,5,Tornado,4,8,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YYPJC8U,0ui2,5127,1,#2JL0PJL,team clash,16000154,Golem,4,8,Night Witch,1,5,Mega Minion,7,11,Baby Dragon,4,8,Prince,4,8,Elixir Collector,7,11,The Log,1,5,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T181137.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,4,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,2,#YVPQV8V,CSL1,16000142,Poison,4,8,Executioner,4,8,Witch,4,8,Wall Breakers,4,8,Miner,1,5,Tornado,4,8,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28L99989,AE I iAmRudy,5103,1,,,,Poison,4,8,Rascals,9,13,Miner,1,5,Dart Goblin,7,11,Bats,9,13,Wall Breakers,4,8,Inferno Tower,7,11,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T180818.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,3,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,2,#YVPQV8V,CSL1,16000142,Poison,4,8,Executioner,4,8,Witch,4,8,Wall Breakers,4,8,Miner,1,5,Tornado,4,8,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PG0G0LCPV,Maximus™️,4626,1,#CURG2R,BUSHIDO,16000030,Lava Hound,1,5,Witch,4,8,Mega Minion,7,11,Barbarians,9,13,Poison,4,8,Baby Dragon,4,8,Miner,1,5,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191009T180451.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#88RLRCG28,⚡FCB DAMN⚡,6238,1,#YVPQV8V,CSL1,16000142,Poison,4,8,Executioner,4,8,Witch,4,8,Wall Breakers,4,8,Miner,1,5,Tornado,4,8,Ice Spirit,9,13,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YU2YJLJG,thelegend27,5367,0,#28G22C02,Alpha Legion,16000078,Baby Dragon,4,8,Graveyard,1,5,Ice Wizard,1,5,Valkyrie,7,11,Barbarian Barrel,4,8,Poison,4,8,Tombstone,7,11,Tornado,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
