type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20191010T133818.000Z,,54000003,Arena 3,72000023,TeamVsTeamLadder,,collection,#8908YPRR,Zeppe,6190,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#9JV09Y8CY,☆Nahirconejita☆,,3,#9R02UQYL,Chilesumadre,16000011,Giant,11,11,Mega Minion,11,11,The Log,4,5,Mini P.E.K.K.A,11,11,Fireball,11,11,Zap,13,13,Witch,8,8,Miner,4,5,#P8JQJLJ8,El Grinch,4977,0,#29JUPYV8,WaKa Family,16000078,The Log,4,5,Ice Wizard,4,5,Princess,4,5,Freeze,8,8,Zap,13,13,Furnace,11,11,Hog Rider,11,11,Knight,13,13,#YV8RC8J9,SKR,,0,#L0P288,Warriors Legion,16000010,Giant,11,11,Mega Minion,11,11,Flying Machine,11,11,Fireball,11,11,Witch,8,8,Mini P.E.K.K.A,11,11,Zap,13,13,The Log,4,5
casual2v2,20191010T123832.000Z,,54000000,Training Camp,72000023,TeamVsTeamLadder,,collection,#8908YPRR,Zeppe,6190,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#RJGV8GCR,deviliros,,3,#PGR08J82,1T9,16000002,Miner,4,5,Zap,13,13,Barbarians,13,13,Minions,13,13,Skeleton Army,7,8,Princess,3,5,Royal Giant,13,13,Musketeer,11,11,#9RJCR08L8,Vince,4907,0,#9JGYCL9R,Team InSaNiTy,16000044,Balloon,8,8,Valkyrie,11,11,Zap,13,13,Bats,13,13,Mega Knight,5,5,Electro Dragon,7,8,Minions,13,13,Miner,4,5,#8QUPPGLRQ,melina,,0,#YVLLC28Y,ZsClan,16000136,Knight,13,13,Wizard,11,11,Fireball,11,11,Musketeer,11,11,Furnace,7,11,Skeleton Army,7,8,Freeze,7,8,Inferno Dragon,5,5
casual2v2,20191010T114649.000Z,,54000007,Arena 10,72000023,TeamVsTeamLadder,,collection,#8908YPRR,Zeppe,6190,2,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#2JV20G8UY,쮸니,,2,#9GLY9R2C,1st Pangyo,16000096,Hog Rider,11,11,Tornado,7,8,Wizard,11,11,Mini P.E.K.K.A,11,11,Goblin Gang,13,13,Bats,13,13,Barbarian Barrel,7,8,Fireball,11,11,#QLGJLG0G,onkel schwollek,4827,1,#29GQCPP,-InFidem-,16000147,Ice Wizard,5,5,Mirror,8,8,Musketeer,11,11,Arrows,13,13,Valkyrie,11,11,Giant,11,11,Minion Horde,13,13,Hog Rider,11,11,#QP2GV02,lady,,1,#PPJG2JGC,Filthy Prospect,16000028,Wizard,11,11,Furnace,11,11,Witch,8,8,Arrows,13,13,Baby Dragon,8,8,Mini P.E.K.K.A,11,11,Miner,5,5,Giant,11,11
casual2v2,20191010T040539.000Z,,54000009,Arena 8,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#8908YPRR,Zeppe,6190,2,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#2PVYCUVU,HnDn,,2,#22Y8P2Q,Project 334,16000027,Inferno Dragon,5,5,Baby Dragon,8,8,Electro Dragon,8,8,Barbarian Hut,11,11,The Log,5,5,Tornado,8,8,Poison,8,8,Lightning,8,8,#YC290J2V,ابو ثامر,4905,0,#RU0VRJ,x MalicE x,16000106,Hog Rider,11,11,Bandit,5,5,Ice Golem,11,11,Bats,13,13,Fireball,11,11,Zap,13,13,Musketeer,11,11,Skeleton Army,8,8,#999U9PP8,ragnar III,,0,#9L2Y8992,Casimir Effect,16000103,Fireball,11,11,Baby Dragon,8,8,Hog Rider,11,11,Barbarian Barrel,7,8,Inferno Tower,11,11,Electro Wizard,5,5,Elite Barbarians,13,13,Zap,13,13
casual2v2,20191010T013059.000Z,,54000010,Arena 9,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#8908YPRR,Zeppe,6190,2,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#800CP8CLU,monkees,,2,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Magic Archer,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,#2PVPRYG90,이재영,5089,1,#9QLL2PQG,Korea레전드,16000024,Inferno Dragon,5,5,Lava Hound,5,5,Tombstone,11,11,Dart Goblin,11,11,Rocket,11,11,Electro Dragon,8,8,Baby Dragon,8,8,Barbarian Barrel,8,8,#82CVJ09Q,i_am_keng,,1,#G0GVG2R,Thai RY Clan,16000012,Furnace,11,11,Musketeer,11,11,Goblin Hut,11,11,Miner,5,5,Barbarian Barrel,8,8,Baby Dragon,8,8,Lightning,8,8,P.E.K.K.A,8,8
casual2v2,20191010T012734.000Z,,54000004,Arena 4,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#800CP8CLU,monkees,6210,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Magic Archer,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,#8908YPRR,Zeppe,,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#99QVPLR2,Tony,5188,2,#UQR9LP,Tundra Hounds,16000044,Goblin Gang,13,13,Giant,11,11,Wizard,11,11,Bats,13,13,Witch,8,8,Zap,13,13,Tornado,8,8,Goblin Barrel,8,8,#PY2CC92L,alfitory,,2,#2RRQCP2R,50 Kings Libya,16000145,Witch,8,8,Minion Horde,13,13,Poison,8,8,Rage,8,8,Princess,5,5,Electro Wizard,5,5,Bomber,12,13,Giant,11,11
casual2v2,20191010T012349.000Z,,54000003,Arena 3,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#800CP8CLU,monkees,6210,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Magic Archer,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,#8908YPRR,Zeppe,,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#8JCPYCV0,cj有何不可,5038,0,#2RLP9G0,虎扑,16000146,Inferno Tower,11,11,Elite Barbarians,13,13,Baby Dragon,8,8,Goblin Barrel,8,8,The Log,5,5,Zap,13,13,Fireball,11,11,Electro Wizard,5,5,#UCUPC0CR,葉落归根,,0,#QGPC8Q,静静de绒线裤,16000178,Mega Minion,11,11,Golem,8,8,Tornado,8,8,Lumberjack,5,5,Baby Dragon,8,8,Dark Prince,7,8,Lightning,8,8,Night Witch,5,5
casual2v2,20191010T012241.000Z,,54000007,Arena 10,72000067,TeamVsTeam_DoubleElixir_Ladder,,collection,#8908YPRR,Zeppe,6190,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Magic Archer,5,5,Dark Prince,8,8,Poison,8,8,Battle Ram,11,11,Electro Wizard,5,5,Bandit,5,5,Giant Snowball,13,13,#800CP8CLU,monkees,,3,#90RJPCUU,WHAM! eSports,16000156,P.E.K.K.A,8,8,Poison,8,8,Bandit,5,5,Magic Archer,5,5,Zap,13,13,Electro Wizard,5,5,Battle Ram,11,11,Minions,13,13,#9YRPCG8P,buster85,4980,0,#808R2YYR,PHANTASMS,16000077,Furnace,11,11,Elite Barbarians,13,13,Goblin Gang,13,13,Minion Horde,13,13,Fireball,11,11,Executioner,8,8,Royal Giant,13,13,Witch,8,8,#82YCGJCJP,Valim,,0,#2VGQR2V,Clash or Crash!,16000144,Zap,13,13,Tombstone,11,11,Miner,5,5,Valkyrie,11,11,Poison,8,8,Giant,11,11,Musketeer,11,11,Witch,8,8
clanWarWarDay,20191010T011601.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#8908YPRR,Zeppe,6190,1,#90RJPCUU,WHAM! eSports,16000156,Skeletons,12,13,Guards,7,8,Royal Giant,12,13,Witch,8,8,Fireball,10,11,The Log,4,5,Fisherman,4,5,Bats,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JV8828CU,Erik,5230,0,#29GYGL8G,AutoKlanClub2.0,16000024,The Log,2,5,Fireball,8,11,Skeleton Army,7,8,Skeleton Barrel,11,13,Electro Wizard,2,5,Mega Knight,2,5,Bats,10,13,Bomber,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T010136.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8908YPRR,Zeppe,6190,0,#8P928C,PUN PIRATES,16000029,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Barbarian Barrel,8,8,Mega Minion,11,11,Baby Dragon,8,8,Tornado,8,8,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#800CP8CLU,monkees,6210,0,#YJJ9CJV0,Zilenkees,16000044,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Mega Minion,11,11,Baby Dragon,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
