type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T043459.000Z,73002493,54000011,Arena 12,72000202,Event_ElixirGolemTease,8,pick,#890LRQCLQ,ACE ⚡José⚡,6139,3,#8UY0CPU2,Nova l Raze,16000044,Elixir Golem,7,11,Magic Archer,1,5,Goblin Gang,9,13,Dark Prince,4,8,Bandit,1,5,The Log,1,5,Rascals,9,13,Goblin Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R8200YGL,坚果nut,4732,0,#GGV8Y22,斗seven魂,16000077,Elixir Golem,7,11,Electro Wizard,1,5,Poison,4,8,Witch,4,8,Magic Archer,1,5,Zap,9,13,Giant,7,11,Mini P.E.K.K.A,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T043149.000Z,73002493,54000011,Arena 12,72000202,Event_ElixirGolemTease,7,pick,#890LRQCLQ,ACE ⚡José⚡,6139,1,#8UY0CPU2,Nova l Raze,16000044,Elixir Golem,7,11,Magic Archer,1,5,Goblin Gang,9,13,Dark Prince,4,8,Bandit,1,5,The Log,1,5,Rascals,9,13,Goblin Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CGGQR9LU,iGetTheBag,4581,0,#9CYGYJUQ,Boitoh,16000075,Elixir Golem,7,11,Wizard,7,11,Mega Knight,1,5,Dark Prince,4,8,Night Witch,1,5,Skeleton Army,4,8,Tornado,4,8,Royal Ghost,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T042832.000Z,73002493,54000011,Arena 12,72000202,Event_ElixirGolemTease,6,pick,#890LRQCLQ,ACE ⚡José⚡,6139,2,#8UY0CPU2,Nova l Raze,16000044,Elixir Golem,7,11,Magic Archer,1,5,Goblin Gang,9,13,Dark Prince,4,8,Bandit,1,5,The Log,1,5,Rascals,9,13,Goblin Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L09LL20,哈哈,4785,1,,,,Elixir Golem,7,11,Sparky,1,5,Witch,4,8,Valkyrie,7,11,Wizard,7,11,Zap,9,13,Arrows,9,13,Tombstone,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191011T034458.000Z,,54000018,Champion,72000007,Friendly,,collection,#890LRQCLQ,ACE ⚡José⚡,6139,0,,,,Valkyrie,7,11,Hunter,4,8,Poison,4,8,Giant Snowball,9,13,Miner,1,5,Skeletons,9,13,Fisherman,1,5,Wall Breakers,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VRU2L2VL,UR I Abyssal,5361,1,#82GY92J2,Eminence™,16000096,Magic Archer,1,5,Mega Knight,1,5,Royal Hogs,7,11,Mega Minion,7,11,Fisherman,1,5,Electro Wizard,1,5,Giant Snowball,9,13,Dark Prince,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191011T025100.000Z,,54000017,Master III,72000007,Friendly,,collection,#890LRQCLQ,ACE ⚡José⚡,6139,2,#YJU8P890,Goals CUP,16000098,Goblin Barrel,4,8,Bandit,1,5,Rascals,9,13,Fireball,7,11,Magic Archer,1,5,Dark Prince,4,8,Goblin Gang,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PVURLVG0,Joham™,5912,1,#YJU8P890,Goals CUP,16000098,Zap,9,13,Minions,9,13,Royal Giant,9,13,Musketeer,7,11,Barbarians,9,13,Fireball,7,11,Ice Wizard,1,5,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191011T024613.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#890LRQCLQ,ACE ⚡José⚡,6139,1,#YJU8P890,Goals CUP,16000098,Fireball,7,11,Zap,9,13,Electro Wizard,1,5,Battle Ram,7,11,P.E.K.K.A,4,8,Magic Archer,1,5,Royal Ghost,1,5,Bandit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#289GG9UGC,Theking19,4789,0,#YJU8P890,Goals CUP,16000098,Lava Hound,1,5,Zap,9,13,Goblin Cage,7,11,Fireball,7,11,Guards,4,8,Miner,1,5,Mega Minion,7,11,Baby Dragon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191011T020948.000Z,,54000017,Master III,72000007,Friendly,,collection,#890LRQCLQ,ACE ⚡José⚡,6139,1,#YJU8P890,Goals CUP,16000098,Goblin Barrel,4,8,Bandit,1,5,Rascals,9,13,Rocket,7,11,Magic Archer,1,5,Dark Prince,4,8,Goblin Gang,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RCRQQ2CJ,08almendra,5659,0,#YJU8P890,Goals CUP,16000098,Royal Recruits,9,13,Royal Hogs,7,11,Dark Prince,4,8,Magic Archer,1,5,Giant Snowball,9,13,Bats,9,13,Musketeer,7,11,Flying Machine,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T220049.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#890LRQCLQ,ACE ⚡José⚡,6111,1,#8UY0CPU2,Nova l Raze,16000044,Goblin Barrel,8,8,Bandit,5,5,Rascals,13,13,Rocket,11,11,Magic Archer,5,5,Dark Prince,8,8,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29JY2GLYU,terter,6090,0,#P8RCUUL2,Ad Astra,16000040,Tornado,8,8,Bats,13,13,Ice Spirit,13,13,Knight,13,13,The Log,5,5,Balloon,8,8,Executioner,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T215640.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#890LRQCLQ,ACE ⚡José⚡,6089,1,#8UY0CPU2,Nova l Raze,16000044,Goblin Barrel,8,8,Bandit,5,5,Rascals,13,13,Rocket,11,11,Magic Archer,5,5,Dark Prince,8,8,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98CL0V2U,Luana,6004,0,#PYCVGCLP,Sion,16000040,Arrows,13,13,Goblin Gang,13,13,Giant,11,11,Bats,13,13,Minion Horde,13,13,Fireball,11,11,Spear Goblins,13,13,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T215238.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#890LRQCLQ,ACE ⚡José⚡,6063,1,#8UY0CPU2,Nova l Raze,16000044,Goblin Barrel,8,8,Bandit,5,5,Rascals,13,13,Rocket,11,11,Magic Archer,5,5,Dark Prince,8,8,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C9P98V8,⚡️Fethi⚡️,6027,0,#28UGPG8V,49+1,16000030,Knight,13,13,Ice Wizard,5,5,Royal Giant,13,13,Guards,8,8,Executioner,8,8,Lightning,8,8,The Log,5,5,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T214850.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#890LRQCLQ,ACE ⚡José⚡,6026,1,#8UY0CPU2,Nova l Raze,16000044,Goblin Barrel,8,8,Bandit,5,5,Rascals,13,13,Rocket,11,11,Magic Archer,5,5,Dark Prince,8,8,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RL9YG2C,Darrius,6110,0,#YU2RQG9,PandaScheme,16000139,Hog Rider,11,11,Mega Knight,5,5,Miner,5,5,Musketeer,11,11,Mega Minion,11,11,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T214503.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#890LRQCLQ,ACE ⚡José⚡,6052,1,#8UY0CPU2,Nova l Raze,16000044,Goblin Barrel,8,8,Bandit,5,5,Rascals,13,13,Rocket,11,11,Magic Archer,5,5,Dark Prince,8,8,Goblin Gang,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLCVY9,Schwarzen,6097,2,#L09LP,German-Stars,16000043,Valkyrie,11,11,Bats,13,13,Inferno Tower,11,11,Zap,13,13,Ice Spirit,13,13,Spear Goblins,13,13,Miner,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
