type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T132448.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6138,0,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YG0RRR9,عبدالله عماد,6074,2,#8QR0L0Y0,JORDAN GLORY,16000042,Lava Hound,5,5,Balloon,8,8,Rocket,11,11,Inferno Tower,11,11,Minions,13,13,Skeleton Army,8,8,Bomber,13,13,Arrows,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T131514.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6161,0,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92Y89CQ82,GIVENCHY,6241,1,#PGVJCRP9,Dragon X,16000093,Bandit,5,5,Ram Rider,5,5,Giant Snowball,13,13,Inferno Dragon,5,5,Magic Archer,5,5,Ice Golem,11,11,Barbarian Barrel,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T131047.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6185,0,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VCG2C0R,yyyy,6244,1,#PPCLCJG9,AK Syndicate,16000044,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T130715.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6216,0,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RRVCUUGQ,NR I Riku⚡️,6194,1,#PRYRLGJQ,Nexus Lance,16000043,Goblin Gang,13,13,The Log,5,5,Goblin Barrel,8,8,Princess,5,5,Rascals,13,13,Rocket,11,11,Dart Goblin,11,11,Cannon Cart,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T130051.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6185,1,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLJRYCV9,一线天,6197,0,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Wall Breakers,8,8,Zap,13,13,Poison,8,8,P.E.K.K.A,8,8,Fisherman,5,5,Dark Prince,8,8,Electro Wizard,5,5,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T125451.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6147,3,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUJC8QGP,⚡HardcoreGamer⚡,6250,1,#Y9GCCYR8,⭐WE'RE AUSTRIA⭐,16000039,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T124716.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6125,1,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PGUYUJ0,X-BOWCHAN,6031,0,#CQPGP8R,Liberty walker,16000015,X-Bow,8,8,The Log,5,5,Archers,13,13,Skeletons,13,13,Tesla,13,13,Fireball,11,11,Ice Spirit,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T123832.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6094,1,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2PLJU8L,styleeuh,6111,0,#8LRG8UCQ,яeвorn,16000036,X-Bow,8,8,The Log,5,5,Archers,13,13,Tesla,13,13,Ice Spirit,13,13,Skeletons,13,13,Knight,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T123219.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6067,1,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C2LJ2J0Y,⚜️KingAlex⚜️,6039,0,#9UJV0JGP,Mkers ITA,16000044,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T122829.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#89CRJCGJ,Bomber BULLET,6095,0,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L8L8LC,NS丨Prince旭,6110,3,#YYL2GJUC,女神的世界,16000111,Lumberjack,5,5,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Elixir Collector,11,11,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
