type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T101215.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#8CC090R0,aziz,6147,2,#9L0UYCLV,GLORY MAKERS,16000139,Rascals,9,13,Princess,1,5,Royal Giant,9,13,Witch,4,8,Ice Spirit,9,13,Giant Snowball,9,13,Ice Wizard,1,5,Giant,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9J0JVQC29,monstergg,4811,0,#P0P0R2YL,Husaria PL 4,16000067,Elixir Golem,7,11,Zappies,7,11,Barbarian Barrel,4,8,Spear Goblins,9,13,Baby Dragon,4,8,Ram Rider,1,5,Minion Horde,9,13,Mini P.E.K.K.A,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T100838.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#8CC090R0,aziz,6147,3,#9L0UYCLV,GLORY MAKERS,16000139,Barbarian Barrel,4,8,Witch,4,8,Guards,4,8,Wall Breakers,4,8,Dart Goblin,7,11,Barbarian Hut,7,11,Royal Giant,9,13,Magic Archer,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ULGP92J,Ahmed Salahat,3010,0,#8GQP9VJ2,Royal Heroes,16000043,Lumberjack,1,5,Elixir Golem,7,11,Furnace,7,11,Musketeer,7,11,Graveyard,1,5,Goblins,9,13,Baby Dragon,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T100524.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#8CC090R0,aziz,6147,3,#9L0UYCLV,GLORY MAKERS,16000139,Battle Ram,7,11,Goblin Gang,9,13,Rocket,7,11,Elixir Golem,7,11,Bats,9,13,Witch,4,8,Magic Archer,1,5,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9R9VGC098,聖地亞哥,4704,1,#RGL2CR,世俗正義,16000002,Spear Goblins,9,13,Executioner,4,8,Wizard,7,11,Flying Machine,7,11,Knight,9,13,Zap,9,13,Ice Golem,7,11,Goblin Giant,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T100154.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#8CC090R0,aziz,6147,1,#9L0UYCLV,GLORY MAKERS,16000139,Executioner,4,8,Barbarian Barrel,4,8,Tesla,9,13,Goblin Hut,7,11,Elixir Golem,7,11,Wall Breakers,4,8,Skeletons,9,13,Dark Prince,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYLLLVYQQ,RoelRoyale,2304,0,#YJG2C09J,Barons Breda,16000069,Prince,4,8,Minions,9,13,Balloon,4,8,Giant,7,11,Goblin Cage,7,11,Elite Barbarians,9,13,The Log,1,5,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T095801.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#8CC090R0,aziz,6147,1,#9L0UYCLV,GLORY MAKERS,16000139,Barbarian Hut,7,11,Skeleton Army,4,8,Minions,9,13,Baby Dragon,4,8,Royal Giant,9,13,Elixir Golem,7,11,Night Witch,1,5,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22C8808R,deeboy103,5062,2,#G8JGR,buffalo warrior,16000028,The Log,1,5,Inferno Dragon,1,5,Royal Recruits,9,13,Wall Breakers,4,8,Electro Dragon,4,8,Skeletons,9,13,Guards,4,8,Goblin Cage,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T095342.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#8CC090R0,aziz,6147,2,#9L0UYCLV,GLORY MAKERS,16000139,Minions,9,13,Elixir Golem,7,11,Elixir Collector,7,11,Witch,4,8,Zap,9,13,Wall Breakers,4,8,Rocket,7,11,Goblin Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9Q8G8VYQ,FYUOCUK,4543,1,#9RGYJVQ,TAIWAN 台灣互助聯盟,16000177,Archers,9,13,Poison,4,8,Royal Giant,9,13,Arrows,9,13,Inferno Dragon,1,5,X-Bow,4,8,Royal Recruits,9,13,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T095009.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#8CC090R0,aziz,6147,1,#9L0UYCLV,GLORY MAKERS,16000139,Guards,4,8,Ice Wizard,1,5,Zappies,7,11,Poison,4,8,Fisherman,1,5,Graveyard,1,5,Fire Spirits,9,13,Royal Recruits,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GRGYVJR,A Kiraly,4765,0,#29GRYVCJ,Omega42O,16000171,Elixir Golem,7,11,Flying Machine,7,11,Wall Breakers,4,8,Lumberjack,1,5,Arrows,9,13,Spear Goblins,9,13,Minions,9,13,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T094634.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#8CC090R0,aziz,6147,3,#9L0UYCLV,GLORY MAKERS,16000139,Barbarians,9,13,Graveyard,1,5,Elixir Golem,7,11,Musketeer,7,11,Spear Goblins,9,13,Giant Snowball,9,13,Guards,4,8,Wizard,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22U09L98,Irie l 西村歩乃果,5704,0,,,,Electro Dragon,4,8,Goblin Barrel,4,8,Poison,4,8,Fire Spirits,9,13,Zappies,7,11,Giant,7,11,Skeleton Barrel,9,13,Tesla,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T094324.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#8CC090R0,aziz,6147,0,#9L0UYCLV,GLORY MAKERS,16000139,Elixir Golem,7,11,Earthquake,7,11,Minion Horde,9,13,Electro Wizard,1,5,Guards,4,8,Wall Breakers,4,8,Cannon Cart,4,8,Lumberjack,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YVYP0V0,Riven,5003,1,#P228L9Y0,Dutch Wrriors!!,16000074,Barbarians,9,13,Mini P.E.K.K.A,7,11,Graveyard,1,5,Fire Spirits,9,13,Bandit,1,5,Electro Dragon,4,8,Zap,9,13,Royal Recruits,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T093952.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#8CC090R0,aziz,6147,3,#9L0UYCLV,GLORY MAKERS,16000139,Arrows,9,13,Graveyard,1,5,Elixir Golem,7,11,Bats,9,13,Elixir Collector,7,11,Goblins,9,13,Archers,9,13,Mega Minion,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLYYGJGR,generale royale,4660,0,#88GUJL0Q,distructor,16000081,Bandit,1,5,Princess,1,5,Minions,9,13,X-Bow,4,8,Spear Goblins,9,13,Rascals,9,13,Royal Giant,9,13,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
