type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T100054.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,3,draft,#8CP082C,上海 OP·JohnTan2,6110,0,#8G9VY92,上海 OP Elite,16000000,Archers,9,13,Giant Snowball,9,13,Musketeer,7,11,Battle Ram,7,11,Elixir Golem,7,11,Royal Ghost,1,5,Elixir Collector,7,11,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y8RPJGQ,+ D1sn3y +,4492,3,#2RPLLU2Q,cla uzumaki,16000058,Guards,4,8,Tombstone,7,11,Executioner,4,8,Rascals,9,13,Hog Rider,7,11,Dart Goblin,7,11,Lightning,4,8,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T095433.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,2,draft,#8CP082C,上海 OP·JohnTan2,6110,3,#8G9VY92,上海 OP Elite,16000000,Wizard,7,11,Ice Golem,7,11,Fireball,7,11,Elixir Golem,7,11,Barbarian Hut,7,11,Minion Horde,9,13,Valkyrie,7,11,Battle Ram,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PCRCP92RG,MARVEL,4583,0,#PRJJY8YU,Bermuda,16000003,Royal Giant,9,13,Bomber,9,13,Goblin Barrel,4,8,Goblin Hut,7,11,Rascals,9,13,The Log,1,5,Skeletons,9,13,Electro Dragon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T095120.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,1,draft,#8CP082C,上海 OP·JohnTan2,6110,3,#8G9VY92,上海 OP Elite,16000000,Fireball,7,11,Baby Dragon,4,8,Archers,9,13,Lumberjack,1,5,Royal Giant,9,13,Elixir Golem,7,11,Skeletons,9,13,Bandit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QV9C2LUR,심심할때,4518,0,#R2Q02R,KR-deahu,16000077,Skeleton Army,4,8,Fire Spirits,9,13,Lava Hound,1,5,Miner,1,5,Fisherman,1,5,Bats,9,13,Goblin Cage,7,11,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T094800.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,0,draft,#8CP082C,上海 OP·JohnTan2,6110,3,#8G9VY92,上海 OP Elite,16000000,Fisherman,1,5,Flying Machine,7,11,Skeleton Barrel,9,13,Princess,1,5,Arrows,9,13,Mortar,9,13,Rascals,9,13,Ice Spirit,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PQ0R2QVV,@@@CaThEriNe@@@,4969,1,#8QPQR22G,ХАЙДУТИ,16000024,Spear Goblins,9,13,Elixir Golem,7,11,Minion Horde,9,13,Poison,4,8,Electro Dragon,4,8,Royal Giant,9,13,Bandit,1,5,Royal Ghost,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarWarDay,20191011T020504.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#8CP082C,上海 OP·JohnTan2,6110,2,#8G9VY92,上海 OP Elite,16000000,Witch,8,8,Giant Snowball,13,13,Royal Ghost,5,5,Hog Rider,11,11,P.E.K.K.A,8,8,Lightning,8,8,Skeletons,13,13,Hunter,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YLR2LCG,champyinz21,5359,0,#Y2RGQPJ,Fusion™,16000164,Zap,13,13,P.E.K.K.A,7,8,Archers,12,13,Mega Minion,10,11,The Log,4,5,Furnace,10,11,Ice Wizard,4,5,Battle Ram,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T080137.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8CP082C,上海 OP·JohnTan2,6091,2,#8G9VY92,上海 OP Elite,16000000,Bats,13,13,Fisherman,5,5,Goblin Barrel,8,8,Skeleton Army,8,8,Mega Knight,5,5,Princess,5,5,Wall Breakers,8,8,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92LC0UPP,YT_SMARTLIFECR,5965,0,#2C0LVR9P,Pivots Family,16000109,Rocket,11,11,Zap,13,13,Royal Giant,13,13,Goblin Gang,13,13,Furnace,11,11,Minions,13,13,Valkyrie,11,11,Musketeer,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T075727.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8CP082C,上海 OP·JohnTan2,6063,3,#8G9VY92,上海 OP Elite,16000000,Bats,13,13,Fisherman,5,5,Goblin Barrel,8,8,Skeleton Army,8,8,Mega Knight,5,5,Princess,5,5,Wall Breakers,8,8,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L2YJVYV8,망고,6049,1,#PGPV0GG,잎새,16000170,Golem,8,8,Night Witch,5,5,Skeleton Barrel,13,13,Clone,8,8,Baby Dragon,8,8,Lumberjack,5,5,Rocket,11,11,Skeleton Army,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T075404.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8CP082C,上海 OP·JohnTan2,6086,0,#8G9VY92,上海 OP Elite,16000000,Bats,13,13,Fisherman,5,5,Goblin Barrel,8,8,Skeleton Army,8,8,Mega Knight,5,5,Princess,5,5,Wall Breakers,8,8,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6167,1,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T074826.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8CP082C,上海 OP·JohnTan2,6057,1,#8G9VY92,上海 OP Elite,16000000,Bats,13,13,Fisherman,5,5,Goblin Barrel,8,8,Skeleton Army,8,8,Mega Knight,5,5,Princess,5,5,Wall Breakers,8,8,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJYCYJJ,graveyardfam,6050,0,#2LRU2J,Crucible Wrath,16000002,Witch,8,8,Baby Dragon,8,8,Tornado,8,8,Skeletons,13,13,Giant Skeleton,8,8,Ice Wizard,5,5,Graveyard,5,5,Freeze,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T072811.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8CP082C,上海 OP·JohnTan2,6031,3,#8G9VY92,上海 OP Elite,16000000,Bats,13,13,Fisherman,5,5,Goblin Barrel,8,8,Skeleton Army,8,8,Mega Knight,5,5,Princess,5,5,Wall Breakers,8,8,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GR9VU9QQ,Koolkid:),5994,0,#29YY8L89,娱乐至上,16000128,Mega Minion,11,11,Skeletons,13,13,Miner,5,5,Fisherman,5,5,Witch,8,8,Giant,11,11,The Log,5,5,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T072457.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8CP082C,上海 OP·JohnTan2,6066,1,#8G9VY92,上海 OP Elite,16000000,Bats,13,13,Fisherman,5,5,Goblin Barrel,8,8,Skeleton Army,8,8,Mega Knight,5,5,Princess,5,5,Wall Breakers,8,8,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98GPG9,✫ I Karnage,5998,2,#2LVRQ29,Midwinter™,16000168,P.E.K.K.A,8,8,Electro Wizard,5,5,Bandit,5,5,Royal Ghost,5,5,Battle Ram,11,11,Minions,13,13,Zap,13,13,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T071952.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8CP082C,上海 OP·JohnTan2,6036,1,#8G9VY92,上海 OP Elite,16000000,Bats,13,13,Fisherman,5,5,Goblin Barrel,8,8,Skeleton Army,8,8,Mega Knight,5,5,Princess,5,5,Wall Breakers,8,8,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LRRQQ2VJ,The_Gamma,6039,0,#Q8YRPV,Persian.gulf,16000068,Giant,11,11,Bats,13,13,Tornado,8,8,Mini P.E.K.K.A,11,11,Zap,13,13,Skeleton Army,8,8,Musketeer,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
