type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T122859.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6254,1,#PGPV0GG,잎새,16000170,Ice Wizard,5,5,Tesla,13,13,The Log,5,5,Rocket,11,11,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L0VP8R8V,⭐️星辰⭐️,6072,0,#20QRPR98,薛家军,16000162,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T115517.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6220,1,#PGPV0GG,잎새,16000170,Ice Wizard,5,5,Tesla,13,13,The Log,5,5,Rocket,11,11,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29CY08G2,Tiltdrian,6270,0,#P9VLJRRR,Biggi's Bande,16000158,Executioner,8,8,Knight,13,13,Goblins,13,13,Bowler,8,8,Graveyard,5,5,Baby Dragon,8,8,Tornado,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T104720.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6200,1,#PGPV0GG,잎새,16000170,Ice Wizard,5,5,Tesla,13,13,The Log,5,5,Rocket,11,11,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R8JL80RY,あさこー,6089,0,#PY8YRG92,Factorys,16000044,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,Skeleton Barrel,13,13,Miner,5,5,Inferno Dragon,5,5,Mega Knight,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T102804.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6179,1,#PGPV0GG,잎새,16000170,Ice Wizard,5,5,Tesla,13,13,The Log,5,5,Rocket,11,11,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LRRQQ2VJ,The_Gamma,6080,0,#Q8YRPV,Persian.gulf,16000068,Giant,11,11,Bats,13,13,Tornado,8,8,Mini P.E.K.K.A,11,11,Zap,13,13,Skeleton Army,8,8,Musketeer,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T090435.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6155,1,#PGPV0GG,잎새,16000170,Ice Wizard,5,5,Tesla,13,13,The Log,5,5,Rocket,11,11,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6087,0,#YVULGPVL,Noble to Global,16000144,Miner,5,5,Executioner,8,8,The Log,5,5,Valkyrie,11,11,Tornado,8,8,Goblin Cage,11,11,Poison,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T085932.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6118,1,#PGPV0GG,잎새,16000170,Ice Wizard,5,5,Tesla,13,13,The Log,5,5,Rocket,11,11,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6206,0,#L00R0GGU,TOP,16000046,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T085459.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6082,1,#PGPV0GG,잎새,16000170,Ice Wizard,5,5,Tesla,13,13,The Log,5,5,Rocket,11,11,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R020P,FENOFINALFORM⚡☠,6162,0,#YPPJ0VJP,QLASH Restart,16000123,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T085023.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6054,1,#PGPV0GG,잎새,16000170,Ice Wizard,5,5,Tesla,13,13,The Log,5,5,Rocket,11,11,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G29JRG0,Voroncoff,6033,0,#GP0CL,Old dogs,16000147,Fireball,11,11,Battle Ram,11,11,Witch,8,8,Giant,11,11,Zap,13,13,Bandit,5,5,Hunter,8,8,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T084420.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6077,0,#PGPV0GG,잎새,16000170,Wall Breakers,8,8,Inferno Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q0J29UQR,Hope,6148,2,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T083712.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8G2CJYQV,☆Mogun I Kwon☆,6053,1,#PGPV0GG,잎새,16000170,Wall Breakers,8,8,Inferno Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C0UQVU0V,<c2>Heisenberg,5991,0,#L8YUV8UY,SmokedOut,16000035,Ice Spirit,13,13,Skeletons,13,13,The Log,5,5,Ice Golem,11,11,Archers,13,13,Fireball,11,11,Tesla,13,13,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
