type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T060710.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6213,1,#PC00VJL0,GAMESTRY,16000052,Miner,5,5,Ice Golem,11,11,Wall Breakers,8,8,Barbarian Barrel,8,8,Executioner,8,8,Bats,13,13,Tornado,8,8,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YVV0RQ9R,Juan..,6109,0,,,,Ice Golem,11,11,Ice Spirit,13,13,Archers,13,13,Skeletons,13,13,Fireball,11,11,Tesla,13,13,The Log,4,5,X-Bow,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T055747.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6189,2,#PC00VJL0,GAMESTRY,16000052,Giant,11,11,Witch,8,8,Mega Minion,11,11,Skeletons,13,13,Fisherman,5,5,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UPG92JC,Sinchu,6129,1,#8QVQ2CGV,Re:Start,16000000,Miner,5,5,Valkyrie,11,11,Wall Breakers,8,8,Skeletons,13,13,Executioner,8,8,Bats,13,13,Tornado,8,8,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T055147.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6151,3,#PC00VJL0,GAMESTRY,16000052,Giant,11,11,Witch,8,8,Mega Minion,11,11,Skeletons,13,13,Fisherman,5,5,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP0Q8LUQ,CrimsixRoyale,6246,0,#L2QQ8CRQ,CrimsixRoyale,16000159,Tornado,8,8,Witch,8,8,Goblin Barrel,8,8,Rascals,13,13,Goblin Gang,13,13,Valkyrie,11,11,The Log,5,5,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T054911.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6190,0,#PC00VJL0,GAMESTRY,16000052,Princess,5,5,Bats,13,13,Mirror,8,8,Witch,8,8,Tornado,8,8,The Log,5,5,Ice Golem,11,11,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VURL8299,<c2>Dekerz,6075,1,#VVP9CJU,Solid Gems,16000101,The Log,5,5,Poison,8,8,Dark Prince,8,8,Mega Minion,11,11,Bandit,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T054145.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6157,1,#PC00VJL0,GAMESTRY,16000052,Princess,5,5,Bats,13,13,Mirror,8,8,Witch,8,8,Tornado,8,8,The Log,5,5,Ice Golem,11,11,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YPVJRV8G,A多e∂,6198,0,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T053617.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6121,1,#PC00VJL0,GAMESTRY,16000052,Princess,5,5,Bats,13,13,Mirror,8,8,Witch,8,8,Tornado,8,8,The Log,5,5,Ice Golem,11,11,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VC0JJ9,RHVR17,6201,0,#9R08LY28,SbY eSports,16000166,Princess,5,5,The Log,5,5,Rocket,11,11,Goblin Barrel,8,8,Inferno Tower,11,11,Knight,13,13,Goblin Gang,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T053107.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6085,1,#PC00VJL0,GAMESTRY,16000052,Princess,5,5,Bats,13,13,Mirror,8,8,Witch,8,8,Tornado,8,8,The Log,5,5,Ice Golem,11,11,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8RQ9UGP,MA Lauti Durán,6162,0,#922PLLQR,Mafia Argenta™,16000043,Mortar,13,13,Minion Horde,13,13,Miner,5,5,The Log,4,5,Knight,13,13,Goblin Gang,13,13,Witch,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191010T221748.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6085,3,#PC00VJL0,GAMESTRY,16000052,Hunter,4,8,P.E.K.K.A,4,8,Zap,9,13,Fisherman,1,5,Witch,4,8,Graveyard,1,5,Freeze,4,8,Dark Prince,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20P2J8C,YoSoyRick...YT,4384,0,#YLJ8LCC0,TheLeyendOfPals,16000002,Royal Giant,9,13,Mega Minion,7,11,Zap,9,13,Giant Skeleton,4,8,Giant,7,11,Skeletons,9,13,Ice Spirit,9,13,Goblin Giant,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191010T221510.000Z,,54000037,Legendary Arena,72000005,DraftMode,,draft,#8GRPYJVL,YoSoyRick_YT,6085,1,#PC00VJL0,GAMESTRY,16000052,Minions,9,13,Zappies,7,11,Inferno Dragon,1,5,Hog Rider,7,11,Ice Wizard,1,5,Elixir Collector,7,11,Earthquake,7,11,Knight,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQPCJR2V,Yorelmanuel,5862,3,#8PYQRCL0,Ramboot Club,16000004,Lava Hound,1,5,Fireball,7,11,Barbarian Hut,7,11,Witch,4,8,Ram Rider,1,5,Wizard,7,11,Magic Archer,1,5,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T150906.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6117,0,#PC00VJL0,GAMESTRY,16000052,Giant,11,11,Witch,8,8,Mega Minion,11,11,Skeletons,13,13,Fisherman,5,5,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RPJ9LQQ,PvPeter,6084,1,#P9JQV9JJ,•ＴＥＡＭ • ＯＭＥＧＡ•,16000145,Ice Golem,11,11,Mini P.E.K.K.A,11,11,Rocket,11,11,Musketeer,11,11,Skeletons,13,13,Bats,13,13,Hog Rider,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T085019.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6148,0,#PC00VJL0,GAMESTRY,16000052,Giant,11,11,Witch,8,8,Mega Minion,11,11,Skeletons,13,13,Fisherman,5,5,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R020P,FENOFINALFORM⚡☠,6131,1,#YPPJ0VJP,QLASH Restart,16000123,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T084558.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8GRPYJVL,YoSoyRick_YT,6118,3,#PC00VJL0,GAMESTRY,16000052,Giant,11,11,Witch,8,8,Mega Minion,11,11,Skeletons,13,13,Fisherman,5,5,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQJ9UUP,~Lorenzo~,6129,1,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T071223.000Z,,54000016,Master II,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6118,1,#PC00VJL0,GAMESTRY,16000052,Giant Snowball,9,13,Witch,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Bats,9,13,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QCLGVJ,✨Munoz✨,5328,2,#PC00VJL0,GAMESTRY,16000052,Magic Archer,1,5,Bandit,1,5,Ram Rider,1,5,Lumberjack,1,5,Inferno Dragon,1,5,Barbarian Barrel,4,8,Giant Snowball,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T070753.000Z,,54000018,Champion,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6118,0,#PC00VJL0,GAMESTRY,16000052,Giant Snowball,9,13,Witch,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Bats,9,13,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QCLGVJ,✨Munoz✨,5328,1,#PC00VJL0,GAMESTRY,16000052,Magic Archer,1,5,Bandit,1,5,Ram Rider,1,5,Lumberjack,1,5,Inferno Dragon,1,5,Barbarian Barrel,4,8,Giant Snowball,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T070431.000Z,,54000018,Champion,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6118,0,#PC00VJL0,GAMESTRY,16000052,Giant Snowball,9,13,Witch,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Bats,9,13,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QCLGVJ,✨Munoz✨,5328,1,#PC00VJL0,GAMESTRY,16000052,Magic Archer,1,5,Bandit,1,5,Ram Rider,1,5,Lumberjack,1,5,Inferno Dragon,1,5,Barbarian Barrel,4,8,Giant Snowball,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T070002.000Z,,54000018,Champion,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6118,1,#PC00VJL0,GAMESTRY,16000052,Giant Snowball,9,13,Witch,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Bats,9,13,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QCLGVJ,✨Munoz✨,5328,0,#PC00VJL0,GAMESTRY,16000052,Magic Archer,1,5,Bandit,1,5,Ram Rider,1,5,Lumberjack,1,5,Inferno Dragon,1,5,Barbarian Barrel,4,8,Giant Snowball,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T065527.000Z,,54000018,Champion,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6118,0,#PC00VJL0,GAMESTRY,16000052,Giant Snowball,9,13,Witch,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Bats,9,13,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QCLGVJ,✨Munoz✨,5328,1,#PC00VJL0,GAMESTRY,16000052,Magic Archer,1,5,Bandit,1,5,Ram Rider,1,5,Lumberjack,1,5,Inferno Dragon,1,5,Barbarian Barrel,4,8,Giant Snowball,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T064936.000Z,,54000016,Master II,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6118,0,#PC00VJL0,GAMESTRY,16000052,Giant Snowball,9,13,Witch,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Bats,9,13,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QCLGVJ,✨Munoz✨,5328,1,#PC00VJL0,GAMESTRY,16000052,Magic Archer,1,5,Bandit,1,5,Ram Rider,1,5,Lumberjack,1,5,Inferno Dragon,1,5,Barbarian Barrel,4,8,Giant Snowball,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T064456.000Z,,54000018,Champion,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6118,0,#PC00VJL0,GAMESTRY,16000052,Giant Snowball,9,13,Witch,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Bats,9,13,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QCLGVJ,✨Munoz✨,5328,1,#PC00VJL0,GAMESTRY,16000052,Magic Archer,1,5,Electro Wizard,1,5,Flying Machine,7,11,Mega Knight,1,5,Rascals,9,13,Minions,9,13,Giant Snowball,9,13,Royal Hogs,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T064012.000Z,,54000016,Master II,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6118,0,#PC00VJL0,GAMESTRY,16000052,Giant Snowball,9,13,Witch,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Bats,9,13,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QCLGVJ,✨Munoz✨,5328,1,#PC00VJL0,GAMESTRY,16000052,Magic Archer,1,5,Electro Wizard,1,5,Flying Machine,7,11,Mega Knight,1,5,Rascals,9,13,Minions,9,13,Giant Snowball,9,13,Royal Hogs,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191010T063605.000Z,,54000018,Champion,72000007,Friendly,,collection,#8GRPYJVL,YoSoyRick_YT,6118,3,#PC00VJL0,GAMESTRY,16000052,Giant Snowball,9,13,Witch,4,8,Lumberjack,1,5,Barbarian Barrel,4,8,Bats,9,13,Ice Golem,7,11,Skeletons,9,13,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0QCLGVJ,✨Munoz✨,5328,0,#PC00VJL0,GAMESTRY,16000052,Magic Archer,1,5,Poison,4,8,Miner,1,5,Ice Golem,7,11,The Log,1,5,Inferno Dragon,1,5,Ice Spirit,9,13,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
