type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T120046.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,3,draft,#8LVQPL8RC,PrincesaWendy❤,6125,2,#P8G2JQ0R,Royal Imperial,16000012,Royal Giant,9,13,Guards,4,8,Ice Golem,7,11,Archers,9,13,Ice Spirit,9,13,Miner,1,5,Poison,4,8,Bowler,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CUCJ9,tiagorx,4988,1,#2RLGCVV8,no mercy,16000058,Night Witch,1,5,Arrows,9,13,Valkyrie,7,11,Goblins,9,13,Executioner,4,8,Elixir Golem,7,11,Goblin Barrel,4,8,Goblin Giant,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T115654.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,2,draft,#8LVQPL8RC,PrincesaWendy❤,6125,2,#P8G2JQ0R,Royal Imperial,16000012,Spear Goblins,9,13,Poison,4,8,Fire Spirits,9,13,Elixir Golem,7,11,Skeleton Barrel,9,13,Zappies,7,11,Dart Goblin,7,11,Flying Machine,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JQ220LVY,gll,4727,1,#PP0QLPPU,神机阁,16000032,Bandit,1,5,Electro Dragon,4,8,Musketeer,7,11,Battle Ram,7,11,Goblin Giant,4,8,Skeletons,9,13,Fireball,7,11,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T115316.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,1,draft,#8LVQPL8RC,PrincesaWendy❤,6125,3,#P8G2JQ0R,Royal Imperial,16000012,Minions,9,13,Minion Horde,9,13,Elixir Golem,7,11,Arrows,9,13,Dart Goblin,7,11,Witch,4,8,Flying Machine,7,11,Skeleton Barrel,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#890VY2LRU,maestro chen,4605,0,#YCRGRCCJ,I BIMBIMINKIA,16000003,Goblin Giant,4,8,Executioner,4,8,Cannon Cart,4,8,Baby Dragon,4,8,Zap,9,13,Royal Recruits,9,13,Archers,9,13,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T115106.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,1,draft,#8LVQPL8RC,PrincesaWendy❤,6125,0,#P8G2JQ0R,Royal Imperial,16000012,Hog Rider,7,11,Rascals,9,13,Witch,4,8,Rocket,7,11,Skeletons,9,13,Elixir Golem,7,11,Minions,9,13,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88QGU9Q28,El Demoledor,5149,1,#JPCGJ0V,uruguay,16000055,Bomber,9,13,Executioner,4,8,Valkyrie,7,11,Skeleton Army,4,8,Zap,9,13,Hunter,4,8,Lumberjack,1,5,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T114431.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,0,draft,#8LVQPL8RC,PrincesaWendy❤,6125,3,#P8G2JQ0R,Royal Imperial,16000012,Minion Horde,9,13,Spear Goblins,9,13,Fisherman,1,5,Skeleton Barrel,9,13,Poison,4,8,Zappies,7,11,Princess,1,5,Rascals,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UC9J9R29,Ice.okzid,4553,0,#PJGR92Q,KaoS TeaM,16000163,Elixir Golem,7,11,Magic Archer,1,5,Mega Minion,7,11,The Log,1,5,Balloon,4,8,Valkyrie,7,11,Ice Spirit,9,13,Flying Machine,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20191011T011058.000Z,,54000018,Champion,72000007,Friendly,,collection,#8LVQPL8RC,PrincesaWendy❤,6125,0,#PJQ0LYYY,PLR,16000126,Ice Golem,7,11,Witch,4,8,Goblin Cage,7,11,Barbarian Barrel,4,8,Balloon,4,8,Giant Snowball,9,13,Lumberjack,1,5,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YJC92L0P,YaHeL MFI 9277,5174,1,#PJQ0LYYY,PLR,16000126,Royal Hogs,7,11,Three Musketeers,7,11,Dark Prince,4,8,Giant Snowball,9,13,Hunter,4,8,Fisherman,1,5,Skeletons,9,13,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T163611.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,9,collection,#8LVQPL8RC,PrincesaWendy❤,6125,0,#P8G2JQ0R,Royal Imperial,16000012,Fireball,7,11,Goblin Gang,9,13,Mortar,9,13,Rascals,9,13,Miner,1,5,Spear Goblins,9,13,Barbarian Barrel,4,8,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2QU0RRP,RUA,4198,1,#28GRJPPP,Time Magnates⚡,16000077,Lumberjack,1,5,Balloon,4,8,Giant Snowball,9,13,Barbarian Barrel,4,8,Ice Golem,7,11,Skeletons,9,13,Witch,4,8,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T162829.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,8,collection,#8LVQPL8RC,PrincesaWendy❤,6125,1,#P8G2JQ0R,Royal Imperial,16000012,Fireball,7,11,Goblin Gang,9,13,Mortar,9,13,Rascals,9,13,Miner,1,5,Spear Goblins,9,13,Barbarian Barrel,4,8,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CULGCY2R,⭐SM⭐JUAN⭐,5349,0,#9YUYJGYV,Squad Manco JR,16000029,Valkyrie,7,11,Zap,9,13,Executioner,4,8,Tornado,4,8,Balloon,4,8,Ice Spirit,9,13,Skeletons,9,13,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T162255.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,7,collection,#8LVQPL8RC,PrincesaWendy❤,6125,1,#P8G2JQ0R,Royal Imperial,16000012,Fireball,7,11,Goblin Gang,9,13,Mortar,9,13,Rascals,9,13,Miner,1,5,Spear Goblins,9,13,Barbarian Barrel,4,8,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29V8V80LJ,~SERİNKAN~,5963,0,#PG29CVPR,AltınMürettebat,16000030,Giant,7,11,The Log,1,5,Guards,4,8,Hunter,4,8,Zap,9,13,Mega Minion,7,11,Miner,1,5,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T161746.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,7,collection,#8LVQPL8RC,PrincesaWendy❤,6125,0,#P8G2JQ0R,Royal Imperial,16000012,Fireball,7,11,Goblin Gang,9,13,Mortar,9,13,Rascals,9,13,Miner,1,5,Spear Goblins,9,13,Barbarian Barrel,4,8,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29UY9QGC,Moonlight✨,5330,1,#29PYCP2C,Kazakh_Titans,16000162,Zap,9,13,Poison,4,8,Electro Wizard,1,5,Bandit,1,5,Battle Ram,7,11,Royal Ghost,1,5,P.E.K.K.A,4,8,Magic Archer,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
