type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T011341.000Z,73002492,54000011,Arena 12,72000202,Event_ElixirGolemTease,2,pick,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,6121,3,#PPU2R00U,Secret Eden,16000143,Elixir Golem,7,11,Night Witch,1,5,Lumberjack,1,5,Witch,4,8,Executioner,4,8,Poison,4,8,Tornado,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P8RQV9U2,Bomba_ROX,4581,0,#8CQCJPQ9,Lendarios_BR,16000077,Elixir Golem,7,11,Night Witch,1,5,Mega Knight,1,5,Barbarian Barrel,4,8,Goblin Barrel,4,8,Electro Dragon,4,8,Witch,4,8,Princess,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191010T124658.000Z,,54000016,Master II,72000007,Friendly,,collection,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,6121,0,#PPU2R00U,Secret Eden,16000143,Three Musketeers,7,11,Elixir Collector,7,11,Barbarians,9,13,Hunter,4,8,Battle Ram,7,11,Bandit,1,5,Barbarian Barrel,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QLCLGGP,Lyric,5508,1,#PLQ89VPP,パレックス交流戦会場,16000165,Mega Knight,1,5,Bats,9,13,Bandit,1,5,Electro Wizard,1,5,Inferno Dragon,1,5,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T101353.000Z,73002492,54000011,Arena 12,72000202,Event_ElixirGolemTease,1,pick,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,6121,2,#PPU2R00U,Secret Eden,16000143,Elixir Golem,7,11,Night Witch,1,5,Lumberjack,1,5,Witch,4,8,Executioner,4,8,Poison,4,8,Tornado,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VLGYRQ09,Paul2004,4819,1,#PCLV88Y,PsykoPunkz,16000163,Elixir Golem,7,11,Wizard,7,11,Fire Spirits,9,13,Battle Ram,7,11,Electro Wizard,1,5,The Log,1,5,P.E.K.K.A,4,8,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T093017.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,6093,1,#8RR908LJ,まさお達,16000132,Giant Skeleton,8,8,Witch,8,8,Cannon Cart,8,8,Flying Machine,11,11,Furnace,11,11,Skeleton Barrel,13,13,Tornado,8,8,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V2VLG8G,Kohei,6072,0,#PPCLCJG9,AK Syndicate,16000044,X-Bow,8,8,Ice Wizard,5,5,Tornado,8,8,The Log,5,5,Mega Minion,11,11,Ice Golem,11,11,Skeletons,13,13,Rocket,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T091627.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,6061,1,#8RR908LJ,まさお達,16000132,Giant Skeleton,8,8,Witch,8,8,Cannon Cart,8,8,Flying Machine,11,11,Furnace,11,11,Skeleton Barrel,13,13,Tornado,8,8,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822C8222U,WHAM! | ADI™,6089,0,#P20Y92VP,WHAM! RO,16000156,Mega Knight,5,5,Zap,13,13,Spear Goblins,13,13,Fireball,11,11,Hog Rider,11,11,Bats,13,13,Witch,8,8,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T090649.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,6033,1,#8RR908LJ,まさお達,16000132,Giant Skeleton,8,8,Witch,8,8,Cannon Cart,8,8,Flying Machine,11,11,Furnace,11,11,Skeleton Barrel,13,13,Tornado,8,8,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q2CVCCC8,t-ice,6012,0,#PQUC20,Dutch Corps,16000028,Tornado,8,8,Skeleton Barrel,13,13,Witch,8,8,Flying Machine,11,11,Giant Skeleton,8,8,Clone,8,8,Furnace,11,11,Cannon Cart,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T090105.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,6053,0,#8RR908LJ,まさお達,16000132,Giant Skeleton,8,8,Witch,8,8,Cannon Cart,8,8,Flying Machine,11,11,Furnace,11,11,Skeleton Barrel,13,13,Tornado,8,8,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JJ89LQ0,NzT♣₣єƊƊy™,6169,1,#Y89VJYUL,Revolution™️,16000023,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Wall Breakers,8,8,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T084851.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,6025,1,#8RR908LJ,まさお達,16000132,Giant Skeleton,8,8,Witch,8,8,Cannon Cart,8,8,Flying Machine,11,11,Furnace,11,11,Skeleton Barrel,13,13,Tornado,8,8,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRGV2QY,Steve,6008,0,#Q2JV809,暴躁世界_小皮卡,16000029,Ice Golem,11,11,Miner,5,5,Goblin Gang,13,13,Battle Ram,11,11,Elixir Collector,11,11,Minion Horde,13,13,Zap,13,13,Three Musketeers,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T084336.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,5992,1,#8RR908LJ,まさお達,16000132,Giant Skeleton,8,8,Witch,8,8,Cannon Cart,8,8,Flying Machine,11,11,Furnace,11,11,Skeleton Barrel,13,13,Tornado,8,8,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6031,0,#PYP8UPJV,Tha Clique,16000107,Barbarians,13,13,Zap,13,13,Tombstone,11,11,Fireball,11,11,Balloon,8,8,Lava Hound,5,5,Mega Minion,11,11,Minions,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T083842.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q0CYQC9Q,⚡️OLD SPARKY⚡️,6018,0,#8RR908LJ,まさお達,16000132,Giant Skeleton,8,8,Witch,8,8,Cannon Cart,8,8,Flying Machine,11,11,Furnace,11,11,Skeleton Barrel,13,13,Tornado,8,8,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QPUR09U,telatabis,6057,1,#99PJ99P8,Zion Hammer™️,16000028,Golem,8,8,Night Witch,5,5,Giant Skeleton,8,8,Skeleton Army,8,8,Minion Horde,13,13,The Log,5,5,Witch,8,8,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
