type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T124723.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q8R9LGUC,vahosul,6155,0,#2LYYQQ29,Russian Royale,16000134,Wall Breakers,8,8,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Inferno Tower,11,11,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JJ89LQ0,NzT♣₣єƊƊy™,6143,1,#Y89VJYUL,Revolution™️,16000023,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Wall Breakers,8,8,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T124223.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q8R9LGUC,vahosul,6188,0,#2LYYQQ29,Russian Royale,16000134,Wall Breakers,8,8,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Inferno Tower,11,11,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2GQLGGU,Sevan,6146,1,#990QRV2L,Ðimension Y,16000023,Hog Rider,11,11,Executioner,8,8,Tornado,8,8,Rocket,11,11,Valkyrie,11,11,Goblins,13,13,Ice Spirit,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T123652.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q8R9LGUC,vahosul,6215,0,#2LYYQQ29,Russian Royale,16000134,Wall Breakers,8,8,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Inferno Tower,11,11,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LLUPVPY,بوحاضر,6243,1,#8G2LVJVJ,Storm UAE™️,16000145,Giant,11,11,Goblin Gang,13,13,Sparky,5,5,Mini P.E.K.K.A,11,11,Executioner,8,8,Minions,13,13,Tornado,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T123053.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q8R9LGUC,vahosul,6233,0,#2LYYQQ29,Russian Royale,16000134,Wall Breakers,8,8,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Inferno Tower,11,11,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6374,1,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T122426.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8Q8R9LGUC,vahosul,6271,1,#2LYYQQ29,Russian Royale,16000134,Wall Breakers,8,8,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Inferno Tower,11,11,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUJC8QGP,⚡HardcoreGamer⚡,6169,3,#29LPCQ8G,#österreich,16000060,Goblin Cage,11,11,Mega Knight,5,5,Bats,13,13,Skeleton Army,8,8,Witch,8,8,Wall Breakers,8,8,Goblin Barrel,8,8,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T101238.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#8Q8R9LGUC,vahosul,6271,3,#2LYYQQ29,Russian Royale,16000134,Witch,4,8,Dart Goblin,7,11,Goblin Barrel,4,8,Skeleton Army,4,8,Spear Goblins,9,13,Barbarian Barrel,4,8,Magic Archer,1,5,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PJ8RGPJP,♣️ $kulJhon ♣️,4819,1,#29JY2Y9V,Akatsuki,16000123,Royal Giant,9,13,Zappies,7,11,The Log,1,5,Bats,9,13,Skeletons,9,13,Hog Rider,7,11,Electro Dragon,4,8,Royal Ghost,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T100931.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#8Q8R9LGUC,vahosul,6271,1,#2LYYQQ29,Russian Royale,16000134,Fisherman,1,5,Fireball,7,11,Wizard,7,11,Musketeer,7,11,Skeletons,9,13,Goblin Giant,4,8,Skeleton Barrel,9,13,Minions,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22L92YJ8P,Fun.,4949,2,#9PVQV2VR,korea~cr,16000008,Royal Ghost,1,5,Royal Giant,9,13,Elixir Golem,7,11,Goblins,9,13,Electro Dragon,4,8,Minion Horde,9,13,Earthquake,7,11,Goblin Cage,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T100444.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#8Q8R9LGUC,vahosul,6271,1,#2LYYQQ29,Russian Royale,16000134,Furnace,7,11,Mini P.E.K.K.A,7,11,Royal Giant,9,13,Bandit,1,5,Earthquake,7,11,Musketeer,7,11,Goblins,9,13,Giant,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2Y98VJRY,Pitaiva,4231,0,#QVCVPL,SoulBound,16000176,Goblin Giant,4,8,Ice Golem,7,11,Witch,4,8,Barbarian Barrel,4,8,Guards,4,8,Elixir Golem,7,11,Goblin Cage,7,11,Tombstone,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T100014.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#8Q8R9LGUC,vahosul,6271,2,#2LYYQQ29,Russian Royale,16000134,Royal Ghost,1,5,Fire Spirits,9,13,Electro Wizard,1,5,Miner,1,5,Graveyard,1,5,Bowler,4,8,Lumberjack,1,5,Arrows,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RUGCJLJ,哗啦,4807,1,#YLJ2PYL,皇室巅峰,16000162,Fireball,7,11,Dark Prince,4,8,Wizard,7,11,Skeleton Barrel,9,13,Elixir Golem,7,11,Mega Minion,7,11,Goblins,9,13,Princess,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T095539.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#8Q8R9LGUC,vahosul,6271,3,#2LYYQQ29,Russian Royale,16000134,Guards,4,8,Minion Horde,9,13,Knight,9,13,Arrows,9,13,Fisherman,1,5,Poison,4,8,Cannon Cart,4,8,Ram Rider,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUV028Q09,SaidEpicHD,3631,0,#Y0QUYG09,Bratwa,16000002,Royal Hogs,7,11,Flying Machine,7,11,Tornado,4,8,Inferno Dragon,1,5,Rocket,7,11,Elixir Golem,7,11,Spear Goblins,9,13,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
