type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T142503.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#8U0L2CRL,<c6>Tux,6082,2,#JRJPG9,CRO-PRO,16000044,The Log,1,5,Knight,9,13,Spear Goblins,9,13,Ice Golem,7,11,Graveyard,1,5,Goblins,9,13,Minions,9,13,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UVLQVLC,<c4>Bo$$29,4774,0,#VLJYLG,dictator team,16000029,Skeleton Army,4,8,Magic Archer,1,5,Ice Spirit,9,13,Battle Ram,7,11,Goblin Cage,7,11,Bandit,1,5,Elixir Golem,7,11,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T142113.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#8U0L2CRL,<c6>Tux,6082,3,#JRJPG9,CRO-PRO,16000044,Hunter,4,8,Skeleton Army,4,8,Skeleton Barrel,9,13,Rascals,9,13,Zap,9,13,Baby Dragon,4,8,Bandit,1,5,Electro Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9V8QRVU2,AMR HeRo,5348,0,#PYGUVCJ,MH Clan,16000162,Electro Dragon,4,8,Flying Machine,7,11,Mini P.E.K.K.A,7,11,Lightning,4,8,Elixir Golem,7,11,Goblin Giant,4,8,Guards,4,8,Elite Barbarians,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T141810.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,6,draft,#8U0L2CRL,<c6>Tux,6082,3,#JRJPG9,CRO-PRO,16000044,Dart Goblin,7,11,Prince,4,8,Goblin Gang,9,13,Goblin Giant,4,8,The Log,1,5,Skeletons,9,13,Knight,9,13,Minions,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LQCG00C,Anderson,5131,0,#8QJ0JVQU,Guerreros Z,16000029,Archers,9,13,Elixir Golem,7,11,Guards,4,8,Lightning,4,8,Royal Hogs,7,11,Spear Goblins,9,13,Cannon Cart,4,8,Baby Dragon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T141513.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,5,draft,#8U0L2CRL,<c6>Tux,6082,1,#JRJPG9,CRO-PRO,16000044,Magic Archer,1,5,Ram Rider,1,5,Electro Dragon,4,8,Goblin Giant,4,8,The Log,1,5,Tombstone,7,11,Ice Golem,7,11,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GPYRYQ80,yazan,5266,0,#2YG0QG2C,SYRIA IS COMING,16000125,Archers,9,13,Skeleton Army,4,8,Elixir Collector,7,11,Fireball,7,11,Elixir Golem,7,11,Princess,1,5,Battle Ram,7,11,Baby Dragon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T141113.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,5,draft,#8U0L2CRL,<c6>Tux,6082,0,#JRJPG9,CRO-PRO,16000044,Zap,9,13,Knight,9,13,Goblins,9,13,Graveyard,1,5,Mega Minion,7,11,Minions,9,13,Mortar,9,13,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JUJUPUG,武侯区,4989,1,#P089U2UP,莽夫军团,16000163,Executioner,4,8,X-Bow,4,8,Ice Wizard,1,5,Goblin Gang,9,13,Royal Giant,9,13,Skeletons,9,13,Elixir Golem,7,11,Earthquake,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T140659.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,4,draft,#8U0L2CRL,<c6>Tux,6082,3,#JRJPG9,CRO-PRO,16000044,Cannon Cart,4,8,Minions,9,13,X-Bow,4,8,Poison,4,8,Ice Golem,7,11,Princess,1,5,Ice Spirit,9,13,Wall Breakers,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQ8C8RJQ,kons_tea,4843,0,#JJJ99U,Sizzel,16000080,Royal Giant,9,13,Fire Spirits,9,13,Magic Archer,1,5,Elixir Golem,7,11,The Log,1,5,Mortar,9,13,Musketeer,7,11,Elite Barbarians,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T140432.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,3,draft,#8U0L2CRL,<c6>Tux,6082,3,#JRJPG9,CRO-PRO,16000044,Ice Wizard,1,5,Royal Hogs,7,11,Fireball,7,11,Spear Goblins,9,13,Zap,9,13,Minions,9,13,Elixir Golem,7,11,Mega Minion,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RVU2V0P,thiago,5101,1,#8GYV8GPU,LuN@Tk's CLaSh,16000077,Dart Goblin,7,11,Valkyrie,7,11,Flying Machine,7,11,Arrows,9,13,Ice Spirit,9,13,Barbarian Barrel,4,8,Giant,7,11,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T140123.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,2,draft,#8U0L2CRL,<c6>Tux,6082,2,#JRJPG9,CRO-PRO,16000044,Poison,4,8,Graveyard,1,5,Spear Goblins,9,13,Ice Golem,7,11,Goblins,9,13,Zappies,7,11,Archers,9,13,Knight,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VCJYR2C,19markie62,5246,1,#PGGCV8C9,CLASHGAMER.PH1,16000028,Elixir Golem,7,11,Musketeer,7,11,Witch,4,8,Guards,4,8,Fire Spirits,9,13,Princess,1,5,Battle Ram,7,11,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T135658.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,1,draft,#8U0L2CRL,<c6>Tux,6082,3,#JRJPG9,CRO-PRO,16000044,Goblin Giant,4,8,Magic Archer,1,5,Barbarian Barrel,4,8,Flying Machine,7,11,Wall Breakers,4,8,Ice Golem,7,11,Fisherman,1,5,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RPJVYYUJ,крик,4005,0,#QPUJLV,Harmlos,16000000,Zappies,7,11,Night Witch,1,5,Guards,4,8,Hog Rider,7,11,Ice Wizard,1,5,Earthquake,7,11,Hunter,4,8,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T135423.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,0,draft,#8U0L2CRL,<c6>Tux,6082,3,#JRJPG9,CRO-PRO,16000044,X-Bow,4,8,Knight,9,13,Rocket,7,11,Inferno Dragon,1,5,Ice Wizard,1,5,Ice Spirit,9,13,Guards,4,8,Graveyard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPGRJV8,NAVY,4682,0,#99G009RC,bignibbashits,16000113,Royal Giant,9,13,Mega Minion,7,11,Goblins,9,13,Hunter,4,8,Wizard,7,11,The Log,1,5,Elixir Golem,7,11,Mortar,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
