type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191010T123153.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#8UVRRGRV,⚡Nightmare⚡,6165,2,#2V0QU2QC,Parabellum,16000007,Wall Breakers,4,8,Inferno Tower,7,11,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y9Y8QPLG,tyran,4533,1,#8LYJ0UYC,Sylvanas Legion,16000044,Miner,1,5,Mega Minion,7,11,Witch,4,8,Giant,7,11,Fisherman,1,5,Night Witch,1,5,The Log,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T113958.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#8UVRRGRV,⚡Nightmare⚡,6165,0,#2V0QU2QC,Parabellum,16000007,Wall Breakers,4,8,Inferno Tower,7,11,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LV0VGU2U,Giant Lamb,5343,1,#PY9PR822,CR小隊,16000014,X-Bow,4,8,Tesla,9,13,Knight,9,13,Archers,9,13,Ice Spirit,9,13,Skeletons,9,13,The Log,1,5,Fireball,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T113556.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,1,collection,#8UVRRGRV,⚡Nightmare⚡,6165,1,#2V0QU2QC,Parabellum,16000007,Wall Breakers,4,8,Inferno Tower,7,11,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVQYCCLPL,samuel97jl,4540,0,#PVGV8CP8,Triple Trial,16000021,Minion Horde,9,13,Magic Archer,1,5,Witch,4,8,Mega Knight,1,5,The Log,1,5,Skeleton Army,4,8,Inferno Dragon,1,5,Clone,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191010T102239.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#8UVRRGRV,⚡Nightmare⚡,6165,0,#2V0QU2QC,Parabellum,16000007,Giant Skeleton,4,8,Balloon,4,8,Bats,9,13,Skeletons,9,13,Miner,1,5,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#922Y002L,R.Y.U.S.E.I,5336,1,#VGRVVP,8284クラン,16000121,Royal Hogs,7,11,Bandit,1,5,Flying Machine,7,11,Bats,9,13,Barbarians,9,13,Musketeer,7,11,Barbarian Barrel,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191010T101826.000Z,,54000037,Legendary Arena,72000013,DraftModeInsane,,draft,#8UVRRGRV,⚡Nightmare⚡,6165,1,#2V0QU2QC,Parabellum,16000007,Poison,4,8,Giant Snowball,9,13,Miner,1,5,Dart Goblin,7,11,Goblins,9,13,Goblin Giant,4,8,Goblin Cage,7,11,Cannon Cart,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G09YGU2,梵蒂冈,5314,0,#P2VVCGJC,88887777,16000146,Dark Prince,4,8,Inferno Dragon,1,5,Goblin Barrel,4,8,Fire Spirits,9,13,Zappies,7,11,Royal Recruits,9,13,Arrows,9,13,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T100350.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8UVRRGRV,⚡Nightmare⚡,6145,1,#2V0QU2QC,Parabellum,16000007,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QRPLQG,ivar,6030,0,#CJ2PPUR,chaos,16000107,Golem,8,8,Witch,8,8,Night Witch,5,5,Lumberjack,5,5,Baby Dragon,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T095852.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8UVRRGRV,⚡Nightmare⚡,6115,3,#2V0QU2QC,Parabellum,16000007,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QVGYPQ,JacoboTheHobo,6121,0,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T095550.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8UVRRGRV,⚡Nightmare⚡,6091,1,#2V0QU2QC,Parabellum,16000007,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8992228CR,oliver,6027,0,#8VU89V98,Allstar'S⭐,16000040,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,Zap,13,13,Mega Knight,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T095213.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8UVRRGRV,⚡Nightmare⚡,6125,0,#2V0QU2QC,Parabellum,16000007,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#820YC29J9,eklasaarni,6067,1,#P0GCV2PG,The Fallen Ones,16000043,Balloon,8,8,Valkyrie,11,11,Zap,13,13,Miner,5,5,Tornado,7,8,Executioner,8,8,Skeletons,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T094551.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#8UVRRGRV,⚡Nightmare⚡,6104,2,#2V0QU2QC,Parabellum,16000007,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82J9CLC8L,estagiario,6000,0,#9VQJPQYU,AgaiN,16000044,Barbarian Barrel,8,8,Hunter,8,8,Lightning,7,8,Giant Snowball,13,13,Goblin Giant,8,8,Mega Minion,11,11,Sparky,5,5,Guards,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
