type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191003T171905.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6129,0,,,,Giant,11,11,P.E.K.K.A,8,8,Baby Dragon,8,8,Lumberjack,5,5,Night Witch,5,5,Mega Minion,11,11,Zap,13,13,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Q0C2JCY8,Audriel,6167,3,#8LU0C9L,B-Boyz,16000144,Skeleton Army,8,8,Mega Knight,5,5,Witch,8,8,Zap,13,13,Bats,13,13,Hog Rider,11,11,Inferno Dragon,4,5,Rage,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191003T171652.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6162,0,,,,Giant,11,11,P.E.K.K.A,8,8,Baby Dragon,8,8,Lumberjack,5,5,Night Witch,5,5,Mega Minion,11,11,Zap,13,13,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99JV0JJR,Mebius,6122,1,#9C0Q2QQQ,我愛瑪莉小羊-與神同行,16000142,Golem,8,8,Mega Minion,11,11,Zap,13,13,Mini P.E.K.K.A,11,11,Baby Dragon,8,8,Dark Prince,8,8,Poison,8,8,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191003T171322.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6193,0,,,,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Tornado,7,8,Baby Dragon,8,8,Mega Minion,11,11,Zap,13,13,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPCGY8L8,rayray,6175,3,#PPYRYJ08,BATTLE OF GODS,16000000,Minions,13,13,Barbarians,13,13,Mega Knight,5,5,Fireball,11,11,Royal Giant,13,13,Zap,13,13,Wizard,11,11,Bomber,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191003T171036.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6163,3,,,,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Tornado,7,8,Baby Dragon,8,8,Mega Minion,11,11,Zap,13,13,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UCGQQ2R,MartinKing,6165,2,#P222GYQ,香港 - 傳奇,16000134,Poison,8,8,P.E.K.K.A,8,8,Bandit,5,5,Royal Ghost,5,5,Minions,13,13,Battle Ram,11,11,Electro Wizard,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191003T170754.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6163,0,,,,P.E.K.K.A,8,8,Night Witch,5,5,Lumberjack,5,5,Mega Minion,11,11,Baby Dragon,8,8,Lightning,8,8,Zap,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0PGUQC2,Click,6160,0,#2UQ2JG0,HẢI PHÒNG Solo,16000039,Mega Minion,11,11,Bomb Tower,11,11,Arrows,13,13,Poison,8,8,Miner,5,5,Royal Ghost,5,5,Ice Wizard,5,5,P.E.K.K.A,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191003T170138.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6193,0,,,,P.E.K.K.A,8,8,Night Witch,5,5,Lumberjack,5,5,Mega Minion,11,11,Baby Dragon,8,8,Lightning,8,8,Zap,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GGCQGGP9,성현우현,6193,1,#2LVGGQ0Y,성인들의 모임,16000008,Ram Rider,5,5,Baby Dragon,8,8,Barbarian Barrel,8,8,Lightning,8,8,P.E.K.K.A,8,8,Giant Snowball,13,13,Bandit,5,5,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191003T165745.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6220,0,,,,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Mini P.E.K.K.A,11,11,Baby Dragon,8,8,Mega Minion,11,11,Zap,13,13,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CGURP200,//Lord Dapper//,6252,3,#8PY9GJ2C,50 LORD's EC,16000114,Baby Dragon,8,8,Mega Minion,11,11,Furnace,11,11,Barbarians,13,13,Dark Prince,8,8,Poison,8,8,Barbarian Barrel,7,8,Graveyard,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191003T140113.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6189,2,,,,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Mini P.E.K.K.A,11,11,Baby Dragon,8,8,Mega Minion,11,11,Zap,13,13,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QCRY0PRQ,吊炸天是也,6212,1,#L98LPGL,乖乖一号,16000144,Hog Rider,11,11,Ice Golem,11,11,Bats,13,13,Goblins,13,13,Zap,13,13,Fireball,11,11,Mega Knight,5,5,Inferno Dragon,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191003T135735.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6221,1,#9YCGJ9UQ,Golems Vendetta,16000044,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Mini P.E.K.K.A,11,11,Baby Dragon,8,8,Mega Minion,11,11,Zap,13,13,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LUGG228U,ちー,6195,2,#9LCVQL82,冷やしゴブリン始めましたⅡ,16000155,Balloon,8,8,Ice Spirit,13,13,Knight,13,13,Miner,4,5,Princess,4,5,Skeletons,13,13,Tornado,6,8,Zap,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191003T135423.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#8YLGYYVY,⚡VEGA⚡™,6249,1,#9YCGJ9UQ,Golems Vendetta,16000044,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Mini P.E.K.K.A,11,11,Baby Dragon,8,8,Mega Minion,11,11,Zap,13,13,Lightning,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#800CRUV8,Austin,6269,2,#2Q2QVU0,Cat Central,16000077,Miner,5,5,Goblin Barrel,8,8,Goblin Gang,13,13,Fireball,11,11,Princess,5,5,Minion Horde,13,13,Inferno Tower,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
