type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarWarDay,20191002T133051.000Z,,54000036,Legendary Arena,72000066,Showdown_Ladder,,collection,#90ULC928U,One More Time,6136,1,#GU28Q,Anh Em,16000039,Hog Rider,10,11,P.E.K.K.A,6,8,Musketeer,10,11,Fireball,9,11,Cannon,11,13,Ice Wizard,3,5,Miner,3,5,Rascals,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P98RRJRUG,芋虫,5336,0,#29Y2YLV,Ya-mans,16000091,Royal Giant,10,13,Balloon,5,8,Witch,4,8,Fireball,8,11,Baby Dragon,6,8,Mini P.E.K.K.A,8,11,Ice Golem,8,11,Bats,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191002T080744.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#90ULC928U,One More Time,6107,1,#GU28Q,Anh Em,16000039,The Log,5,5,Fireball,11,11,Skeletons,13,13,Archers,13,13,Tesla,13,13,Ice Golem,11,11,X-Bow,8,8,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G2JV8J9J,砍死 一 坏人,6100,0,#Y8VCYU0,CN SOVRAN 摆渡人,16000144,Lightning,8,8,P.E.K.K.A,8,8,Valkyrie,11,11,Wizard,11,11,Goblin Hut,11,11,Zap,13,13,Miner,5,5,Skeleton Barrel,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191002T071352.000Z,,54000036,Legendary Arena,72000005,DraftMode,,draft,#90ULC928U,One More Time,6107,2,#GU28Q,Anh Em,16000039,Graveyard,1,5,Goblins,9,13,Golem,4,8,Fireball,7,11,Goblin Gang,9,13,Rocket,7,11,Dark Prince,4,8,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UU0CVV0Y,ろー,6212,1,#8GG9L829,すてきな3にんぐみ,16000108,Dart Goblin,7,11,Baby Dragon,4,8,Poison,4,8,Guards,4,8,Barbarian Barrel,4,8,Valkyrie,7,11,Ice Spirit,9,13,Battle Ram,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191002T062942.000Z,,54000036,Legendary Arena,72000131,ClassicDecks2_Friendly,,eventDeck,#90ULC928U,One More Time,6107,1,#GU28Q,Anh Em,16000039,Mega Knight,1,5,Inferno Dragon,1,5,Goblin Gang,9,13,Spear Goblins,9,13,Skeleton Barrel,9,13,Miner,1,5,Bats,9,13,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UV2PVYRV,Think Dr.,5612,0,#JRVV0C2,黑色会,16000143,Balloon,4,8,Ice Golem,7,11,Ice Spirit,9,13,Giant Snowball,9,13,Lumberjack,1,5,Musketeer,7,11,Bats,9,13,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191002T062553.000Z,,54000036,Legendary Arena,72000005,DraftMode,,draft,#90ULC928U,One More Time,6107,0,#GU28Q,Anh Em,16000039,Giant,7,11,Graveyard,1,5,Bowler,4,8,Inferno Dragon,1,5,Fireball,7,11,Goblin Barrel,4,8,Zappies,7,11,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UCRJLRU0,Dio Brando,5645,1,#800QPQJ,饭团,16000101,Fire Spirits,9,13,Bats,9,13,Bandit,1,5,Zap,9,13,Inferno Tower,7,11,Bomber,9,13,Battle Ram,7,11,Lava Hound,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191001T211726.000Z,73002437,54000036,Legendary Arena,72000005,DraftMode,1,draft,#90ULC928U,One More Time,6107,3,#GU28Q,Anh Em,16000039,Minions,9,13,Giant,7,11,Skeleton Barrel,9,13,Witch,4,8,Princess,1,5,Prince,4,8,Arrows,9,13,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U8UQP8,Telmo 19,5097,0,#8YLJ89YQ,PORTUGAL TEAM,16000171,Poison,4,8,Zap,9,13,Lumberjack,1,5,Wizard,7,11,Mega Minion,7,11,Royal Giant,9,13,Lava Hound,1,5,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191001T211349.000Z,73002437,54000036,Legendary Arena,72000005,DraftMode,0,draft,#90ULC928U,One More Time,6107,1,#GU28Q,Anh Em,16000039,Zap,9,13,P.E.K.K.A,4,8,Fire Spirits,9,13,Poison,4,8,Valkyrie,7,11,Goblin Giant,4,8,Miner,1,5,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QUYR8P8C,almakhraz✂️✂️,5096,0,#JG8Q00,muslim,16000030,Bats,9,13,Goblin Barrel,4,8,Golem,4,8,Witch,4,8,Freeze,4,8,Ice Spirit,9,13,Cannon Cart,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191001T202154.000Z,,54000036,Legendary Arena,72000005,DraftMode,,draft,#90ULC928U,One More Time,6107,3,#GU28Q,Anh Em,16000039,Golem,4,8,Barbarians,9,13,Wizard,7,11,Goblins,9,13,Mega Minion,7,11,Princess,1,5,Hog Rider,7,11,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#288998JUY,Gian Carlos csi,6022,1,#PCJ988RP,☠ativos BR☠,16000058,Barbarian Barrel,4,8,Royal Giant,9,13,Inferno Dragon,1,5,Ice Wizard,1,5,Ice Spirit,9,13,Bats,9,13,Bomb Tower,7,11,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191001T201707.000Z,,54000036,Legendary Arena,72000005,DraftMode,,draft,#90ULC928U,One More Time,6107,1,#GU28Q,Anh Em,16000039,Poison,4,8,Inferno Tower,7,11,Witch,4,8,Golem,4,8,Skeleton Army,4,8,Graveyard,1,5,Mortar,9,13,Flying Machine,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YLCR2LUR,MrGreene,6156,2,#8GUPGYVY,Platin Bananen,16000024,Dark Prince,4,8,Cannon Cart,4,8,Royal Giant,9,13,Minions,9,13,Ice Golem,7,11,Bats,9,13,Cannon,9,13,Arrows,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191001T201232.000Z,,54000036,Legendary Arena,72000005,DraftMode,,draft,#90ULC928U,One More Time,6107,2,#GU28Q,Anh Em,16000039,Royal Giant,9,13,Goblins,9,13,Princess,1,5,Giant,7,11,Lightning,4,8,Minions,9,13,Inferno Dragon,1,5,Dark Prince,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LG9CLQ8Q,Yerbrin,6015,1,#2CCL8UL,new cambrils,16000024,Elite Barbarians,9,13,Ice Wizard,1,5,Archers,9,13,Barbarian Barrel,4,8,Golem,4,8,Prince,4,8,Skeletons,9,13,Graveyard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
