type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20191010T132659.000Z,,54000018,Champion,72000007,Friendly,,collection,#92Y89CQ82,GIVENCHY,6264,2,#PGVJCRP9,Dragon X,16000093,Skeletons,9,13,Poison,4,8,Giant,7,11,Miner,1,5,Fisherman,1,5,Witch,4,8,Night Witch,1,5,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PRQJVURG,Air,5500,1,#228YYL99,AllinForce,16000017,Tornado,4,8,Ice Wizard,1,5,Mega Minion,7,11,Cannon Cart,4,8,Poison,4,8,The Log,1,5,Graveyard,1,5,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20191010T132323.000Z,,54000018,Champion,72000007,Friendly,,collection,#92Y89CQ82,GIVENCHY,6264,3,#PGVJCRP9,Dragon X,16000093,Skeletons,9,13,Poison,4,8,Giant,7,11,Miner,1,5,Fisherman,1,5,Witch,4,8,Night Witch,1,5,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PRQJVURG,Air,5500,0,#228YYL99,AllinForce,16000017,Miner,1,5,Poison,4,8,Giant,7,11,Skeletons,9,13,Fisherman,1,5,Witch,4,8,Night Witch,1,5,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T131514.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#92Y89CQ82,GIVENCHY,6241,1,#PGVJCRP9,Dragon X,16000093,Bandit,5,5,Ram Rider,5,5,Giant Snowball,13,13,Inferno Dragon,5,5,Magic Archer,5,5,Ice Golem,11,11,Barbarian Barrel,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89CRJCGJ,Bomber BULLET,6161,0,#PPJUPCLP,Bomber Esports,16000179,Skeletons,13,13,Poison,8,8,Giant,11,11,Ice Spirit,13,13,Fisherman,5,5,Witch,8,8,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T130713.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#92Y89CQ82,GIVENCHY,6212,1,#PGVJCRP9,Dragon X,16000093,Bandit,5,5,Ram Rider,5,5,Giant Snowball,13,13,Inferno Dragon,5,5,Magic Archer,5,5,Ice Golem,11,11,Barbarian Barrel,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YQYPV0C,klose18,6205,0,#9LLL2URJ,Sandstorm EGY,16000097,Ice Golem,11,11,Barbarian Barrel,8,8,Giant Snowball,13,13,Ram Rider,5,5,Bandit,5,5,Inferno Dragon,5,5,Magic Archer,5,5,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T130227.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#92Y89CQ82,GIVENCHY,6252,0,#PGVJCRP9,Dragon X,16000093,Bandit,5,5,Ram Rider,5,5,Giant Snowball,13,13,Inferno Dragon,5,5,Magic Archer,5,5,Ice Golem,11,11,Barbarian Barrel,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22C2C89RJ,Mute > Henry,6121,1,#Y08G90PY,Sinister™️,16000138,Giant,11,11,Mega Minion,11,11,Barbarians,13,13,Poison,8,8,Witch,8,8,Giant Snowball,13,13,Bats,13,13,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T125656.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#92Y89CQ82,GIVENCHY,6229,2,#PGVJCRP9,Dragon X,16000093,Bandit,5,5,Ram Rider,5,5,Giant Snowball,13,13,Inferno Dragon,5,5,Magic Archer,5,5,Ice Golem,11,11,Barbarian Barrel,8,8,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L8L8LC,NS丨Prince旭,6155,1,#YYL2GJUC,女神的世界,16000111,Lumberjack,5,5,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Elixir Collector,11,11,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T124447.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#92Y89CQ82,GIVENCHY,6202,3,#PGVJCRP9,Dragon X,16000093,Giant,11,11,Prince,8,8,Bats,13,13,Dark Prince,8,8,Goblin Gang,13,13,Spear Goblins,13,13,Zap,13,13,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLJRYCV9,一线天,6178,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T095551.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#92Y89CQ82,GIVENCHY,6175,3,#PGVJCRP9,Dragon X,16000093,Goblin Gang,13,13,Prince,8,8,Giant,11,11,Poison,8,8,Spear Goblins,13,13,Dark Prince,8,8,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QVGYPQ,JacoboTheHobo,6148,1,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T094309.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#92Y89CQ82,GIVENCHY,6139,1,#PGVJCRP9,Dragon X,16000093,Goblin Gang,13,13,Prince,8,8,Giant,11,11,Poison,8,8,Spear Goblins,13,13,Dark Prince,8,8,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2VYVPPU,king night,6217,0,#2L0V9LJ2,ملوك العز,16000027,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T093738.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#92Y89CQ82,GIVENCHY,6109,1,#PGVJCRP9,Dragon X,16000093,Goblin Gang,13,13,Prince,8,8,Giant,11,11,Poison,8,8,Spear Goblins,13,13,Dark Prince,8,8,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQJ9UUP,~Lorenzo~,6110,0,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
