type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20191011T105510.000Z,,54000003,Arena 3,72000023,TeamVsTeamLadder,,collection,#9YVGC8,Tobi SpiritHawk,6122,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#98GPG9,✫ I Karnage,,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#22GY9Y00,SINA_BAKH7,5055,1,#YRRCU8VY,محمودآباد,16000101,Furnace,11,11,Zap,13,13,Valkyrie,11,11,Wizard,11,11,Fireball,11,11,Tornado,8,8,Royal Giant,13,13,Guards,8,8,#28GJ8V8YR,NASERbakh7,,1,#YRRCU8VY,محمودآباد,16000101,P.E.K.K.A,7,8,Hog Rider,10,11,Goblin Barrel,8,8,Minions,13,13,Valkyrie,11,11,Furnace,11,11,Wizard,11,11,Zap,13,13
casual2v2,20191011T105240.000Z,,54000000,Training Camp,72000023,TeamVsTeamLadder,,collection,#9YVGC8,Tobi SpiritHawk,6122,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#98GPG9,✫ I Karnage,,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#29R90QQ9,hypnic jerk,4906,0,#RYCR20,Eclipse Gate,16000004,Wizard,11,11,Tesla,13,13,Mirror,8,8,The Log,5,5,Knight,13,13,Furnace,11,11,Fireball,11,11,Musketeer,11,11,#PPQ2RJG,broc,,0,#2JQJJVL,Les Zombies,16000000,Poison,8,8,Fire Spirits,13,13,Archers,13,13,Hog Rider,11,11,Mini P.E.K.K.A,11,11,Wizard,11,11,Bomber,13,13,Minions,13,13
casual2v2,20191011T105130.000Z,,54000007,Arena 10,72000023,TeamVsTeamLadder,,collection,#98GPG9,✫ I Karnage,6247,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#9YVGC8,Tobi SpiritHawk,,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#9L9L28GGL,davi,5090,0,#PR2L29JL,Lendários,16000058,P.E.K.K.A,8,8,Arrows,13,13,Wizard,11,11,Bandit,5,5,Baby Dragon,8,8,Dark Prince,8,8,Lumberjack,5,5,Freeze,8,8,#9GVR9VRP,abufessal,,0,#P980GPG,OMGitsdaKYS,16000020,Hog Rider,11,11,Graveyard,3,5,Princess,5,5,Mini P.E.K.K.A,11,11,Zap,13,13,P.E.K.K.A,8,8,Witch,8,8,Minions,13,13
casual2v2,20191011T104941.000Z,,54000000,Training Camp,72000023,TeamVsTeamLadder,,collection,#9YVGC8,Tobi SpiritHawk,6122,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#98GPG9,✫ I Karnage,,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#YCU9LPUU,Andyconan,4757,0,#90JJ9R99,I Senatori,16000081,Bowler,8,8,Wizard,11,11,The Log,5,5,Freeze,6,8,P.E.K.K.A,8,8,Fireball,11,11,Hog Rider,11,11,Ice Wizard,5,5,#8P2RCCQQ,RICK_CHAM,,0,#2RLR8JQ,. : GT : .,16000011,Wizard,11,11,Barbarians,13,13,Executioner,8,8,Fireball,10,11,Goblin Hut,11,11,Elite Barbarians,13,13,Witch,8,8,Mega Knight,4,5
casual2v2,20191011T104720.000Z,,54000008,Arena 7,72000023,TeamVsTeamLadder,,collection,#98GPG9,✫ I Karnage,6247,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#9YVGC8,Tobi SpiritHawk,,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#8VVRU229R,luiz,4977,0,#9P2PJRLL,Insane Dream,16000005,Dart Goblin,11,11,Knight,13,13,Zap,13,13,Tesla,13,13,Mega Knight,4,5,Night Witch,5,5,Goblin Gang,13,13,Poison,8,8,#20VJ0PCR,pedropapai,,0,#YGY2J2YC,claNINJA,16000044,Freeze,7,8,Balloon,8,8,Skeleton Army,8,8,Wizard,11,11,The Log,4,5,Hog Rider,11,11,Dart Goblin,11,11,Minion Horde,13,13
casual2v2,20191011T104614.000Z,,54000005,Arena 5,72000023,TeamVsTeamLadder,,collection,#98GPG9,✫ I Karnage,6247,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#9YVGC8,Tobi SpiritHawk,,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#902880R89,neniel,4885,0,#Q800VC,Los PeKKoS,16000019,Zap,13,13,Arrows,13,13,Knight,13,13,Bomber,12,13,Miner,3,5,Archers,13,13,Flying Machine,11,11,Giant,11,11,#YJYG02QR,KEELAGEHKV,,0,#2Q228Q0Y,30+ clash 3,16000074,Dart Goblin,11,11,Elite Barbarians,13,13,Furnace,11,11,Goblin Gang,13,13,Poison,8,8,Lava Hound,5,5,Mega Knight,4,5,Mirror,8,8
casual2v2,20191011T104503.000Z,,54000008,Arena 7,72000023,TeamVsTeamLadder,,collection,#98GPG9,✫ I Karnage,6247,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#9YVGC8,Tobi SpiritHawk,,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#8RV0YCQVY,憂鬱奔向冷的天,4846,0,#C9VY2C,是狗彈衝團,16000002,Freeze,6,8,Bomb Tower,11,11,Valkyrie,11,11,Rocket,11,11,Baby Dragon,7,8,Wizard,11,11,Mini P.E.K.K.A,11,11,Dart Goblin,11,11,#8Q8Y0C9C2,flare #4,,0,#LGPLJQL,ポテトチップス,16000140,Musketeer,11,11,Rocket,11,11,Skeletons,13,13,Goblin Gang,13,13,Arrows,13,13,Ice Spirit,13,13,Miner,5,5,Zap,13,13
casual2v2,20191011T104259.000Z,,54000006,Arena 6,72000023,TeamVsTeamLadder,,collection,#98GPG9,✫ I Karnage,6247,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#9YVGC8,Tobi SpiritHawk,,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#LYJLGV0R,あまくち大関,5048,1,#YQ8V20CV,ごきげんランド,16000164,Arrows,13,13,Bandit,5,5,Mortar,13,13,Guards,8,8,Mega Minion,11,11,Dart Goblin,11,11,Wall Breakers,6,8,Dark Prince,8,8,#8L998PYC,antonio1,,1,#PGGPJPU8,AncientRUSSIA,16000096,Lava Hound,5,5,Mega Minion,11,11,Lightning,8,8,Arrows,13,13,Baby Dragon,8,8,Balloon,8,8,Tombstone,11,11,Guards,8,8
casual2v2,20191011T103959.000Z,,54000010,Arena 9,72000023,TeamVsTeamLadder,,collection,#98GPG9,✫ I Karnage,6247,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#9YVGC8,Tobi SpiritHawk,,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#2CQCQ2YY0,アルスリーズ,4903,0,#922JURQV,右京王国,16000125,P.E.K.K.A,8,8,Miner,5,5,Goblin Hut,11,11,Mega Minion,11,11,Electro Wizard,5,5,Giant Snowball,13,13,Spear Goblins,13,13,Earthquake,11,11,#8P9VUP90P,Gammly,,0,#2GRLR8Y0,Haze Busters,16000171,Fireball,11,11,Witch,8,8,Mega Minion,11,11,Hog Rider,11,11,Bats,13,13,P.E.K.K.A,8,8,Zap,13,13,Princess,5,5
casual2v2,20191011T103734.000Z,,54000006,Arena 6,72000023,TeamVsTeamLadder,,collection,#98GPG9,✫ I Karnage,6247,3,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,5,5,Skeleton Army,8,8,Baby Dragon,8,8,Lumberjack,5,5,Flying Machine,11,11,Giant Snowball,13,13,Bats,13,13,Clone,8,8,#9YVGC8,Tobi SpiritHawk,,3,#LYR90J2,༺ᏕᏢᏐᏒᏐᎢ ᎻᎪᎳᏦ༻,16000016,Lumberjack,5,5,Balloon,8,8,Freeze,8,8,Tornado,8,8,Baby Dragon,8,8,Witch,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,#8PVRUU9YJ,AMIN,4828,1,#2QJC8Q,parsian,16000044,Rage,6,8,Princess,4,5,Balloon,8,8,Witch,8,8,Electro Wizard,4,5,Knight,13,13,Hog Rider,11,11,Fireball,11,11,#8QPLQRV,Artur11.08.1983,,1,#20QPQCUV,Deutsch,16000080,Valkyrie,11,11,Wizard,11,11,Inferno Dragon,3,5,Bats,13,13,Knight,13,13,Minions,13,13,Rage,7,8,Baby Dragon,7,8
