type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarWarDay,20191009T182648.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#99U28PUG,Prime,6117,1,#9QY9JG09,QLASH Sentry,16000020,Ram Rider,4,5,Bandit,4,5,Poison,7,8,Hunter,7,8,Giant Snowball,12,13,Fire Spirits,12,13,Knight,12,13,Skeletons,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#992U9PUUL,dani,4852,0,#8U0PJJJ,Bots Downs,16000124,P.E.K.K.A,7,8,Arrows,11,13,Valkyrie,10,11,Prince,6,8,Bomber,12,13,Ram Rider,3,5,Bats,11,13,Flying Machine,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191009T121118.000Z,,54000008,Arena 7,72000023,TeamVsTeamLadder,,collection,#99U28PUG,Prime,6117,0,#9QY9JG09,QLASH Sentry,16000020,Goblin Giant,8,8,Sparky,5,5,Electro Wizard,5,5,Goblin Cage,10,11,Dark Prince,8,8,Mega Minion,11,11,Giant Snowball,13,13,Lightning,8,8,#8CYQ0JR2V,HITMAN,,0,#8Q0PCG0P,Uchiha,16000176,Rocket,10,11,Zap,13,13,Valkyrie,10,11,Executioner,8,8,Tornado,8,8,Goblins,13,13,Hog Rider,11,11,Ice Spirit,12,13,#PCRYCG2L,Protector,4066,3,#22VR82C,Manch Massacre,16000029,Knight,13,13,Princess,3,5,Musketeer,11,11,Baby Dragon,7,8,Rocket,11,11,Barbarians,13,13,Valkyrie,11,11,Hog Rider,10,11,#2GY082UVL,Ruy,,3,#UUPRL9C,Sanguinarios,16000020,Hog Rider,11,11,Balloon,8,8,Knight,13,13,Wizard,11,11,Bats,13,13,Fireball,11,11,Valkyrie,11,11,Tesla,12,13
casual2v2,20191009T115926.000Z,,54000007,Arena 10,72000023,TeamVsTeamLadder,,collection,#99U28PUG,Prime,6117,0,#9QY9JG09,QLASH Sentry,16000020,Goblin Giant,8,8,Sparky,5,5,Electro Wizard,5,5,Goblin Cage,10,11,Dark Prince,8,8,Mega Minion,11,11,Giant Snowball,13,13,Lightning,8,8,#2CRP9UQC0,オナドリ ポポさん,,0,#8C90VQ0C,噂のクラン,16000054,Hog Rider,11,11,Knight,13,13,Executioner,8,8,Earthquake,11,11,Skeletons,13,13,Ice Spirit,13,13,Tornado,8,8,The Log,5,5,#PQVV2PYL,一刀入魂,5004,3,#PY2GQ2UY,給你10元讓我贏,16000163,Tombstone,11,11,Mini P.E.K.K.A,11,11,Zap,13,13,Mega Minion,11,11,Royal Giant,13,13,Baby Dragon,8,8,Barbarian Barrel,8,8,Fireball,11,11,#8PJGG08JR,たられば娘,,3,#92L8RU,やさいをたべよう,16000077,Royal Recruits,13,13,Tesla,13,13,Lightning,7,8,Princess,5,5,Ram Rider,4,5,Earthquake,11,11,Fisherman,5,5,Hunter,8,8
PvP,20191009T103304.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#99U28PUG,Prime,6082,3,#9QY9JG09,QLASH Sentry,16000020,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJLJ98U,DIG Blaze,6148,1,#2LRU2J,Crucible Wrath,16000002,Wall Breakers,8,8,Hunter,8,8,Mega Knight,5,5,Ice Spirit,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T102910.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#99U28PUG,Prime,6048,1,#9QY9JG09,QLASH Sentry,16000020,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QLJU20J,CrossBow,6100,0,#9RCRYVRL,Трактарына,16000042,Giant,11,11,Sparky,5,5,Minion Horde,13,13,Goblin Gang,13,13,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T102352.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#99U28PUG,Prime,6018,3,#9QY9JG09,QLASH Sentry,16000020,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PP9L2PYG,ENM⚡Basti,6026,0,#8R9289Q2,#Eskalation,16000142,Mega Minion,11,11,Musketeer,11,11,Giant,11,11,The Log,5,5,Arrows,13,13,Bowler,8,8,Tombstone,11,11,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T101939.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#99U28PUG,Prime,5994,1,#9QY9JG09,QLASH Sentry,16000020,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LU9CG2YG,RoDiRiS,5930,0,#PYVCRYRG,New Order Tuga,16000044,Electro Wizard,5,5,Inferno Tower,11,11,Goblin Barrel,8,8,Fireball,11,11,Princess,5,5,Hog Rider,11,11,Goblin Gang,13,13,Skeleton Army,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T101206.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#99U28PUG,Prime,5969,1,#9QY9JG09,QLASH Sentry,16000020,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LVU92,豆豆,5919,0,#8G9VY92,上海 OP Elite,16000000,Elixir Collector,11,11,Golem,8,8,Zap,13,13,Baby Dragon,8,8,Night Witch,5,5,Witch,8,8,Lumberjack,5,5,Clone,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T100743.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#99U28PUG,Prime,5945,3,#9QY9JG09,QLASH Sentry,16000020,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PCG8RGCU,gg,5883,0,#GUCRRU,The Athenians,16000068,Archers,13,13,Lightning,8,8,Baby Dragon,8,8,Lumberjack,5,5,Night Witch,5,5,Golem,8,8,Furnace,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T100437.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#99U28PUG,Prime,5916,1,#9QY9JG09,QLASH Sentry,16000020,Giant Snowball,13,13,Barbarian Barrel,8,8,Ram Rider,5,5,Bandit,5,5,Mega Knight,5,5,Inferno Dragon,5,5,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RYPL92J0,青知,5911,0,#2GPC0VQ,暴躁世界,16000029,The Log,4,5,Electro Wizard,5,5,Poison,8,8,Valkyrie,11,11,Goblin Hut,11,11,Baby Dragon,8,8,Bowler,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
