type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T135027.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6179,1,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C8YU9J2C,EB⚡MEGADROID⚡,6093,0,#YJRY9LPU,DECOW LIXOOO,16000058,Night Witch,5,5,Lightning,8,8,Skeleton Army,8,8,The Log,5,5,Baby Dragon,8,8,Golem,8,8,Bomber,13,13,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T134656.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6201,0,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6293,1,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T134142.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6166,2,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RLRCG28,⚡FCB DAMN⚡,6232,1,#YVPQV8V,CSL1,16000142,Mega Knight,5,5,Balloon,8,8,Inferno Dragon,5,5,Witch,8,8,Fireball,11,11,Zap,13,13,Freeze,8,8,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T112750.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6134,1,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CL0GU8,⚡Xx_MaHmOd_Xx⚡,6159,0,#9J20GC8Y,درع الجزيره,16000024,Mortar,13,13,Rascals,13,13,Miner,5,5,Fireball,11,11,The Log,5,5,Goblin Gang,13,13,Spear Goblins,13,13,Bats,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T112236.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6159,0,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V8QUC0P,YT JS Gaming,6214,1,#9JYR0VYG,⚡️SD United⚡️,16000008,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Zap,13,13,Wall Breakers,8,8,Witch,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T111848.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6198,0,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLGPYL2G,Carl the Legend,6086,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,5,5,Balloon,8,8,Tombstone,11,11,Mega Minion,11,11,Minions,13,13,Barbarians,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T085413.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6168,1,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q0J29UQR,Hope,6171,0,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T073641.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6144,1,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92LC0UPP,YT_SMARTLIFECR,6084,0,#2C0LVR9P,Pivots Family,16000109,Rocket,11,11,Zap,13,13,Royal Giant,13,13,Goblin Gang,13,13,Furnace,11,11,Minions,13,13,Valkyrie,11,11,Musketeer,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T055637.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6118,1,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RGU9CR,» Keiser ^_^,6082,0,#9VCLLQCV,Dark Gaming,16000028,Barbarians,13,13,Tornado,8,8,Royal Giant,13,13,Mega Minion,11,11,Fireball,11,11,Furnace,11,11,Ice Wizard,5,5,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T021946.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9GGUCV0U,<c2>0es3｜幻听,6095,1,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G2PU9VRJ,Emilio251,6022,0,#9YJ228YL,Mkers DE,16000144,Giant,11,11,Mega Minion,11,11,Night Witch,5,5,Electro Wizard,5,5,Baby Dragon,8,8,Dark Prince,8,8,Lightning,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
