type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarWarDay,20191010T230625.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#9JRQV929,W. Z. X.,6384,2,#29YY8L89,娱乐至上,16000128,Ram Rider,4,5,P.E.K.K.A,7,8,Bandit,4,5,Baby Dragon,7,8,Lightning,7,8,The Log,4,5,Skeletons,12,13,Hunter,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#880JJ0L8R,Zodinelic,4957,0,#2GQVJQ9P,#Light Legion#,16000164,Giant,10,11,Witch,6,8,Poison,7,8,Fisherman,2,5,Earthquake,9,11,Skeletons,11,13,Fire Spirits,12,13,Hunter,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T191937.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6360,2,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGC80VLQ,BS I ⚜️Mati⚜️,6291,1,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T191526.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6338,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GUQ0LC9,HİRAŞİMO ALPER™,6252,0,#9P2J2Q0P,DEVLET-İ ALİYYE,16000030,Wall Breakers,8,8,Miner,5,5,Mega Knight,5,5,Witch,8,8,Fisherman,5,5,Night Witch,5,5,Poison,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T190817.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6315,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#800CP8CLU,monkees,6242,0,#90RJPCUU,WHAM! eSports,16000156,Golem,8,8,Night Witch,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Mega Minion,11,11,Baby Dragon,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T190402.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6357,0,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP0Q8LUQ,CrimsixRoyale,6206,1,#L2QQ8CRQ,CrimsixRoyale,16000159,Clone,8,8,Witch,8,8,Skeleton Barrel,12,13,Cannon Cart,8,8,Tornado,8,8,Furnace,11,11,Giant Skeleton,8,8,Baby Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T185639.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6332,3,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RLRCG28,⚡FCB DAMN⚡,6277,1,#YVPQV8V,CSL1,16000142,Mega Knight,5,5,Balloon,8,8,Inferno Dragon,5,5,Witch,8,8,Fireball,11,11,Zap,13,13,Freeze,8,8,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T185156.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6366,0,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LPRR9P,RUBÉN,6309,1,#PUG9L9YC,★Toxicity City★,16000024,Rascals,13,13,The Log,5,5,Goblin Barrel,8,8,Valkyrie,11,11,Wall Breakers,8,8,Goblin Gang,13,13,Princess,4,5,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T182626.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6366,0,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UL0JU92V,Bat Ivko,6308,0,#8QQUCUQY,BulgarianGang™,16000026,Zap,13,13,Minions,13,13,Battle Ram,11,11,Poison,8,8,P.E.K.K.A,8,8,Fisherman,5,5,Royal Ghost,5,5,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T175003.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6341,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80QGLCCU,King of Clash,6284,0,#L09LP,German-Stars,16000043,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T173604.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6312,2,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6309,1,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T172750.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6289,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U0L2CRL,<c6>Tux,6210,0,#JRJPG9,CRO-PRO,16000044,Giant Skeleton,8,8,Hog Rider,11,11,Tornado,8,8,Knight,13,13,Ice Wizard,5,5,Fireball,11,11,The Log,5,5,Electro Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T171700.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6269,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RRVCUUGQ,NR I Riku⚡️,6156,0,#PRYRLGJQ,Nexus Lance,16000043,Dart Goblin,11,11,Ice Spirit,13,13,Goblin Barrel,8,8,The Log,5,5,Tesla,13,13,Rocket,11,11,Cannon Cart,8,8,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T170755.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6235,3,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8YVUVL9,EvL✨Daniel™,6289,0,#92P0982J,MG Stars FLY,16000022,Baby Dragon,8,8,Barbarian Barrel,8,8,Golem,8,8,Mega Minion,11,11,Tornado,8,8,Lightning,8,8,Lumberjack,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T144224.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6207,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQJ9UUP,~Lorenzo~,6184,0,#8YVV9YUR,Veterans Élite™,16000036,Giant,11,11,Witch,8,8,The Log,5,5,Fireball,11,11,Miner,5,5,Minion Horde,13,13,Minions,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T143656.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6183,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QL2000Q,malihi,6123,0,#28GJJUQ,Electro,16000010,Freeze,8,8,Mini P.E.K.K.A,11,11,Valkyrie,11,11,Baby Dragon,8,8,Zap,13,13,Wizard,11,11,Musketeer,11,11,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T143238.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6156,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22P8C9QU,HUBI,6131,0,#9QV8U88P,CGN-Legends,16000076,Fireball,11,11,Zap,13,13,Minion Horde,13,13,Minions,13,13,Miner,5,5,The Log,5,5,Witch,8,8,Giant,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T142819.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6189,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80VC2RJ0P,IzzyC,6148,2,#892Y8VQ,BSB,16000058,Witch,8,8,Golem,8,8,The Log,5,5,Zap,13,13,Mega Minion,11,11,Goblin Gang,13,13,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T142000.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6150,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPUCPVC8,şadov prov,6268,0,#2022C0V8,BORDOBERELİLER,16000030,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T131408.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9JRQV929,W. Z. X.,6115,1,#29YY8L89,娱乐至上,16000128,P.E.K.K.A,8,8,Royal Ghost,5,5,Zap,13,13,Bandit,5,5,Minions,13,13,Battle Ram,11,11,Poison,8,8,Electro Wizard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YQYPV0C,klose18,6176,0,#9LLL2URJ,Sandstorm EGY,16000097,Ice Golem,11,11,Barbarian Barrel,8,8,Giant Snowball,13,13,Ram Rider,5,5,Bandit,5,5,Inferno Dragon,5,5,Magic Archer,5,5,Lumberjack,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
