type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T120736.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9PC8G0P02,パコリズム,6224,1,#8VCVPC28,StarAlliance JP,16000040,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Electro Wizard,5,5,Mega Minion,11,11,Poison,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q0J29UQR,Hope,6247,0,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T115837.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9PC8G0P02,パコリズム,6197,3,#8VCVPC28,StarAlliance JP,16000040,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Electro Wizard,5,5,Mega Minion,11,11,Poison,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2GQLGGU,Sevan,6173,1,#990QRV2L,Ðimension Y,16000023,Hog Rider,11,11,Executioner,8,8,Tornado,8,8,Rocket,11,11,Valkyrie,11,11,Goblins,13,13,Ice Spirit,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T115319.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9PC8G0P02,パコリズム,6177,1,#8VCVPC28,StarAlliance JP,16000040,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Electro Wizard,5,5,Mega Minion,11,11,Poison,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R9P8JV2C,RengoIsGod™️✨,6065,0,#PR2JR22Q,OGRengo™️,16000002,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Guards,8,8,Baby Dragon,8,8,Valkyrie,11,11,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114832.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9PC8G0P02,パコリズム,6205,0,#8VCVPC28,StarAlliance JP,16000040,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Minion Horde,13,13,Wizard,11,11,Elixir Collector,10,11,Rage,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89Y8RVLY,娱乐至上,6220,3,#29YY8L89,娱乐至上,16000128,Goblin Cage,11,11,Mega Knight,5,5,Bats,13,13,Skeleton Army,8,8,Witch,8,8,Wall Breakers,8,8,Goblin Barrel,8,8,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T114505.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9PC8G0P02,パコリズム,6237,0,#8VCVPC28,StarAlliance JP,16000040,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Minion Horde,13,13,Wizard,11,11,Elixir Collector,10,11,Rage,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8G2JCQ0Q2,Nakakata,6204,1,#PLGVJC8P,GLI SVINCOLATI,16000167,Electro Wizard,5,5,Musketeer,11,11,Giant Skeleton,8,8,Ice Spirit,13,13,Guards,8,8,Arrows,13,13,The Log,5,5,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T113450.000Z,65000001,54000037,Legendary Arena,72000010,Challenge,0,collection,#9PC8G0P02,パコリズム,6237,1,#8VCVPC28,StarAlliance JP,16000040,Giant,7,11,Graveyard,1,5,Giant Snowball,9,13,Arrows,9,13,Skeleton Army,4,8,Goblin Gang,9,13,Spear Goblins,9,13,Bats,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G9R0Q80L,biondo,5128,0,#2GUVGVJG,ArchiOscuri,16000081,Golem,4,8,Baby Dragon,4,8,Barbarian Barrel,4,8,Dark Prince,4,8,Lightning,4,8,Mini P.E.K.K.A,7,11,Furnace,7,11,Mega Minion,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T110928.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9PC8G0P02,パコリズム,6215,3,#8VCVPC28,StarAlliance JP,16000040,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Minion Horde,13,13,Wizard,11,11,Elixir Collector,10,11,Rage,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8RQ9UGP,MA Lauti Durán,6124,0,#922PLLQR,Mafia Argenta™,16000043,Mortar,13,13,Minion Horde,13,13,Miner,5,5,The Log,4,5,Knight,13,13,Goblin Gang,13,13,Witch,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T105250.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#9PC8G0P02,パコリズム,6215,1,#8VCVPC28,StarAlliance JP,16000040,Witch,4,8,Barbarian Barrel,4,8,Goblin Hut,7,11,Fire Spirits,9,13,Valkyrie,7,11,Goblin Barrel,4,8,Magic Archer,1,5,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P0GV0U80,mahong,5250,0,#GVGLUV2,Medan Chinese,16000125,Goblin Gang,9,13,Executioner,4,8,Wall Breakers,4,8,Elixir Golem,7,11,Ice Golem,7,11,Tombstone,7,11,Giant Snowball,9,13,Inferno Dragon,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191011T104746.000Z,,54000037,Legendary Arena,72000005,DraftMode,,draft,#9PC8G0P02,パコリズム,6215,2,#8VCVPC28,StarAlliance JP,16000040,Bandit,1,5,The Log,1,5,Royal Giant,9,13,Magic Archer,1,5,Skeleton Barrel,9,13,Musketeer,7,11,Ice Spirit,9,13,Bomb Tower,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YV8VYG0P,Mohamed Magdy,5829,1,#9GP8C2Y0,EgY DeALeRs,16000028,Witch,4,8,Goblins,9,13,Electro Dragon,4,8,Giant,7,11,Wizard,7,11,Valkyrie,7,11,Lightning,4,8,Ice Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T104311.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#9PC8G0P02,パコリズム,6215,2,#8VCVPC28,StarAlliance JP,16000040,Goblin Gang,9,13,Giant Snowball,9,13,Miner,1,5,Mini P.E.K.K.A,7,11,Wizard,7,11,Hunter,4,8,Elixir Golem,7,11,Ice Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJ88GJJRC,大哈,4631,0,#2RC2QGRQ,叼字嘴边一把刀！真叼！,16000142,Night Witch,1,5,Lava Hound,1,5,Musketeer,7,11,Inferno Dragon,1,5,Cannon,9,13,Royal Hogs,7,11,Earthquake,7,11,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T103935.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#9PC8G0P02,パコリズム,6215,0,#8VCVPC28,StarAlliance JP,16000040,Prince,4,8,Wall Breakers,4,8,Barbarian Barrel,4,8,Royal Recruits,9,13,Princess,1,5,Wizard,7,11,Ice Spirit,9,13,Ice Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Y9QRC8VC,ABREUMER,5012,2,#829U9JQ,Kegeltruppe,16000152,Baby Dragon,4,8,Goblin Gang,9,13,Mega Minion,7,11,Royal Ghost,1,5,Elixir Golem,7,11,Arrows,9,13,Graveyard,1,5,Goblin Cage,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T103604.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#9PC8G0P02,パコリズム,6215,3,#8VCVPC28,StarAlliance JP,16000040,Electro Wizard,1,5,Lava Hound,1,5,Giant Snowball,9,13,Mega Knight,1,5,Royal Giant,9,13,Minions,9,13,Goblins,9,13,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8J8C8UR8,Rko,4589,0,#Y0VGQGJV,木叶村,16000002,Dart Goblin,7,11,Guards,4,8,Musketeer,7,11,Skeleton Barrel,9,13,Witch,4,8,The Log,1,5,Elixir Golem,7,11,Flying Machine,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T103229.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#9PC8G0P02,パコリズム,6215,2,#8VCVPC28,StarAlliance JP,16000040,Knight,9,13,Giant Snowball,9,13,Electro Wizard,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Ice Spirit,9,13,Royal Giant,9,13,Bomb Tower,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GCQYQR0,Gandalf el Gris,4922,0,#8C9QJJRV,El Raton Gris,16000124,Goblin Cage,7,11,Giant,7,11,Spear Goblins,9,13,Elixir Golem,7,11,Tornado,4,8,Minions,9,13,Fireball,7,11,Goblin Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T102845.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#9PC8G0P02,パコリズム,6215,2,#8VCVPC28,StarAlliance JP,16000040,Electro Dragon,4,8,Dark Prince,4,8,Giant Snowball,9,13,Minions,9,13,Ice Wizard,1,5,Ice Spirit,9,13,Ram Rider,1,5,Knight,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JPPCP8C9,Erik,4942,1,#P29U98P,Rostock,16000077,Elixir Golem,7,11,Battle Ram,7,11,Bats,9,13,Executioner,4,8,Fire Spirits,9,13,Earthquake,7,11,Goblin Gang,9,13,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T102509.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#9PC8G0P02,パコリズム,6215,1,#8VCVPC28,StarAlliance JP,16000040,Arrows,9,13,The Log,1,5,Skeleton Army,4,8,Royal Giant,9,13,Elixir Golem,7,11,Inferno Dragon,1,5,Minion Horde,9,13,Guards,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UJ9VP98,PopCorn,5146,3,#2CJ2PYQL,Les Génies,16000078,Bomber,9,13,Executioner,4,8,Wizard,7,11,Lava Hound,1,5,Graveyard,1,5,Minions,9,13,Rocket,7,11,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T101836.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#9PC8G0P02,パコリズム,6215,3,#8VCVPC28,StarAlliance JP,16000040,Zap,9,13,Ice Golem,7,11,Prince,4,8,Valkyrie,7,11,Flying Machine,7,11,Skeletons,9,13,Graveyard,1,5,Dart Goblin,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V2RLQP22,看透别说透,5241,0,#9GJY800V,80.90【水瓶营】,16000077,Zappies,7,11,Balloon,4,8,Minions,9,13,Witch,4,8,Elixir Golem,7,11,Goblin Cage,7,11,Ice Spirit,9,13,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T101518.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#9PC8G0P02,パコリズム,6215,1,#8VCVPC28,StarAlliance JP,16000040,Goblin Barrel,4,8,Knight,9,13,Minions,9,13,Lightning,4,8,Spear Goblins,9,13,Arrows,9,13,Elite Barbarians,9,13,Mortar,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVV2CJVVC,Tom dicc,4622,2,#PJ9QL2RQ,Rebels⚡Academy,16000077,Furnace,7,11,Hunter,4,8,Poison,4,8,Skeleton Army,4,8,Rocket,7,11,Flying Machine,7,11,Elixir Golem,7,11,Graveyard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T101102.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#9PC8G0P02,パコリズム,6215,1,#8VCVPC28,StarAlliance JP,16000040,Balloon,4,8,Valkyrie,7,11,Zap,9,13,Poison,4,8,Minion Horde,9,13,Ice Spirit,9,13,Royal Giant,9,13,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PCJVGCCQ,Edi,5006,3,#20CRUGC,Royal Arad,16000142,Goblins,9,13,Elixir Golem,7,11,Spear Goblins,9,13,Executioner,4,8,Earthquake,7,11,Rocket,7,11,Knight,9,13,Goblin Giant,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T100658.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#9PC8G0P02,パコリズム,6215,3,#8VCVPC28,StarAlliance JP,16000040,Baby Dragon,4,8,Minions,9,13,Battle Ram,7,11,Mini P.E.K.K.A,7,11,Minion Horde,9,13,Arrows,9,13,Lightning,4,8,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJCYPGQUP,*Any•¥¥¥*,3303,0,#Y9Y8YQGG,Dragon knight,16000019,Royal Giant,9,13,Giant Snowball,9,13,The Log,1,5,Electro Wizard,1,5,Ice Golem,7,11,Hog Rider,7,11,Ice Spirit,9,13,Wizard,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T100319.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#9PC8G0P02,パコリズム,6215,2,#8VCVPC28,StarAlliance JP,16000040,Skeleton Army,4,8,Poison,4,8,Electro Wizard,1,5,Graveyard,1,5,Flying Machine,7,11,Royal Ghost,1,5,Guards,4,8,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99R8CJCQQ,天蝎1021,4971,1,#G9VRJCC,云想之城,16000008,Lava Hound,1,5,Goblin Gang,9,13,Magic Archer,1,5,Dark Prince,4,8,Skeleton Barrel,9,13,Hunter,4,8,Earthquake,7,11,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T095907.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,6,draft,#9PC8G0P02,パコリズム,6215,2,#8VCVPC28,StarAlliance JP,16000040,Bats,9,13,The Log,1,5,Arrows,9,13,X-Bow,4,8,Goblin Cage,7,11,Giant,7,11,Elixir Golem,7,11,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RJY09QYP,峰哥,4928,1,#CUJYGGL,紫禁之巅-承影,16000144,Minions,9,13,Golem,4,8,Wall Breakers,4,8,Barbarian Hut,7,11,Mortar,9,13,Rocket,7,11,Zap,9,13,Dart Goblin,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T095509.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,6,draft,#9PC8G0P02,パコリズム,6215,1,#8VCVPC28,StarAlliance JP,16000040,Goblin Hut,7,11,Hog Rider,7,11,Poison,4,8,Miner,1,5,Valkyrie,7,11,Minions,9,13,Dart Goblin,7,11,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GLY2J2YR,Iliyar,4827,2,#YVVRVY,Persian knights,16000153,Fire Spirits,9,13,Spear Goblins,9,13,Wizard,7,11,Bomber,9,13,Elixir Golem,7,11,Fireball,7,11,Royal Hogs,7,11,Elixir Collector,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T092340.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9PC8G0P02,パコリズム,6189,3,#8VCVPC28,StarAlliance JP,16000040,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Electro Wizard,5,5,Mega Minion,11,11,Poison,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6146,1,#80U8GYY,ابطال الشمال,16000030,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T090831.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9PC8G0P02,パコリズム,6166,2,#8VCVPC28,StarAlliance JP,16000040,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Electro Wizard,5,5,Mega Minion,11,11,Poison,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80VCLRVG,ゆーぽん,6095,0,#90C80CLC,私のザップをお舐め,16000108,Witch,8,8,Baby Dragon,8,8,Graveyard,5,5,Poison,8,8,Wall Breakers,8,8,Valkyrie,11,11,Ice Golem,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T090014.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,5,draft,#9PC8G0P02,パコリズム,6166,2,#8VCVPC28,StarAlliance JP,16000040,Royal Giant,9,13,Miner,1,5,Balloon,4,8,Bats,9,13,Barbarian Barrel,4,8,Tornado,4,8,Musketeer,7,11,Skeleton Army,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99P00JPQC,Avi,4919,1,#2RLV2YCU,INJUSTICE,16000059,Goblin Gang,9,13,Princess,1,5,Fireball,7,11,Arrows,9,13,Ice Golem,7,11,Goblin Giant,4,8,Knight,9,13,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
