type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T135250.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9PJ8YL8VY,DARIIUZ,6206,1,#YGVCCPUL,3Rules Gaming,16000020,Ice Spirit,13,13,Giant,11,11,Sparky,5,5,Spear Goblins,13,13,Fireball,11,11,Bats,13,13,Zap,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UP9Y8UR,⚜️CoDeMaGic⚜️,6214,0,#L99CY2P,!RoyalKing! 2,16000029,Furnace,11,11,Mega Minion,11,11,Tornado,8,8,Ice Golem,11,11,Witch,8,8,Graveyard,5,5,Barbarian Barrel,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134446.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#9PJ8YL8VY,DARIIUZ,6206,3,#YGVCCPUL,3Rules Gaming,16000020,Ram Rider,1,5,Rocket,7,11,Minion Horde,9,13,Goblin Gang,9,13,Elixir Golem,7,11,Mega Minion,7,11,Lumberjack,1,5,Dark Prince,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C282UQCV,氢气球,4977,0,#88V92PYL,上海,16000106,Magic Archer,1,5,Ice Wizard,1,5,Goblin Barrel,4,8,Golem,4,8,Skeleton Army,4,8,Musketeer,7,11,Zap,9,13,Royal Hogs,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134204.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#9PJ8YL8VY,DARIIUZ,6206,3,#YGVCCPUL,3Rules Gaming,16000020,Giant Snowball,9,13,Magic Archer,1,5,Dark Prince,4,8,Royal Giant,9,13,Guards,4,8,Elixir Golem,7,11,Freeze,4,8,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYU9GJ9P,cuki_kush,5278,1,#P2U8Q0,GLI SBALLONI,16000032,Minions,9,13,Poison,4,8,Golem,4,8,Skeleton Army,4,8,Skeleton Barrel,9,13,Minion Horde,9,13,Ice Wizard,1,5,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T133840.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#9PJ8YL8VY,DARIIUZ,6206,3,#YGVCCPUL,3Rules Gaming,16000020,Ram Rider,1,5,Elite Barbarians,9,13,Elixir Golem,7,11,Minion Horde,9,13,Princess,1,5,Goblins,9,13,The Log,1,5,Barbarian Hut,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P2Y8RGP98,TheBomber,4705,0,#YULRJUGC,Ace ♠️f spades,16000077,Mortar,9,13,Fireball,7,11,Spear Goblins,9,13,Magic Archer,1,5,Ice Wizard,1,5,Giant,7,11,Inferno Tower,7,11,Royal Giant,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T133525.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#9PJ8YL8VY,DARIIUZ,6206,2,#YGVCCPUL,3Rules Gaming,16000020,Miner,1,5,Elixir Golem,7,11,Magic Archer,1,5,The Log,1,5,Bandit,1,5,Electro Dragon,4,8,Fire Spirits,9,13,Royal Ghost,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCUVVQP,Nagibator,4969,1,#90JG2R,СНГ,16000028,Ice Wizard,1,5,Skeletons,9,13,Bowler,4,8,Skeleton Army,4,8,Zap,9,13,Zappies,7,11,Lava Hound,1,5,Hog Rider,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T133127.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#9PJ8YL8VY,DARIIUZ,6206,3,#YGVCCPUL,3Rules Gaming,16000020,Hunter,4,8,Rocket,7,11,Elixir Golem,7,11,Magic Archer,1,5,Ram Rider,1,5,Royal Ghost,1,5,Lumberjack,1,5,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PU9R802R8,yr,4721,1,#9CV92J,Blazers,16000035,Ice Golem,7,11,Princess,1,5,Dark Prince,4,8,Battle Ram,7,11,Spear Goblins,9,13,Miner,1,5,Giant Snowball,9,13,Minion Horde,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T132826.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#9PJ8YL8VY,DARIIUZ,6206,1,#YGVCCPUL,3Rules Gaming,16000020,Rocket,7,11,Lumberjack,1,5,Goblins,9,13,Hunter,4,8,Giant Snowball,9,13,Ice Spirit,9,13,Wall Breakers,4,8,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YLCULGJ89,有毒,4650,2,#90YLRLUC,忍宗,16000121,Rascals,9,13,Royal Giant,9,13,Skeleton Army,4,8,Poison,4,8,Zappies,7,11,Skeletons,9,13,Elite Barbarians,9,13,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T132449.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#9PJ8YL8VY,DARIIUZ,6206,3,#YGVCCPUL,3Rules Gaming,16000020,Witch,4,8,Fireball,7,11,Executioner,4,8,Minions,9,13,Royal Giant,9,13,Battle Ram,7,11,Ice Golem,7,11,Tornado,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YR8Q9U09G,im wolf,4336,1,#9JQJL9UY,IRAN GODS,16000111,Zap,9,13,Miner,1,5,Ram Rider,1,5,Elixir Golem,7,11,Spear Goblins,9,13,Dark Prince,4,8,Earthquake,7,11,Minion Horde,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T132147.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#9PJ8YL8VY,DARIIUZ,6206,2,#YGVCCPUL,3Rules Gaming,16000020,Rascals,9,13,Lumberjack,1,5,Rocket,7,11,Musketeer,7,11,Royal Giant,9,13,Elixir Collector,7,11,Ice Golem,7,11,Lava Hound,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U8JRVQU2,半阳,4441,1,#P0UQ9LQ2,志德堂,16000039,Elixir Golem,7,11,Skeleton Army,4,8,Tombstone,7,11,Royal Hogs,7,11,Mega Minion,7,11,Giant Snowball,9,13,Elite Barbarians,9,13,Knight,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T131754.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#9PJ8YL8VY,DARIIUZ,6206,3,#YGVCCPUL,3Rules Gaming,16000020,Dark Prince,4,8,Prince,4,8,Goblin Giant,4,8,Minions,9,13,Spear Goblins,9,13,Ice Golem,7,11,Earthquake,7,11,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UUPR2GPL,vitor vp 12,5019,1,#PCGYQJQG,NOVA I FRIENDS,16000005,Lava Hound,1,5,Lightning,4,8,Skeleton Army,4,8,Zappies,7,11,Knight,9,13,Goblin Barrel,4,8,Mortar,9,13,Bandit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
