type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanWarWarDay,20191010T104716.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#9Q0J29UQR,Hope,6169,3,#YJ8LQV22,飞雪连天射白鹿,16000043,Royal Giant,12,13,Witch,8,8,Royal Ghost,4,5,Spear Goblins,12,13,Goblin Gang,11,13,Arrows,11,13,Lightning,7,8,Bats,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JC9LVY9P,mad_Lance,4549,0,#V0VV,Hokie Alumni,16000097,Inferno Dragon,2,5,Fireball,8,11,Bandit,2,5,P.E.K.K.A,4,8,Witch,5,8,Musketeer,7,11,Archers,10,13,Mortar,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarWarDay,20191010T104555.000Z,,54000037,Legendary Arena,72000066,Showdown_Ladder,,collection,#9Q0J29UQR,Hope,6169,3,#YJ8LQV22,飞雪连天射白鹿,16000043,Royal Giant,12,13,Witch,8,8,Royal Ghost,4,5,Spear Goblins,12,13,Goblin Gang,11,13,Arrows,11,13,Lightning,7,8,Bats,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C0V82Y,椎名林檎,5233,1,#P0PCR2CU,日本リンゴ協会Ⅱ,16000008,Balloon,7,8,Giant,9,11,Flying Machine,10,11,Barbarian Barrel,7,8,Fireball,8,11,Miner,1,5,Arrows,12,13,Barbarians,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T085909.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9Q0J29UQR,Hope,6141,1,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R020P,FENOFINALFORM⚡☠,6126,0,#YPPJ0VJP,QLASH Restart,16000123,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T085413.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9Q0J29UQR,Hope,6171,0,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GGUCV0U,<c2>0es3｜幻听,6168,1,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T084420.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9Q0J29UQR,Hope,6148,2,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8G2CJYQV,☆Mogun I Kwon☆,6077,0,#PGPV0GG,잎새,16000170,Wall Breakers,8,8,Inferno Tower,11,11,Miner,5,5,Bats,13,13,Ice Golem,11,11,Skeletons,13,13,The Log,5,5,Dart Goblin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T040134.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9Q0J29UQR,Hope,6123,2,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VC0JV20L,I’m Edwin :),6074,1,#YVPQV8V,CSL1,16000142,Giant,11,11,Sparky,5,5,Zap,13,13,Dark Prince,8,8,Minions,13,13,Minion Horde,13,13,Elixir Collector,11,11,Bandit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T031419.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9Q0J29UQR,Hope,6092,1,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#282G0QUU9,Stif Master ☮,6109,0,#98Q208LY,Ñ-15 Stars,16000044,Zap,13,13,Spear Goblins,13,13,Knight,13,13,Barbarians,13,13,Musketeer,11,11,Fireball,11,11,Hog Rider,11,11,Goblin Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T031054.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9Q0J29UQR,Hope,6118,0,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPRU2YG,PoKéMoN,6162,1,#PVJ0PYQL,Bags Clan,16000162,P.E.K.K.A,8,8,Poison,8,8,Fisherman,4,5,Royal Ghost,5,5,Giant Snowball,13,13,Electro Wizard,5,5,Battle Ram,11,11,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T030525.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9Q0J29UQR,Hope,6139,0,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VC0JJ9,RHVR17,6237,1,#PJLJQPJC,@RHVR17,16000152,Princess,5,5,The Log,5,5,Rocket,11,11,Goblin Barrel,8,8,Inferno Tower,11,11,Knight,13,13,Goblin Gang,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T010649.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9Q0J29UQR,Hope,6102,2,#YJ8LQV22,飞雪连天射白鹿,16000043,Giant,11,11,Dark Prince,8,8,Witch,8,8,Lightning,8,8,Zap,13,13,Bats,13,13,Spear Goblins,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJYCYJJ,graveyardfam,6188,0,#PR0ULURG,gy coaching,16000029,Witch,8,8,Baby Dragon,8,8,Tornado,8,8,Skeletons,13,13,Giant Skeleton,8,8,Ice Wizard,5,5,Graveyard,5,5,Freeze,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
