type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T142156.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6317,1,#YVULGPVL,Noble to Global,16000144,Miner,5,5,Executioner,8,8,The Log,5,5,Valkyrie,11,11,Tornado,8,8,Goblin Cage,11,11,Poison,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U2YRQ2J,BK MariusV1,6226,0,#8VG2C9CJ,Nova FrenchArmy,16000044,Inferno Dragon,5,5,Goblin Cage,11,11,Poison,8,8,Barbarian Barrel,8,8,Graveyard,5,5,Magic Archer,5,5,Ice Golem,11,11,Dark Prince,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T141438.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6352,1,#YVULGPVL,Noble to Global,16000144,Miner,5,5,Executioner,8,8,The Log,5,5,Valkyrie,11,11,Tornado,8,8,Goblin Cage,11,11,Poison,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPUCPVC8,şadov prov,6290,2,#2022C0V8,BORDOBERELİLER,16000030,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140656.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6333,1,#YVULGPVL,Noble to Global,16000144,Miner,5,5,Executioner,8,8,The Log,5,5,Valkyrie,11,11,Tornado,8,8,Goblin Cage,11,11,Poison,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J8GGGGY9,Arpin,6200,0,#PQQC8CU2,⭐INDONESIA⭐,16000173,Royal Giant,13,13,Executioner,8,8,Tornado,8,8,Lightning,8,8,Barbarian Barrel,8,8,Goblin Gang,13,13,Mega Minion,11,11,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T140107.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6357,0,#YVULGPVL,Noble to Global,16000144,Miner,5,5,Executioner,8,8,The Log,5,5,Valkyrie,11,11,Tornado,8,8,Goblin Cage,11,11,Poison,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6424,1,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T115629.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,2,draft,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6357,2,#YVULGPVL,Noble to Global,16000144,Archers,9,13,Mortar,9,13,Ram Rider,1,5,Flying Machine,7,11,Ice Spirit,9,13,Earthquake,7,11,Elixir Golem,7,11,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9VYYC9C,잘생긴성준이,4722,1,#8G9R8YUL,Athena,16000126,Spear Goblins,9,13,Giant,7,11,Rocket,7,11,Ice Golem,7,11,Bowler,4,8,Balloon,4,8,Elite Barbarians,9,13,Electro Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T112840.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6339,1,#YVULGPVL,Noble to Global,16000144,Miner,5,5,Executioner,8,8,The Log,5,5,Valkyrie,11,11,Tornado,8,8,Goblin Cage,11,11,Poison,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J9VV9,coco,6195,0,#82UV9LV,Ad Vitam,16000040,Rocket,11,11,Miner,5,5,Minion Horde,13,13,Poison,8,8,The Log,4,5,Furnace,11,11,Goblin Gang,13,13,Valkyrie,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T104353.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,1,draft,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6339,2,#YVULGPVL,Noble to Global,16000144,Royal Giant,9,13,Goblin Barrel,4,8,Dart Goblin,7,11,Goblin Gang,9,13,Electro Dragon,4,8,Bomber,9,13,Ice Spirit,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GPUYY9G8,pedro,5021,1,#CJG,Elite4Fun,16000058,Barbarian Barrel,4,8,Goblins,9,13,Hunter,4,8,Magic Archer,1,5,Skeletons,9,13,Mega Minion,7,11,Battle Ram,7,11,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T104012.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,0,draft,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6339,1,#YVULGPVL,Noble to Global,16000144,Valkyrie,7,11,Skeleton Army,4,8,The Log,1,5,Executioner,4,8,Mega Minion,7,11,Zappies,7,11,Elixir Golem,7,11,Goblin Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YC98CCC,祺祺,4466,0,#9CR9YJGR,三冲部落（养老院）,16000010,Royal Giant,9,13,Ice Golem,7,11,Dart Goblin,7,11,Musketeer,7,11,Prince,4,8,Earthquake,7,11,Spear Goblins,9,13,Knight,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T082457.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6311,2,#YVULGPVL,Noble to Global,16000144,Miner,5,5,Executioner,8,8,The Log,5,5,Valkyrie,11,11,Tornado,8,8,Goblin Cage,11,11,Poison,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6297,1,#80U8GYY,ابطال الشمال,16000030,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T071206.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6285,1,#YVULGPVL,Noble to Global,16000144,Miner,5,5,Executioner,8,8,The Log,5,5,Valkyrie,11,11,Tornado,8,8,Goblin Cage,11,11,Poison,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L0GRCL02,OPTİMUM//SKY,6249,0,#C022RVV,SKY//TÜRK,16000003,Baby Dragon,8,8,Poison,8,8,Golem,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Zap,13,13,Night Witch,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
