type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T081835.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#9VC0JJ9,RHVR17,6185,3,#9R08LY28,SbY eSports,16000166,Witch,4,8,Cannon Cart,4,8,Poison,4,8,Earthquake,7,11,Elixir Collector,7,11,Goblin Giant,4,8,Ice Golem,7,11,Minions,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#982R9L9P9,一个兔子,4331,0,#8UCCQCPP,冰封之城,16000168,Goblin Gang,9,13,Elixir Golem,7,11,Royal Hogs,7,11,X-Bow,4,8,Arrows,9,13,The Log,1,5,Flying Machine,7,11,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T081540.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#9VC0JJ9,RHVR17,6185,1,#9R08LY28,SbY eSports,16000166,Goblin Cage,7,11,Dark Prince,4,8,Goblin Giant,4,8,Ice Wizard,1,5,Elixir Golem,7,11,Zap,9,13,Wizard,7,11,Ice Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P2LCUPU,Bryaant,6132,0,#PVJ0PYQL,Bags Clan,16000162,Skeletons,9,13,Witch,4,8,Lightning,4,8,Knight,9,13,Bats,9,13,Skeleton Barrel,9,13,Bowler,4,8,Baby Dragon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T081154.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#9VC0JJ9,RHVR17,6185,1,#9R08LY28,SbY eSports,16000166,Fireball,7,11,Goblin Cage,7,11,Mini P.E.K.K.A,7,11,Wall Breakers,4,8,Bandit,1,5,Spear Goblins,9,13,Witch,4,8,Elixir Golem,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2C0CCGV,xQz-Me,5222,0,#QUQ8R8R,Royale Pirates,16000028,Rascals,9,13,Executioner,4,8,Minions,9,13,X-Bow,4,8,Graveyard,1,5,Cannon Cart,4,8,Dark Prince,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T080817.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#9VC0JJ9,RHVR17,6185,1,#9R08LY28,SbY eSports,16000166,Giant,7,11,Elixir Golem,7,11,Hunter,4,8,Skeletons,9,13,Ice Spirit,9,13,Rocket,7,11,Dart Goblin,7,11,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLQ2G9L9,발렌타림,5682,2,#Q98PP8,IIAURAII,16000176,The Log,1,5,Mega Minion,7,11,Lightning,4,8,Guards,4,8,Spear Goblins,9,13,Ice Wizard,1,5,Golem,4,8,Royal Giant,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T080440.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#9VC0JJ9,RHVR17,6185,3,#9R08LY28,SbY eSports,16000166,Lightning,4,8,Royal Hogs,7,11,Dark Prince,4,8,Freeze,4,8,Goblin Barrel,4,8,Elixir Golem,7,11,Ice Wizard,1,5,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJC0VRLRU,在下头很硬,4726,0,#PGJRYJJ0,We Love Ganjah,16000075,Ice Golem,7,11,Magic Archer,1,5,Goblin Giant,4,8,Skeleton Army,4,8,Earthquake,7,11,Spear Goblins,9,13,Wall Breakers,4,8,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T080205.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#9VC0JJ9,RHVR17,6185,0,#9R08LY28,SbY eSports,16000166,Electro Dragon,4,8,Golem,4,8,Witch,4,8,The Log,1,5,Bowler,4,8,Goblin Cage,7,11,Fire Spirits,9,13,Graveyard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YQ0RJ2YG,Og Billy27,4850,1,#8GVPYJ8C,AlphaOmega™,16000127,Royal Hogs,7,11,Minions,9,13,Mortar,9,13,Wizard,7,11,Barbarian Barrel,4,8,Hunter,4,8,Elixir Golem,7,11,Dart Goblin,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T075833.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#9VC0JJ9,RHVR17,6185,3,#9R08LY28,SbY eSports,16000166,Mini P.E.K.K.A,7,11,X-Bow,4,8,Hog Rider,7,11,Bowler,4,8,Electro Wizard,1,5,Goblins,9,13,Lava Hound,1,5,Arrows,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PU0VG92LC,星光,4733,1,#UUG8JQ,King of The Gas,16000000,Lightning,4,8,Elixir Golem,7,11,Fire Spirits,9,13,Witch,4,8,Wizard,7,11,Ram Rider,1,5,Mortar,9,13,Fisherman,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T075500.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#9VC0JJ9,RHVR17,6185,1,#9R08LY28,SbY eSports,16000166,Royal Hogs,7,11,Spear Goblins,9,13,Earthquake,7,11,Royal Recruits,9,13,Mega Minion,7,11,Elite Barbarians,9,13,Dart Goblin,7,11,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#220JPQVRL,最后谱爱,4955,0,#889QQ0GL,太原super-man第三分部,16000144,Fireball,7,11,Royal Ghost,1,5,Bomb Tower,7,11,Bats,9,13,Elixir Golem,7,11,Arrows,9,13,Ice Spirit,9,13,Skeleton Barrel,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T075127.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#9VC0JJ9,RHVR17,6185,3,#9R08LY28,SbY eSports,16000166,Barbarian Hut,7,11,Dark Prince,4,8,Mega Minion,7,11,Lumberjack,1,5,Elixir Golem,7,11,Skeletons,9,13,The Log,1,5,Royal Hogs,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9J8C0U8,KaMiKaZe,5110,0,#PPLL00G0,Team Elite Perú,16000032,Ram Rider,1,5,Fireball,7,11,Goblins,9,13,Royal Recruits,9,13,Rascals,9,13,Electro Wizard,1,5,Miner,1,5,X-Bow,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T074810.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#9VC0JJ9,RHVR17,6185,1,#9R08LY28,SbY eSports,16000166,Flying Machine,7,11,Baby Dragon,4,8,Spear Goblins,9,13,Dart Goblin,7,11,Dark Prince,4,8,Zap,9,13,Lava Hound,1,5,Battle Ram,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90PR00G2,Fre sha voca do,4988,2,#2RUJGYVU,CLASH DADDYS,16000040,Giant,7,11,Elixir Golem,7,11,Barbarian Barrel,4,8,Musketeer,7,11,Zappies,7,11,Fire Spirits,9,13,Knight,9,13,Magic Archer,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
