type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191010T171239.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,6133,3,#9LLL2URJ,Sandstorm EGY,16000097,Royal Ghost,5,5,Ice Golem,11,11,Battle Ram,11,11,Fireball,11,11,Magic Archer,5,5,Lumberjack,5,5,Inferno Dragon,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UVV829PR,超サイヤ人,6080,1,#P80QPJUL,からかい上手の煽り厨,16000043,Golem,8,8,Lumberjack,5,5,Night Witch,5,5,Skeleton Army,8,8,Bomber,13,13,Mega Minion,11,11,Zap,13,13,Tornado,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T170558.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,6157,0,#9LLL2URJ,Sandstorm EGY,16000097,Royal Ghost,5,5,Ice Golem,11,11,Battle Ram,11,11,Fireball,11,11,Magic Archer,5,5,Lumberjack,5,5,Inferno Dragon,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V2GP9LC,x6 Echava,6224,1,#9P2VJL9G,x6tence Club,16000029,Ice Golem,11,11,Wall Breakers,8,8,Miner,5,5,Inferno Tower,11,11,Goblin Gang,13,13,Bats,13,13,Giant Snowball,13,13,Princess,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T164421.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,6127,1,#9LLL2URJ,Sandstorm EGY,16000097,Royal Ghost,5,5,Ice Golem,11,11,Battle Ram,11,11,Fireball,11,11,Magic Archer,5,5,Lumberjack,5,5,Inferno Dragon,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QRPRRL9L,THE KILLER™,6127,0,,,,Golem,8,8,Baby Dragon,8,8,The Log,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Witch,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T163953.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,6100,1,#9LLL2URJ,Sandstorm EGY,16000097,Royal Ghost,5,5,Ice Golem,11,11,Battle Ram,11,11,Fireball,11,11,Magic Archer,5,5,Lumberjack,5,5,Inferno Dragon,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LLQVC0VC,이지코어,6073,0,#9LPG8RJ,Hall of Fame,16000013,X-Bow,8,8,Tesla,13,13,Archers,13,13,Ice Golem,11,11,Skeletons,13,13,Ice Spirit,13,13,Fireball,11,11,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T162534.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,6070,1,#9LLL2URJ,Sandstorm EGY,16000097,Royal Ghost,5,5,Ice Golem,11,11,Battle Ram,11,11,Fireball,11,11,Magic Archer,5,5,Lumberjack,5,5,Inferno Dragon,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRL9VLGJ,Lord Ramsay,6080,0,#80QJQJJ,House Stark,16000014,Rage,8,8,Sparky,5,5,Valkyrie,11,11,Skeleton Army,8,8,Fireball,11,11,Giant,11,11,Wizard,11,11,Witch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T162127.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,6038,1,#9LLL2URJ,Sandstorm EGY,16000097,Royal Ghost,5,5,Ice Golem,11,11,Battle Ram,11,11,Fireball,11,11,Magic Archer,5,5,Lumberjack,5,5,Inferno Dragon,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QPP2UCC,nicolas,6062,0,#8VG2C9CJ,Nova FrenchArmy,16000044,Mortar,13,13,Miner,5,5,Bats,13,13,The Log,5,5,Valkyrie,11,11,Musketeer,11,11,Poison,8,8,Skeletons,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T161712.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,6001,2,#9LLL2URJ,Sandstorm EGY,16000097,Royal Ghost,5,5,Ice Golem,11,11,Battle Ram,11,11,Fireball,11,11,Magic Archer,5,5,Lumberjack,5,5,Inferno Dragon,5,5,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V0QCQUCL,⭐️♥️Moudji♥️⭐️,6088,1,#82UV9LV,Ad Vitam,16000040,Wall Breakers,8,8,Hunter,8,8,Valkyrie,11,11,Skeletons,13,13,Bats,13,13,Miner,5,5,Poison,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T160847.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,6034,1,#9LLL2URJ,Sandstorm EGY,16000097,Golem,8,8,Prince,8,8,Tornado,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,Dark Prince,8,8,Baby Dragon,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2QL9QL9,MW I ~T~,5996,3,#82V9V,Munich Warriors,16000004,Mega Knight,5,5,Bats,13,13,Fisherman,5,5,Miner,5,5,Giant Snowball,13,13,Wall Breakers,8,8,Hunter,8,8,Spear Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T160448.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,6003,3,#9LLL2URJ,Sandstorm EGY,16000097,Golem,8,8,Prince,8,8,Tornado,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,Dark Prince,8,8,Baby Dragon,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JVPQVCPL,Ragnarok,6016,0,#P08CC22J,Best of Sparta!,16000058,Golem,8,8,Lightning,8,8,Tornado,8,8,Night Witch,5,5,Baby Dragon,8,8,Mega Minion,11,11,The Log,5,5,Guards,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191010T155246.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YQYPV0C,klose18,5975,1,#9LLL2URJ,Sandstorm EGY,16000097,Golem,8,8,Prince,8,8,Tornado,8,8,Barbarian Barrel,8,8,Ice Wizard,5,5,Dark Prince,8,8,Baby Dragon,8,8,Poison,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82YRJJ0G,Tany,5960,0,#82RQ09Y9,CLASH-UNITED,16000163,Ice Wizard,5,5,Graveyard,5,5,Tombstone,11,11,Poison,8,8,Valkyrie,11,11,Tornado,8,8,Executioner,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
