type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T121405.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YUJUUQ0,FC INTER,6196,2,#2LRU2J,Crucible Wrath,16000002,Valkyrie,11,11,Fisherman,4,5,Baby Dragon,8,8,Zap,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VP0928PP,TOPboxik,6194,1,#9RCRYVRL,Трактарына,16000042,Bats,13,13,Zap,13,13,Spear Goblins,13,13,Goblin Gang,13,13,Minion Horde,13,13,Giant,11,11,Fireball,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T120736.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YUJUUQ0,FC INTER,6166,2,#2LRU2J,Crucible Wrath,16000002,Valkyrie,11,11,Fisherman,4,5,Baby Dragon,8,8,Zap,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8G2JCQ0Q2,Nakakata,6168,1,#PLGVJC8P,GLI SVINCOLATI,16000167,Electro Wizard,5,5,Musketeer,11,11,Giant Skeleton,8,8,Ice Spirit,13,13,Guards,8,8,Arrows,13,13,The Log,5,5,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T102624.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YUJUUQ0,FC INTER,6142,1,#2LRU2J,Crucible Wrath,16000002,Valkyrie,11,11,Fisherman,4,5,Baby Dragon,8,8,Zap,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#280VCGLUP,エリザベスクローキャンディ,6082,0,#LCGPL8,熱血クラロワ部,16000120,Hog Rider,11,11,Princess,5,5,Ice Golem,11,11,Rocket,11,11,Bats,13,13,Ice Spirit,13,13,Mini P.E.K.K.A,11,11,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T102107.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YUJUUQ0,FC INTER,6117,1,#2LRU2J,Crucible Wrath,16000002,Valkyrie,11,11,Fisherman,4,5,Baby Dragon,8,8,Zap,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22C9PGYQY,موج البحر,6060,0,#PLJJQ0Y9,QLASH Egypt,16000023,Sparky,5,5,Giant,11,11,Zap,13,13,Mini P.E.K.K.A,11,11,Executioner,8,8,Tornado,7,8,Goblin Gang,13,13,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T101337.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YUJUUQ0,FC INTER,6094,2,#2LRU2J,Crucible Wrath,16000002,Valkyrie,11,11,Fisherman,4,5,Baby Dragon,8,8,Zap,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VPC9RRQ,Alexis,6016,1,#P0PYC2UR,Sandstorm GER™,16000097,Ice Spirit,13,13,Skeletons,13,13,Archers,13,13,Tesla,13,13,Ice Golem,11,11,Fireball,11,11,X-Bow,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T100908.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YUJUUQ0,FC INTER,6132,0,#2LRU2J,Crucible Wrath,16000002,Valkyrie,11,11,Fisherman,4,5,Baby Dragon,8,8,Zap,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22QG9RJGP,ZINOU❤️❤️,6035,3,,,,Tornado,8,8,Baby Dragon,8,8,Mega Minion,11,11,Zap,13,13,Elixir Collector,11,11,Lumberjack,5,5,Night Witch,5,5,Golem,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T100434.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YUJUUQ0,FC INTER,6108,1,#2LRU2J,Crucible Wrath,16000002,Valkyrie,11,11,Fisherman,4,5,Baby Dragon,8,8,Zap,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22CR02L0,皇额娘,6042,0,#8U9RQ2R,上海,16000107,Sparky,5,5,Ice Spirit,13,13,Tornado,8,8,Electro Wizard,5,5,Skeleton Barrel,13,13,Giant Skeleton,8,8,Clone,8,8,Rocket,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191011T094742.000Z,,54000037,Legendary Arena,72000005,DraftMode,,draft,#9YUJUUQ0,FC INTER,6108,1,#2LRU2J,Crucible Wrath,16000002,Poison,4,8,Valkyrie,7,11,Guards,4,8,Magic Archer,1,5,Mortar,9,13,Minion Horde,9,13,Giant,7,11,Hunter,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y9C8JY0Q,JuicyInsert™,5416,0,#P99LC0GQ,Das Quartal,16000095,Barbarians,9,13,Royal Giant,9,13,Executioner,4,8,Furnace,7,11,Zappies,7,11,Goblin Gang,9,13,Knight,9,13,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191011T093809.000Z,,54000037,Legendary Arena,72000005,DraftMode,,draft,#9YUJUUQ0,FC INTER,6108,3,#2LRU2J,Crucible Wrath,16000002,Dart Goblin,7,11,Ice Wizard,1,5,Giant,7,11,Elixir Collector,7,11,Earthquake,7,11,Ice Golem,7,11,Spear Goblins,9,13,Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L228GY9Q,goldenmo,4879,0,#9L8UGR,소주,16000126,Fire Spirits,9,13,Guards,4,8,Miner,1,5,Arrows,9,13,Barbarian Hut,7,11,Skeleton Barrel,9,13,Zappies,7,11,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T093442.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#9YUJUUQ0,FC INTER,6081,2,#2LRU2J,Crucible Wrath,16000002,Valkyrie,11,11,Fisherman,4,5,Baby Dragon,8,8,Zap,13,13,Lava Hound,5,5,Inferno Dragon,5,5,Miner,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#298CUPLP2,Sapolo11,6054,1,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Sparky,5,5,Minions,13,13,Minion Horde,13,13,Barbarians,13,13,Miner,5,5,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
