type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T140107.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6424,1,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RLUQPP2,⚡ŤÃBÃÇMÃŇ⚡,6357,0,#YVULGPVL,Noble to Global,16000144,Miner,5,5,Executioner,8,8,The Log,5,5,Valkyrie,11,11,Tornado,8,8,Goblin Cage,11,11,Poison,8,8,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T131924.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6409,2,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QVGYPQ,JacoboTheHobo,6232,1,#YYGPC9,Norwegians,16000109,Golem,8,8,Zap,13,13,Dark Prince,8,8,Tornado,7,8,Baby Dragon,8,8,Witch,8,8,Poison,8,8,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T124544.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6392,1,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GGUCV0U,<c2>0es3｜幻听,6233,0,#9Q00GCVR,0es3,16000012,Mirror,8,8,Minion Horde,13,13,Princess,5,5,The Log,5,5,Skeleton Army,8,8,Goblin Barrel,8,8,Giant Skeleton,8,8,Inferno Tower,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T123053.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6374,1,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Q8R9LGUC,vahosul,6233,0,#2LYYQQ29,Russian Royale,16000134,Wall Breakers,8,8,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Inferno Tower,11,11,The Log,5,5,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T122353.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6348,1,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y82PU8V9,DEXTER,6313,0,#9LY8RVY0,DEXTER TEAM,16000107,Bandit,5,5,Lumberjack,5,5,Night Witch,5,5,Poison,8,8,Baby Dragon,8,8,Golem,8,8,Mega Minion,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T121824.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6389,0,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YGR8J2V,⚓️⚓️VICTOR⚓️⚓️,6246,1,#GYP90PL,MEGA EMPIRE,16000001,Skeleton Barrel,13,13,Clone,8,8,Giant Skeleton,8,8,Furnace,11,11,Witch,8,8,Tornado,8,8,Cannon Cart,8,8,Baby Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T120805.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6430,0,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CVUCJR2Y,Lord Joe™️,6292,1,#YYL2GJUC,女神的世界,16000111,Electro Wizard,5,5,Poison,8,8,Magic Archer,5,5,Battle Ram,11,11,P.E.K.K.A,8,8,Zap,13,13,Bandit,5,5,Royal Ghost,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T115319.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6404,1,#Y8LCJJQU,sa.arabic,16000139,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VCG2C0R,yyyy,6366,0,#2YG28L9R,EpicShockZz ❤,16000154,Bats,13,13,Bomb Tower,11,11,Dart Goblin,11,11,Ice Golem,11,11,Miner,5,5,Skeletons,13,13,The Log,5,5,Wall Breakers,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T094903.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6387,1,#P0LV0QVV,Q8Team,16000044,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#228V2P08,Dr.Andoura,6236,0,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T093510.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CC0CLGUC,☠️ ＳＨＡＤＯＷ ☠️,6370,1,#P0LV0QVV,Q8Team,16000044,Golem,8,8,Tornado,8,8,Mega Minion,11,11,Lightning,8,8,Baby Dragon,8,8,Fire Spirits,13,13,The Log,5,5,Night Witch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RUGCQRU,SHOCKTOBER,6209,0,#90RJPCUU,WHAM! eSports,16000156,Wall Breakers,8,8,Bats,13,13,The Log,5,5,Electro Wizard,5,5,Valkyrie,11,11,Inferno Tower,11,11,Poison,8,8,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
