type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20191010T122523.000Z,,54000024,Arena 11,72000023,TeamVsTeamLadder,,collection,#CVUCJR2Y,Lord Joe™️,6241,3,#YYL2GJUC,女神的世界,16000111,Knight,13,13,Witch,8,8,Baby Dragon,8,8,Skeletons,13,13,Goblin Cage,11,11,The Log,5,5,Poison,8,8,Graveyard,5,5,#8800GLP9C,GadElMalin,,3,#82VLQ90,la garde,16000078,Mega Knight,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Arrows,13,13,Witch,8,8,Musketeer,11,11,Zap,13,13,Fireball,11,11,#PR282RP2,Shadow Killer,5318,0,#8ULUJCRG,crazy drunk,16000144,Knight,13,13,Ice Spirit,13,13,Hog Rider,11,11,Guards,7,8,Tornado,7,8,Executioner,8,8,Rocket,10,11,The Log,5,5,#2Y9JYUPR,谁说我是小个子？,,0,#20JLCQL,动感小马达,16000112,The Log,5,5,Lightning,8,8,Baby Dragon,8,8,Dark Prince,8,8,Golem,8,8,Mega Minion,11,11,Electro Dragon,8,8,Tombstone,11,11
PvP,20191010T122251.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CVUCJR2Y,Lord Joe™️,6212,1,#YYL2GJUC,女神的世界,16000111,Zap,13,13,Poison,8,8,Electro Wizard,5,5,Bandit,5,5,Battle Ram,11,11,Royal Ghost,5,5,P.E.K.K.A,8,8,Magic Archer,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUJC8QGP,⚡HardcoreGamer⚡,6203,0,#Y9GCCYR8,⭐WE'RE AUSTRIA⭐,16000039,Zap,13,13,Bats,13,13,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Inferno Dragon,5,5,Witch,8,8,Mega Knight,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T121644.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,7,collection,#CVUCJR2Y,Lord Joe™️,6212,0,#YYL2GJUC,女神的世界,16000111,Bats,9,13,Witch,4,8,Giant Snowball,9,13,Skeletons,9,13,Lumberjack,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#228LVCCVR,Bxnnii^^,4940,1,#YPP0G92G,SchlonRekorde,16000018,The Log,1,5,Electro Wizard,1,5,Poison,4,8,Valkyrie,7,11,Wall Breakers,4,8,Bats,9,13,Inferno Tower,7,11,Miner,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T121300.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,6,collection,#CVUCJR2Y,Lord Joe™️,6212,1,#YYL2GJUC,女神的世界,16000111,Bats,9,13,Witch,4,8,Giant Snowball,9,13,Skeletons,9,13,Lumberjack,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2Q9RRVP,XNewChukyPolice,5562,0,#P2PVJRGQ,LEGENS OF ROYAL,16000068,Mega Knight,1,5,Bats,9,13,Fisherman,1,5,Miner,1,5,Zap,9,13,Wall Breakers,4,8,Witch,4,8,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T120918.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,5,collection,#CVUCJR2Y,Lord Joe™️,6212,1,#YYL2GJUC,女神的世界,16000111,Bats,9,13,Witch,4,8,Giant Snowball,9,13,Skeletons,9,13,Lumberjack,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P92Q2J0,FloydIsGod⚡️,5304,0,,,,Wall Breakers,4,8,Inferno Tower,7,11,Valkyrie,7,11,Electro Wizard,1,5,Bats,9,13,Miner,1,5,Poison,4,8,The Log,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T120416.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,4,collection,#CVUCJR2Y,Lord Joe™️,6212,3,#YYL2GJUC,女神的世界,16000111,Bats,9,13,Witch,4,8,Giant Snowball,9,13,Skeletons,9,13,Lumberjack,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CLJL8C0Q,はるるん,4429,0,#Y992UGRP,Electron,16000010,P.E.K.K.A,4,8,Dark Prince,4,8,Electro Wizard,1,5,Ram Rider,1,5,Magic Archer,1,5,Giant Snowball,9,13,Lightning,4,8,Fisherman,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T115953.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,3,collection,#CVUCJR2Y,Lord Joe™️,6212,1,#YYL2GJUC,女神的世界,16000111,Bats,9,13,Witch,4,8,Giant Snowball,9,13,Skeletons,9,13,Lumberjack,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V8U2VG0U,FrosTMinD,5475,0,#98PYR0VJ,TeamLiquid FR,16000063,Bats,9,13,Witch,4,8,Fisherman,1,5,Goblin Gang,9,13,Wall Breakers,4,8,Goblin Barrel,4,8,Princess,1,5,Mega Knight,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T115556.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#CVUCJR2Y,Lord Joe™️,6212,3,#YYL2GJUC,女神的世界,16000111,Bats,9,13,Witch,4,8,Giant Snowball,9,13,Skeletons,9,13,Lumberjack,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8QLLGU0,albertobich,5356,0,#P8LVQ,mega Murcia,16000146,Witch,4,8,Baby Dragon,4,8,Bowler,4,8,Balloon,4,8,Tornado,4,8,Barbarian Barrel,4,8,Freeze,4,8,Lumberjack,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191010T115259.000Z,65000000,54000037,Legendary Arena,72000010,Challenge,2,collection,#CVUCJR2Y,Lord Joe™️,6212,0,#YYL2GJUC,女神的世界,16000111,Bats,9,13,Witch,4,8,Giant Snowball,9,13,Skeletons,9,13,Lumberjack,1,5,Barbarian Barrel,4,8,Ice Golem,7,11,Balloon,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YRPQV2L9,✨Antman❤Wasp✨,5110,1,#PPC0L8U0,ETERNITY,16000122,Knight,9,13,Graveyard,1,5,The Log,1,5,Tornado,4,8,Baby Dragon,4,8,Tombstone,7,11,Ice Wizard,1,5,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191010T015329.000Z,,54000004,Arena 4,72000023,TeamVsTeamLadder,,collection,#CVUCJR2Y,Lord Joe™️,6212,0,#YYL2GJUC,女神的世界,16000111,Zap,13,13,Poison,8,8,Wall Breakers,8,8,Miner,5,5,Goblin Gang,13,13,Fisherman,4,5,Hunter,8,8,Mega Knight,5,5,#8YQQGV29L,NS丨君❄秋,,0,#YYL2GJUC,女神的世界,16000111,Barbarian Barrel,8,8,Miner,5,5,Poison,8,8,Baby Dragon,8,8,Mega Minion,11,11,Goblin Cage,11,11,Lava Hound,5,5,Guards,8,8,#2QJVU028C,恬然老爸,5057,3,#9P28U2V,暴躁的小团伙儿,16000039,Baby Dragon,8,8,Furnace,11,11,Poison,8,8,Goblin Cage,11,11,P.E.K.K.A,8,8,Dart Goblin,11,11,Goblin Gang,13,13,Goblin Hut,11,11,#8VUQ0GUR,Hans,,3,#YPGUJ2,Franken,16000067,Furnace,11,11,Hog Rider,11,11,Archers,13,13,Mini P.E.K.K.A,11,11,Valkyrie,11,11,Electro Wizard,5,5,Lightning,8,8,Mega Minion,11,11
