type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191009T163822.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6218,0,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C982VC,Alessio,6122,1,#2PQR0U,I MIRMIDONI,16000081,Giant,11,11,Witch,8,8,Musketeer,11,11,Minions,13,13,Mini P.E.K.K.A,11,11,The Log,5,5,Fireball,11,11,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T163220.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6189,1,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGC80VLQ,BS I ⚜️Mati⚜️,6182,0,#9U2G2C8L,New World Order,16000002,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Zap,13,13,Fireball,11,11,Valkyrie,11,11,Minions,13,13,Tombstone,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T162638.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6220,0,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QRPRRL9L,THE KILLER™,6205,1,#8R8802V,الذهبي,16000150,Golem,8,8,Baby Dragon,8,8,The Log,5,5,Lumberjack,5,5,Lightning,8,8,Tornado,8,8,Witch,8,8,Mega Minion,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T162156.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6198,1,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LR9V2J00,Amnesia,6115,0,#9VQJPL2L,AK Syndicate 2,16000044,Hog Rider,11,11,Rocket,11,11,Ice Spirit,13,13,Valkyrie,11,11,The Log,5,5,Tornado,8,8,Executioner,8,8,Goblins,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T161759.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6176,3,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G2YC9UC,Asgard,6086,1,#PPCLCJG9,AK Syndicate,16000044,Inferno Tower,11,11,Valkyrie,11,11,Rocket,11,11,Goblin Barrel,8,8,Goblin Gang,13,13,Princess,5,5,Ice Spirit,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T161409.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6147,2,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R020P,FENOFINALFORM⚡☠,6138,1,#99LQJ8GY,QLASH Sentry3,16000020,Royal Giant,13,13,Mega Minion,11,11,Zap,13,13,Sparky,5,5,Hog Rider,11,11,Arrows,13,13,Barbarians,13,13,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T160951.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6124,1,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89U22JGG2,Ultimate⭐Story,6051,0,#YPQYJQU2,ELITE STORY,16000077,Mega Knight,5,5,Inferno Dragon,5,5,Miner,5,5,Skeleton Barrel,13,13,Goblin Gang,13,13,Bats,13,13,Spear Goblins,13,13,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T160519.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6099,2,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U92QLL2J,YT✌DDaB0ng™,6043,0,#228YYL99,AllinForce,16000017,Lava Hound,5,5,Night Witch,5,5,Lumberjack,5,5,Zap,13,13,Clone,8,8,Bats,13,13,Baby Dragon,8,8,Skeleton Army,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T160145.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6137,0,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UVRRGRV,⚡Nightmare⚡,6037,1,#2V0QU2QC,Parabellum,16000007,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191009T155519.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#CYCJV8R,Ivana,6107,3,#82JJPPGQ,SRB Royal Guard,16000089,Fisherman,5,5,P.E.K.K.A,8,8,Electro Wizard,5,5,Giant Snowball,13,13,Royal Ghost,5,5,Ram Rider,5,5,Magic Archer,5,5,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LQVYVJP,R-V星星V的小号,6111,1,#9YGURQUL,Illuminati,16000032,Poison,8,8,Furnace,11,11,Graveyard,5,5,Cannon Cart,8,8,Musketeer,11,11,Baby Dragon,8,8,Tornado,8,8,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
