type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20191011T143137.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6249,0,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#208CVJY9Q,ZeRo,6295,1,#8VVYUYCU,ENIGMA KZ,16000004,X-Bow,8,8,Rocket,11,11,Skeletons,13,13,Tesla,13,13,The Log,5,5,Archers,13,13,Knight,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T101242.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6210,3,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GLURVU2,Dion,6329,0,#YVVLP20U,Dutch_Assassins,16000074,Giant Skeleton,8,8,Graveyard,5,5,Tornado,8,8,Witch,8,8,Furnace,11,11,Zap,13,13,Goblin Hut,11,11,Baby Dragon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T100904.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6182,3,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LQL88VC2,<9 伟大的国王 ‌‏‏™️,6168,2,#80U8GYY,ابطال الشمال,16000030,Zap,13,13,Arrows,13,13,Barbarians,13,13,Minions,13,13,Lava Hound,5,5,Miner,5,5,Balloon,8,8,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T100308.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6154,1,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YUL0C0GQ,Kamish❄️,6135,0,#20GG82V,your face,16000154,Ice Wizard,5,5,Tombstone,11,11,Zap,13,13,Poison,8,8,Tornado,7,8,Valkyrie,11,11,Executioner,8,8,Graveyard,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T095731.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6133,2,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22CR02L0,皇额娘,6033,0,#8U9RQ2R,上海,16000107,Sparky,5,5,Ice Spirit,13,13,Tornado,8,8,Electro Wizard,5,5,Skeleton Barrel,13,13,Giant Skeleton,8,8,Clone,8,8,Rocket,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T094740.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6105,3,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#298CUPLP2,Sapolo11,6085,0,#8UY0CPU2,Nova l Raze,16000044,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Electro Wizard,5,5,Minions,13,13,Goblin Gang,13,13,Zap,13,13,Fireball,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T094421.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6129,0,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLJRYCV9,一线天,6194,1,#9GPJVJGR,MERTEL I 紫禁之巅,16000044,Mega Knight,5,5,Clone,8,8,Witch,8,8,Minions,13,13,Night Witch,5,5,Wall Breakers,8,8,Zap,13,13,Miner,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T055725.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6165,0,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PC8G0P02,パコリズム,6088,1,#YY0J29VV,GAIZI⭐️STARS,16000044,Giant,11,11,Sparky,5,5,Mini P.E.K.K.A,11,11,Dark Prince,8,8,Electro Wizard,5,5,Mega Minion,11,11,Poison,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T055248.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6128,1,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VC0JJ9,RHVR17,6222,0,#9R08LY28,SbY eSports,16000166,Princess,5,5,The Log,5,5,Rocket,11,11,Goblin Barrel,8,8,Inferno Tower,11,11,Knight,13,13,Goblin Gang,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T054715.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#GLQPLUVJ,皇室狂少,6149,0,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Dark Prince,8,8,Prince,8,8,Bandit,5,5,Princess,5,5,The Log,5,5,Goblin Gang,13,13,Bats,13,13,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QC098JC9,JoseBrayan⚽️,6250,1,#PGRC2QQ8,SS Gaming,16000009,Wall Breakers,8,8,Valkyrie,11,11,Poison,8,8,Electro Wizard,5,5,Inferno Tower,11,11,Ice Spirit,13,13,Miner,5,5,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
