type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20191011T141126.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,14,draft,#GYL8LP0,Erick,6225,3,#2GL2QPPL,MidwinterEX,16000168,X-Bow,4,8,Fire Spirits,9,13,Goblins,9,13,Arrows,9,13,Miner,1,5,Spear Goblins,9,13,Ice Golem,7,11,Mega Minion,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JJV8RV0,Yeli,5237,1,#2Q0LP8,DWE Reloaded,16000003,Bats,9,13,Elixir Golem,7,11,Bandit,1,5,Balloon,4,8,Lightning,4,8,Minions,9,13,Skeletons,9,13,Mortar,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T140818.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,13,draft,#GYL8LP0,Erick,6225,3,#2GL2QPPL,MidwinterEX,16000168,Zap,9,13,Witch,4,8,The Log,1,5,Barbarian Hut,7,11,Rascals,9,13,Ice Spirit,9,13,Giant,7,11,Royal Ghost,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YP9CG02GQ,淘奇,4489,0,#892JVY,守护雅典娜,16000162,Mega Knight,1,5,Royal Giant,9,13,Skeleton Army,4,8,Elixir Golem,7,11,Goblin Hut,7,11,Giant Snowball,9,13,Archers,9,13,Lightning,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T140529.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,12,draft,#GYL8LP0,Erick,6225,3,#2GL2QPPL,MidwinterEX,16000168,Fire Spirits,9,13,Cannon Cart,4,8,Fireball,7,11,Magic Archer,1,5,Royal Giant,9,13,X-Bow,4,8,Minions,9,13,Goblin Giant,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9L98R09U9,wolhverine,4747,0,#PJLR208V,when.others,16000044,Elixir Golem,7,11,Executioner,4,8,Elixir Collector,7,11,Graveyard,1,5,Flying Machine,7,11,The Log,1,5,Dart Goblin,7,11,Skeletons,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T140152.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,11,draft,#GYL8LP0,Erick,6225,3,#2GL2QPPL,MidwinterEX,16000168,Poison,4,8,Ice Golem,7,11,Minions,9,13,Witch,4,8,Cannon Cart,4,8,Rocket,7,11,Elixir Golem,7,11,Ram Rider,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PUGCQQ0Y,DavideLoca05 :P,4578,0,#29VGQ8G8,cacciatori,16000019,Goblin Giant,4,8,Lava Hound,1,5,Fireball,7,11,Inferno Dragon,1,5,Musketeer,7,11,Fire Spirits,9,13,Skeletons,9,13,Arrows,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T135910.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#GYL8LP0,Erick,6225,1,#2GL2QPPL,MidwinterEX,16000168,Ram Rider,1,5,Minions,9,13,Goblin Giant,4,8,Barbarians,9,13,X-Bow,4,8,Witch,4,8,Zap,9,13,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80U892R8,REDO,4931,0,#2L9VUY9V,SpainStar,16000040,Baby Dragon,4,8,Fireball,7,11,Dark Prince,4,8,Minion Horde,9,13,Goblin Cage,7,11,Elixir Golem,7,11,Spear Goblins,9,13,Skeleton Barrel,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T135310.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,10,draft,#GYL8LP0,Erick,6225,0,#2GL2QPPL,MidwinterEX,16000168,Wall Breakers,4,8,Tesla,9,13,Guards,4,8,Rocket,7,11,Bats,9,13,Dark Prince,4,8,Elixir Golem,7,11,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UCJ8CQV,Raloufix,5064,3,#JYU0LY,Parent en pause,16000078,Poison,4,8,Lava Hound,1,5,Executioner,4,8,Musketeer,7,11,Lightning,4,8,Spear Goblins,9,13,Barbarians,9,13,Skeleton Barrel,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T135027.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,9,draft,#GYL8LP0,Erick,6225,1,#2GL2QPPL,MidwinterEX,16000168,Zappies,7,11,Fire Spirits,9,13,Hog Rider,7,11,Rascals,9,13,Goblins,9,13,Elite Barbarians,9,13,Spear Goblins,9,13,Poison,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CQQ29Y0,NaCl,5024,0,#RYRQ2L,愛媛JAPAN,16000054,Barbarian Barrel,4,8,Dart Goblin,7,11,P.E.K.K.A,4,8,Ice Spirit,9,13,Elixir Golem,7,11,Wall Breakers,4,8,Guards,4,8,Archers,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134637.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,8,draft,#GYL8LP0,Erick,6225,3,#2GL2QPPL,MidwinterEX,16000168,Poison,4,8,Goblin Giant,4,8,Magic Archer,1,5,Baby Dragon,4,8,Elixir Golem,7,11,Mortar,9,13,Spear Goblins,9,13,Goblin Gang,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8G2P9L99,|| Vortigern ||,5230,1,#28C9VCCL,Old Reborn™,16000003,Skeleton Army,4,8,Zappies,7,11,Minion Horde,9,13,Lava Hound,1,5,Minions,9,13,Princess,1,5,Wall Breakers,4,8,Zap,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134311.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,7,draft,#GYL8LP0,Erick,6225,3,#2GL2QPPL,MidwinterEX,16000168,Goblin Gang,9,13,Princess,1,5,Barbarian Hut,7,11,Giant,7,11,Earthquake,7,11,Lava Hound,1,5,Goblins,9,13,Witch,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QGRJ9CJV,黄油手,4993,0,#Y8VCYU0,CN SOVRAN 摆渡人,16000144,Executioner,4,8,Bats,9,13,Elixir Golem,7,11,Giant Snowball,9,13,Balloon,4,8,Furnace,7,11,Electro Wizard,1,5,Spear Goblins,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20191011T134023.000Z,73002495,54000037,Legendary Arena,72000005,DraftMode,6,draft,#GYL8LP0,Erick,6225,1,#2GL2QPPL,MidwinterEX,16000168,Princess,1,5,Minions,9,13,Royal Giant,9,13,Royal Recruits,9,13,Hunter,4,8,Cannon Cart,4,8,Royal Ghost,1,5,Rocket,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLGL80CL2,☆­ Park™­ ☆,4949,0,#9CQPQJVP,KOREAN ROYAL,16000002,The Log,1,5,Bandit,1,5,Flying Machine,7,11,Electro Dragon,4,8,Elixir Golem,7,11,Skeleton Barrel,9,13,Spear Goblins,9,13,Ice Wizard,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
