type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20191011T142552.000Z,,54000004,Arena 4,72000023,TeamVsTeamLadder,,collection,#JRG28VQU,Team0-3丨千夜,6219,3,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Baby Dragon,8,8,Barbarians,13,13,Tombstone,11,11,Poison,8,8,Barbarian Barrel,8,8,#2PYP0QU8Q,七夏,,3,#2GP0L09,上海 OP 千阳号,16000000,Lava Hound,5,5,Tombstone,11,11,Mega Minion,11,11,Baby Dragon,8,8,Guards,7,8,Balloon,8,8,Lightning,8,8,Arrows,13,13,#ULVR9C0L,婷婷爱老公,4910,1,#8C0V2L8Y,不论这盘输赢【打完来我部落吧】,16000020,Guards,8,8,Balloon,8,8,Lava Hound,5,5,Mega Minion,11,11,Arrows,13,13,Lightning,8,8,Tombstone,11,11,Minions,13,13,#2LPL2YU0C,Michael,,1,#QYU89Q8,紫陌红尘,16000168,Arrows,13,13,Bomber,13,13,Goblin Barrel,7,8,Royal Giant,13,13,Archers,13,13,Goblin Gang,13,13,Skeleton Army,8,8,Zap,13,13
casual2v2,20191011T142246.000Z,,54000010,Arena 9,72000023,TeamVsTeamLadder,,collection,#JRG28VQU,Team0-3丨千夜,6219,3,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Baby Dragon,8,8,Barbarians,13,13,Tombstone,11,11,Poison,8,8,Barbarian Barrel,8,8,#2PYP0QU8Q,七夏,,3,#2GP0L09,上海 OP 千阳号,16000000,Lava Hound,5,5,Tombstone,11,11,Mega Minion,11,11,Baby Dragon,8,8,Guards,7,8,Balloon,8,8,Lightning,8,8,Arrows,13,13,#908280L22,Beatrix,4852,0,#20UV9G8,Everis Sev,16000075,Giant,11,11,Spear Goblins,13,13,Poison,7,8,Minions,13,13,The Log,4,5,Wizard,11,11,Prince,8,8,Zap,13,13,#JLYJ9UYJ,Galaxy,,0,#9VLQ9C80,天津堂,16000024,Furnace,11,11,Mega Minion,11,11,P.E.K.K.A,8,8,Poison,8,8,Miner,4,5,Valkyrie,11,11,Zap,13,13,Witch,8,8
clanWarCollectionDay,20191011T141732.000Z,,54000037,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#JRG28VQU,Team0-3丨千夜,6219,1,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Baby Dragon,8,8,Barbarians,13,13,Tombstone,11,11,Poison,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2UR2PR0,David,5645,2,#9J98PRJY,Colombia eSport,16000073,P.E.K.K.A,8,8,The Log,5,5,Miner,5,5,Poison,8,8,Tornado,8,8,Executioner,8,8,Zap,13,13,Hog Rider,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191011T141221.000Z,,54000037,Legendary Arena,72000087,ClassicDecks_Friendly,,eventDeck,#JRG28VQU,Team0-3丨千夜,6219,3,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Giant Skeleton,4,8,Balloon,4,8,Bats,9,13,Skeletons,9,13,Miner,1,5,Fisherman,1,5,Hunter,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ULPQJ98R,月殇日陨,5066,0,#VRRR9UY,银河护卫队,16000039,Royal Hogs,7,11,Bandit,1,5,Flying Machine,7,11,Bats,9,13,Barbarians,9,13,Musketeer,7,11,Barbarian Barrel,4,8,Giant Snowball,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanWarCollectionDay,20191011T141043.000Z,,54000037,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#JRG28VQU,Team0-3丨千夜,6219,1,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Lava Hound,5,5,Balloon,8,8,Baby Dragon,8,8,Mega Minion,11,11,Guards,8,8,Tombstone,11,11,Lightning,8,8,Arrows,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GPYLC2UR,你跺你也麻,5457,3,#2G8LPYV,北京,16000142,Miner,5,5,Elixir Collector,11,11,Battle Ram,11,11,Minion Horde,13,13,Three Musketeers,11,11,Dark Prince,8,8,Zap,13,13,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20191011T140706.000Z,,54000037,Legendary Arena,72000005,DraftMode,,draft,#JRG28VQU,Team0-3丨千夜,6219,3,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Poison,4,8,Magic Archer,1,5,Guards,4,8,Giant,7,11,Bats,9,13,Archers,9,13,Zap,9,13,Knight,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LJPCYLPL,Marceloop,5368,0,#9RGPQ9VJ,TEMPLARIOS™,16000063,Rascals,9,13,The Log,1,5,Mega Minion,7,11,Witch,4,8,Goblin Giant,4,8,Goblins,9,13,Ice Wizard,1,5,Barbarian Barrel,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T123605.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#JRG28VQU,Team0-3丨千夜,6219,0,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Baby Dragon,8,8,Barbarians,13,13,Tombstone,11,11,Poison,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QG9Q88GJ,༄叶༅昱༄,6134,0,#YYL2GJUC,女神的世界,16000111,Wall Breakers,8,8,Inferno Tower,11,11,Valkyrie,11,11,Electro Wizard,5,5,Bats,13,13,Miner,5,5,Poison,8,8,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20191011T115516.000Z,,54000010,Arena 9,72000023,TeamVsTeamLadder,,collection,#2PYP0QU8Q,七夏,5385,1,#2GP0L09,上海 OP 千阳号,16000000,Lava Hound,5,5,Tombstone,11,11,Mega Minion,11,11,Baby Dragon,8,8,Guards,7,8,Balloon,8,8,Lightning,8,8,Arrows,13,13,#JRG28VQU,Team0-3丨千夜,,1,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Baby Dragon,8,8,Barbarians,13,13,Tombstone,11,11,Poison,8,8,Barbarian Barrel,8,8,#V8989YY2,彭锐,5235,0,#20Q2VUY,要的是态度,16000143,Princess,5,5,Ice Wizard,4,5,Sparky,5,5,Mega Minion,11,11,The Log,4,5,Skeleton Army,8,8,Minions,13,13,Giant,11,11,#P8JQRUP9U,별콩,,0,#2UGJ28,TEAM KHNP,16000004,Earthquake,11,11,The Log,5,5,Rocket,11,11,Lightning,8,8,Ice Wizard,5,5,Knight,13,13,Baby Dragon,8,8,Musketeer,11,11
PvP,20191011T095253.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#JRG28VQU,Team0-3丨千夜,6187,1,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Baby Dragon,8,8,Barbarians,13,13,Tombstone,11,11,Poison,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#228V2P08,Dr.Andoura,6219,0,#82CP0UVP,LEB SQUAD,16000034,Giant Skeleton,8,8,Witch,8,8,Clone,8,8,Tornado,8,8,Skeleton Barrel,13,13,Cannon Cart,8,8,Baby Dragon,8,8,Furnace,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20191011T061119.000Z,,54000037,Legendary Arena,72000006,Ladder,,collection,#JRG28VQU,Team0-3丨千夜,6162,2,#9J9VULLP,虎牙、暮日苍穹的传奇小屋,16000146,Lava Hound,5,5,Miner,5,5,Inferno Dragon,5,5,Baby Dragon,8,8,Barbarians,13,13,Tombstone,11,11,Poison,8,8,Barbarian Barrel,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YG0RRR9,عبدالله عماد,6110,0,#8QR0L0Y0,JORDAN GLORY,16000042,Lava Hound,5,5,Balloon,8,8,Lightning,8,8,Inferno Tower,11,11,Minions,13,13,Skeleton Army,8,8,Bomber,13,13,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
