type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20190925T194141.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6267,0,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90QVGR80,Eristotele,6264,1,#9VUVQRJ,Ti butto giu!,16000164,Hog Rider,11,11,Knight,13,13,Executioner,8,8,Tornado,8,8,Earthquake,10,11,The Log,5,5,Skeletons,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T193827.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6294,0,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YQCJG22P,Isai,6319,2,#PQRJV82Q,x6tence Mx,16000029,Miner,5,5,Battle Ram,11,11,Zap,13,13,Goblin Gang,13,13,Three Musketeers,11,11,Ice Golem,11,11,Elixir Collector,11,11,Minion Horde,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T193516.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6266,1,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YR882J2V,∆EvanderOnFire∆,6253,0,#Y0QVLYJU,LOS MOSTROS,16000052,P.E.K.K.A,8,8,Executioner,8,8,Electro Wizard,5,5,Tornado,8,8,Fireball,10,11,Hog Rider,11,11,The Log,4,5,Goblin Gang,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T193055.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6266,1,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UQRUY8CR,XxFernanxX,6292,1,#8UYG20GQ,Halcones Crew,16000096,Furnace,11,11,Hog Rider,11,11,Musketeer,11,11,Bats,13,13,The Log,5,5,Fireball,11,11,P.E.K.K.A,8,8,Zap,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T192445.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6237,2,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L9VVQCU9,Pedro Henrique™,6227,1,#RU9Q2QP,Br Irmãos,16000045,Zap,13,13,Goblin Gang,13,13,Spear Goblins,13,13,Hog Rider,11,11,Mortar,13,13,Bats,13,13,Minion Horde,13,13,The Log,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T192056.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6267,0,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YY8Y2C0,Pumaslayer,6258,1,#89PRY9GY,TacoClan MX,16000077,Furnace,11,11,The Log,4,5,Tornado,8,8,Miner,5,5,Electro Wizard,5,5,Executioner,8,8,Poison,8,8,Prince,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T191745.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6297,0,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P09CR2CJ,☠AKEM MANAH☠,6287,1,#20U9028P,☆ESPARTANOS,16000161,Ice Golem,11,11,Inferno Tower,11,11,Skeletons,13,13,Musketeer,11,11,Barbarian Barrel,8,8,Balloon,8,8,Miner,5,5,Giant Snowball,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T191348.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6268,1,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QJLV22Y,shakey,6260,0,#YUGY8JY2,Attaque !! 2,16000114,Executioner,7,8,Tornado,7,8,Giant,11,11,Goblins,13,13,Fireball,11,11,Mini P.E.K.K.A,11,11,The Log,5,5,Sparky,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T190912.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6240,2,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RR0G9899,Galego BR™️,6219,1,#RU9Q2QP,Br Irmãos,16000045,Golem,8,8,Night Witch,5,5,Baby Dragon,8,8,Mini P.E.K.K.A,11,11,Mega Minion,11,11,Guards,8,8,Lightning,8,8,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T190547.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6213,3,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VU8LVLGQ,MrWrong,6179,1,#2L0QLU8Q,50 Warriors,16000107,X-Bow,8,8,Fireball,11,11,Tesla,13,13,The Log,5,5,Archers,13,13,Skeletons,13,13,Ice Spirit,13,13,Ice Golem,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T190213.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6243,0,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29QCU8G0L,Xhoropp,6232,1,#PC02PPLV,JIMX ARMY,16000146,X-Bow,8,8,Archers,13,13,Ice Spirit,13,13,Skeletons,12,13,Fireball,11,11,The Log,4,5,Ice Golem,11,11,Tesla,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T185719.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6211,3,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R88YGP9R,Rey Parra,6240,0,#88R98P00,Req and Leave™,16000075,Rage,7,8,P.E.K.K.A,8,8,Baby Dragon,8,8,Valkyrie,11,11,Balloon,8,8,Tornado,7,8,Wizard,11,11,Skeleton Army,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T185412.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6211,0,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8UR2R89R,revzpsy,6247,0,#V08G8C,Bros For Life,16000008,Archers,13,13,X-Bow,8,8,Tesla,13,13,Skeletons,13,13,Fireball,11,11,Ice Golem,11,11,Ice Spirit,13,13,The Log,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T184802.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6241,0,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UQJLRGCJ,hornimans,6239,1,#9YG9UYCG,wasones masones,16000172,Mega Minion,11,11,Zap,13,13,Electro Wizard,5,5,Miner,5,5,Poison,8,8,Fisherman,4,5,P.E.K.K.A,8,8,Dark Prince,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T184321.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6214,3,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PPPL9VY,《♡Mr. Ra1n80₩♡》,6189,0,#28PYGPGV,Legend of Titan,16000164,X-Bow,8,8,Fireball,11,11,The Log,4,5,Tesla,13,13,Skeletons,13,13,Ice Golem,11,11,Archers,13,13,Ice Spirit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T183258.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6241,0,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QR9C8C8Q,素敵なおじさん,6266,1,#PQ20C9Y8,Calm Ark,16000055,Barbarian Barrel,8,8,Skeletons,13,13,Miner,5,5,Musketeer,11,11,Inferno Tower,11,11,Ice Golem,11,11,Giant Snowball,13,13,Balloon,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T180626.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6267,1,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G20GYGC9,⚡HITMAN⚡,6306,2,#VQCP8J2,Iran Union,16000171,Wizard,11,11,Giant,11,11,Zap,13,13,Guards,8,8,Mini P.E.K.K.A,11,11,Balloon,8,8,Freeze,7,8,Archers,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20190925T180248.000Z,,54000036,Legendary Arena,72000006,Ladder,,collection,#JV9JCQPV,And990rea,6299,0,,,,Skeletons,13,13,Minion Horde,13,13,Arrows,13,13,Witch,8,8,Electro Wizard,5,5,Rage,8,8,Giant,11,11,Sparky,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RR90GJJ,IT’s⚡️Chikko,6271,1,#2GCRCQ9P,Italian Tempest,16000010,Hog Rider,11,11,Valkyrie,11,11,Fireball,11,11,Musketeer,11,11,Freeze,8,8,Zap,13,13,Tesla,13,13,P.E.K.K.A,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
